Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Bosnia and Herzegovina,Snacks,Online,C,07/09/2011,287866532,8/20/2011,4959,152.58,97.44,756644.22,483204.96,273439.26
Central America and the Caribbean,Haiti,Household,Offline,H,1/30/2016,935078418,2/29/2016,9338,668.27,502.54,6240305.26,4692718.52,1547586.74
Central America and the Caribbean,Grenada,Baby Food,Offline,C,01/04/2013,491086995,02/08/2013,2410,255.28,159.42,615224.8,384202.2,231022.6
Europe,Bulgaria,Personal Care,Offline,C,01/10/2015,274691092,1/22/2015,6053,81.73,56.67,494711.69,343023.51,151688.18
Sub-Saharan Africa,Botswana,Meat,Offline,C,03/05/2013,325002038,04/05/2013,4180,421.89,364.69,1763500.2,1524404.2,239096
Asia,China,Office Supplies,Offline,C,12/09/2010,751443660,1/25/2011,7733,651.21,524.96,5035806.93,4059515.68,976291.25
Central America and the Caribbean,Belize,Office Supplies,Online,M,11/11/2012,383752286,12/10/2012,9684,651.21,524.96,6306317.64,5083712.64,1222605
Australia and Oceania,East Timor,Snacks,Offline,L,3/14/2013,821976745,4/22/2013,40,152.58,97.44,6103.2,3897.6,2205.6
Central America and the Caribbean,Dominican Republic,Personal Care,Online,H,10/31/2014,586478364,12/15/2014,836,81.73,56.67,68326.28,47376.12,20950.16
Europe,Norway,Baby Food,Online,H,05/11/2010,967930972,5/19/2010,1139,255.28,159.42,290763.92,181579.38,109184.54
Europe,Armenia,Clothes,Offline,M,2/24/2016,177320897,2/26/2016,2049,109.28,35.84,223914.72,73436.16,150478.56
Middle East and North Africa,Yemen,Baby Food,Offline,M,7/30/2015,995946967,09/07/2015,1695,255.28,159.42,432699.6,270216.9,162482.7
Europe,Poland,Fruits,Online,L,10/13/2015,425420510,11/24/2015,238,9.33,6.92,2220.54,1646.96,573.58
Europe,Bosnia and Herzegovina,Personal Care,Offline,M,8/15/2013,937665355,09/09/2013,4870,81.73,56.67,398025.1,275982.9,122042.2
Middle East and North Africa,Algeria,Vegetables,Online,H,08/02/2014,124917829,8/15/2014,4816,154.06,90.93,741952.96,437918.88,304034.08
Sub-Saharan Africa,Equatorial Guinea,Fruits,Online,L,11/14/2013,149726760,12/06/2013,6330,9.33,6.92,59058.9,43803.6,15255.3
Sub-Saharan Africa,Burkina Faso,Clothes,Online,H,4/25/2015,994953477,5/25/2015,7699,109.28,35.84,841346.72,275932.16,565414.56
Australia and Oceania,Tonga,Office Supplies,Offline,H,6/14/2012,913771808,6/16/2012,4239,651.21,524.96,2760479.19,2225305.44,535173.75
Central America and the Caribbean,Costa Rica,Vegetables,Online,L,1/13/2015,479668080,1/31/2015,3299,154.06,90.93,508243.94,299978.07,208265.87
Sub-Saharan Africa,Equatorial Guinea,Beverages,Online,C,12/13/2014,336441123,1/28/2015,9260,47.45,31.79,439387,294375.4,145011.6
Central America and the Caribbean,Trinidad and Tobago,Vegetables,Offline,C,9/19/2012,748202264,10/05/2012,8531,154.06,90.93,1314285.86,775723.83,538562.03
Sub-Saharan Africa,Zambia,Household,Online,H,9/16/2013,249375331,11/04/2013,4557,668.27,502.54,3045306.39,2290074.78,755231.61
Australia and Oceania,Papua New Guinea,Beverages,Offline,L,10/15/2016,594696652,11/10/2016,2810,47.45,31.79,133334.5,89329.9,44004.6
Sub-Saharan Africa,Burundi,Cosmetics,Online,L,07/12/2010,909215056,7/30/2010,5795,437.2,263.33,2533574,1525997.35,1007576.65
Sub-Saharan Africa,Mali,Cereal,Online,C,11/09/2014,838291871,11/18/2014,8048,205.7,117.11,1655473.6,942501.28,712972.32
Europe,Serbia,Household,Offline,M,09/06/2016,997600924,9/29/2016,1137,668.27,502.54,759822.99,571387.98,188435.01
Sub-Saharan Africa,Djibouti,Office Supplies,Offline,M,7/25/2011,723128545,09/07/2011,8661,651.21,524.96,5640129.81,4546678.56,1093451.25
Australia and Oceania,Solomon Islands,Cosmetics,Offline,C,1/16/2015,321173560,03/03/2015,1248,437.2,263.33,545625.6,328635.84,216989.76
North America,Canada,Vegetables,Online,C,06/12/2013,618347299,6/28/2013,1562,154.06,90.93,240641.72,142032.66,98609.06
Asia,Philippines,Meat,Offline,H,02/03/2013,711573588,03/07/2013,9292,421.89,364.69,3920201.88,3388699.48,531502.4
