Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Seychelles ,Vegetables,Online,C,3/19/2015,318660867,3/30/2015,7687,154.06,90.93,1184259.22,698978.91,485280.31
Europe,France,Meat,Online,M,10/28/2012,912643992,11/27/2012,493,421.89,364.69,207991.77,179792.17,28199.6
Sub-Saharan Africa,Ethiopia,Beverages,Offline,M,8/20/2016,884759747,9/27/2016,8925,47.45,31.79,423491.25,283725.75,139765.5
Sub-Saharan Africa,Lesotho,Fruits,Offline,M,04/10/2014,597556960,5/30/2014,9238,9.33,6.92,86190.54,63926.96,22263.58
Asia,Mongolia,Snacks,Online,M,2/21/2017,933896958,04/04/2017,9718,152.58,97.44,1482772.44,946921.92,535850.52
Sub-Saharan Africa,Angola,Fruits,Offline,H,3/18/2011,146953570,4/19/2011,5682,9.33,6.92,53013.06,39319.44,13693.62
Europe,Malta,Household,Online,C,10/20/2013,610213124,12/08/2013,4479,668.27,502.54,2993181.33,2250876.66,742304.67
Sub-Saharan Africa,Benin,Personal Care,Offline,H,10/19/2016,267474448,10/28/2016,488,81.73,56.67,39884.24,27654.96,12229.28
Central America and the Caribbean,Belize,Beverages,Online,M,2/25/2013,282848870,04/12/2013,121,47.45,31.79,5741.45,3846.59,1894.86
Sub-Saharan Africa,Republic of the Congo,Beverages,Online,L,10/23/2015,990760219,11/19/2015,6820,47.45,31.79,323609,216807.8,106801.2
Central America and the Caribbean,Belize,Personal Care,Online,L,1/22/2016,545944821,2/27/2016,6060,81.73,56.67,495283.8,343420.2,151863.6
Australia and Oceania,Tuvalu,Beverages,Offline,L,1/16/2010,773451507,2/27/2010,343,47.45,31.79,16275.35,10903.97,5371.38
Sub-Saharan Africa,Cote d'Ivoire,Household,Online,H,02/12/2010,418641602,3/15/2010,4208,668.27,502.54,2812080.16,2114688.32,697391.84
Sub-Saharan Africa,Zimbabwe,Snacks,Offline,C,10/08/2010,997188937,11/01/2010,9221,152.58,97.44,1406940.18,898494.24,508445.94
Central America and the Caribbean,Dominica,Snacks,Offline,M,2/14/2015,945079839,2/22/2015,8981,152.58,97.44,1370320.98,875108.64,495212.34
Middle East and North Africa,Bahrain,Personal Care,Online,H,01/03/2016,568613135,01/09/2016,4117,81.73,56.67,336482.41,233310.39,103172.02
Australia and Oceania,Nauru,Office Supplies,Online,C,11/21/2014,694400155,11/26/2014,7292,651.21,524.96,4748623.32,3828008.32,920615
Sub-Saharan Africa,Angola,Cereal,Offline,H,07/09/2010,419364726,08/10/2010,8197,205.7,117.11,1686122.9,959950.67,726172.23
Sub-Saharan Africa,South Sudan,Household,Online,L,4/13/2010,260743176,05/07/2010,8555,668.27,502.54,5717049.85,4299229.7,1417820.15
Central America and the Caribbean,Dominican Republic,Clothes,Offline,M,04/06/2011,806084334,4/14/2011,7122,109.28,35.84,778292.16,255252.48,523039.68
Sub-Saharan Africa,Benin,Office Supplies,Online,H,8/14/2011,463249528,09/10/2011,4685,651.21,524.96,3050918.85,2459437.6,591481.25
Europe,Hungary,Beverages,Offline,H,05/10/2014,410412585,5/16/2014,9059,47.45,31.79,429849.55,287985.61,141863.94
Sub-Saharan Africa,Senegal,Vegetables,Online,H,12/22/2015,546059834,02/01/2016,95,154.06,90.93,14635.7,8638.35,5997.35
Sub-Saharan Africa,Burkina Faso,Household,Online,L,04/01/2010,838990104,04/09/2010,4671,668.27,502.54,3121489.17,2347364.34,774124.83
Middle East and North Africa,United Arab Emirates,Clothes,Online,H,9/27/2014,878314721,9/30/2014,1699,109.28,35.84,185666.72,60892.16,124774.56
Europe,Montenegro,Household,Offline,M,12/29/2013,323457515,01/05/2014,7121,668.27,502.54,4758750.67,3578587.34,1180163.33
Australia and Oceania,East Timor,Baby Food,Online,C,05/05/2016,254154813,5/21/2016,8912,255.28,159.42,2275055.36,1420751.04,854304.32
