Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,Taiwan,Baby Food,Offline,H,11/22/2010,360105073,11/26/2010,1948,255.28,159.42,497285.44,310550.16,186735.28
Asia,North Korea,Personal Care,Online,C,04/11/2015,282768619,5/26/2015,6373,81.73,56.67,520865.29,361157.91,159707.38
Central America and the Caribbean,Saint Vincent and the Grenadines,Household,Online,L,06/01/2012,777119481,6/26/2012,5779,668.27,502.54,3861932.33,2904178.66,957753.67
Asia,Mongolia,Fruits,Offline,M,12/20/2015,124456489,12/26/2015,8296,9.33,6.92,77401.68,57408.32,19993.36
Europe,Luxembourg,Baby Food,Offline,C,5/13/2010,726390969,5/26/2010,4085,255.28,159.42,1042818.8,651230.7,391588.1
Asia,Myanmar,Clothes,Offline,M,03/03/2015,554846751,3/13/2015,338,109.28,35.84,36936.64,12113.92,24822.72
Europe,Norway,Baby Food,Offline,H,2/27/2013,802060163,3/21/2013,6281,255.28,159.42,1603413.68,1001317.02,602096.66
Middle East and North Africa,Saudi Arabia,Personal Care,Offline,H,09/05/2014,930580031,9/19/2014,8166,81.73,56.67,667407.18,462767.22,204639.96
Asia,Kyrgyzstan,Clothes,Offline,C,12/27/2015,923267686,01/10/2016,4280,109.28,35.84,467718.4,153395.2,314323.2
Australia and Oceania,Nauru,Cereal,Online,H,8/17/2010,833296954,9/24/2010,9941,205.7,117.11,2044863.7,1164190.51,880673.19
Sub-Saharan Africa,Malawi,Snacks,Online,M,12/01/2015,334154164,12/15/2015,2498,152.58,97.44,381144.84,243405.12,137739.72
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,H,03/04/2016,969638144,3/16/2016,6329,9.33,6.92,59049.57,43796.68,15252.89
Europe,Russia,Personal Care,Offline,C,11/30/2011,303860223,12/12/2011,7847,81.73,56.67,641335.31,444689.49,196645.82
Asia,South Korea,Beverages,Online,M,1/31/2016,471244227,03/05/2016,494,47.45,31.79,23440.3,15704.26,7736.04
Asia,Thailand,Fruits,Online,M,5/27/2012,526526486,06/05/2012,9743,9.33,6.92,90902.19,67421.56,23480.63
North America,Mexico,Meat,Offline,L,03/01/2012,494755828,03/10/2012,8099,421.89,364.69,3416887.11,2953624.31,463262.8
Asia,South Korea,Household,Online,H,7/28/2012,921293580,8/14/2012,98,668.27,502.54,65490.46,49248.92,16241.54
Sub-Saharan Africa,Malawi,Office Supplies,Offline,C,09/08/2015,621813571,9/15/2015,7309,651.21,524.96,4759693.89,3836932.64,922761.25
Sub-Saharan Africa,Mauritius ,Meat,Offline,H,1/21/2017,732302129,02/04/2017,3328,421.89,364.69,1404049.92,1213688.32,190361.6
Europe,Ukraine,Personal Care,Online,M,02/03/2017,659058082,2/14/2017,8787,81.73,56.67,718161.51,497959.29,220202.22
Middle East and North Africa,Libya,Cosmetics,Online,L,04/04/2017,328692758,05/11/2017,6346,437.2,263.33,2774471.2,1671092.18,1103379.02
Central America and the Caribbean,Grenada,Snacks,Online,L,4/18/2016,638129985,05/03/2016,5698,152.58,97.44,869400.84,555213.12,314187.72
Europe,Austria,Snacks,Online,L,01/09/2014,304606091,2/15/2014,8566,152.58,97.44,1307000.28,834671.04,472329.24
Middle East and North Africa,Somalia,Household,Online,L,02/06/2015,815669906,03/05/2015,3706,668.27,502.54,2476608.62,1862413.24,614195.38
Europe,France,Office Supplies,Online,L,02/09/2010,579182755,03/09/2010,1903,651.21,524.96,1239252.63,998998.88,240253.75
Sub-Saharan Africa,Seychelles ,Office Supplies,Offline,C,3/15/2017,773318469,3/31/2017,975,651.21,524.96,634929.75,511836,123093.75
Australia and Oceania,Kiribati,Meat,Offline,C,2/28/2010,396563374,04/05/2010,770,421.89,364.69,324855.3,280811.3,44044
Asia,Turkmenistan,Baby Food,Online,H,1/18/2013,317716300,02/02/2013,8168,255.28,159.42,2085127.04,1302142.56,782984.48
Sub-Saharan Africa,Sierra Leone,Personal Care,Offline,L,2/21/2013,125888574,04/11/2013,2081,81.73,56.67,170080.13,117930.27,52149.86
Australia and Oceania,Solomon Islands,Fruits,Online,L,2/15/2010,380504024,03/05/2010,8451,9.33,6.92,78847.83,58480.92,20366.91
Middle East and North Africa,Iraq,Clothes,Offline,C,05/02/2012,361298978,5/20/2012,5251,109.28,35.84,573829.28,188195.84,385633.44
Central America and the Caribbean,Dominica,Clothes,Offline,H,3/27/2010,318322265,4/29/2010,7487,109.28,35.84,818179.36,268334.08,549845.28
Middle East and North Africa,Israel,Snacks,Online,H,6/30/2010,121935212,07/07/2010,2194,152.58,97.44,334760.52,213783.36,120977.16
