Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Belize,Fruits,Online,H,07/10/2012,785703408,7/25/2012,5953,9.33,6.92,55541.49,41194.76,14346.73
Central America and the Caribbean,Panama,Household,Offline,L,4/23/2014,341258800,5/26/2014,4917,668.27,502.54,3285883.59,2470989.18,814894.41
Sub-Saharan Africa,Burundi,Personal Care,Online,L,3/16/2017,189009320,4/21/2017,913,81.73,56.67,74619.49,51739.71,22879.78
Australia and Oceania,Nauru,Cereal,Online,C,8/17/2012,241503798,09/02/2012,5196,205.7,117.11,1068817.2,608503.56,460313.64
Central America and the Caribbean,Barbados,Cereal,Online,C,10/08/2015,931603562,11/01/2015,1051,205.7,117.11,216190.7,123082.61,93108.09
Asia,India,Household,Offline,H,5/17/2016,962482440,5/19/2016,8797,668.27,502.54,5878771.19,4420844.38,1457926.81
Sub-Saharan Africa,The Gambia,Meat,Offline,M,11/06/2012,457626760,11/11/2012,782,421.89,364.69,329917.98,285187.58,44730.4
North America,Mexico,Meat,Online,L,01/01/2016,510835349,1/27/2016,6387,421.89,364.69,2694611.43,2329275.03,365336.4
Asia,Laos,Cosmetics,Online,L,12/28/2014,936219537,1/16/2015,7021,437.2,263.33,3069581.2,1848839.93,1220741.27
Europe,Luxembourg,Vegetables,Offline,C,5/29/2011,718203151,6/27/2011,1127,154.06,90.93,173625.62,102478.11,71147.51
North America,Mexico,Vegetables,Offline,C,6/23/2015,261522519,07/08/2015,9180,154.06,90.93,1414270.8,834737.4,579533.4
Sub-Saharan Africa,Mauritius ,Household,Online,M,12/23/2011,941226470,1/13/2012,8683,668.27,502.54,5802588.41,4363554.82,1439033.59
Europe,Slovakia,Clothes,Online,H,1/20/2017,152676331,1/27/2017,9174,109.28,35.84,1002534.72,328796.16,673738.56
Middle East and North Africa,Jordan,Beverages,Online,M,11/01/2013,761545932,11/22/2013,7219,47.45,31.79,342541.55,229492.01,113049.54
Europe,Norway,Fruits,Online,L,10/19/2016,753821599,11/10/2016,1418,9.33,6.92,13229.94,9812.56,3417.38
Middle East and North Africa,Kuwait,Baby Food,Online,H,12/30/2014,885802161,01/09/2015,7399,255.28,159.42,1888816.72,1179548.58,709268.14
Middle East and North Africa,Saudi Arabia,Cereal,Online,L,09/05/2013,634098947,10/23/2013,2824,205.7,117.11,580896.8,330718.64,250178.16
Sub-Saharan Africa,Guinea,Household,Offline,M,5/18/2015,445635783,6/22/2015,2386,668.27,502.54,1594492.22,1199060.44,395431.78
Sub-Saharan Africa,Swaziland,Meat,Offline,C,02/12/2016,387648999,3/18/2016,2808,421.89,364.69,1184667.12,1024049.52,160617.6
Asia,Maldives,Meat,Offline,H,10/10/2016,597687423,10/10/2016,7845,421.89,364.69,3309727.05,2860993.05,448734
Sub-Saharan Africa,Republic of the Congo,Vegetables,Offline,M,9/22/2011,833612382,11/09/2011,3283,154.06,90.93,505778.98,298523.19,207255.79
Central America and the Caribbean,Antigua and Barbuda ,Snacks,Online,H,4/28/2015,923597705,5/26/2015,1940,152.58,97.44,296005.2,189033.6,106971.6
Middle East and North Africa,United Arab Emirates,Vegetables,Online,C,9/17/2012,316129720,9/27/2012,8664,154.06,90.93,1334775.84,787817.52,546958.32
Sub-Saharan Africa,South Africa,Personal Care,Offline,M,08/09/2016,330007255,9/28/2016,5335,81.73,56.67,436029.55,302334.45,133695.1
Europe,Czech Republic,Clothes,Offline,C,6/25/2010,104341638,07/09/2010,5864,109.28,35.84,640817.92,210165.76,430652.16
