Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Burundi,Snacks,Offline,M,12/04/2010,515649163,12/04/2010,901,152.58,97.44,137474.58,87793.44,49681.14
Europe,Germany,Meat,Online,M,06/03/2011,193482387,06/06/2011,4593,421.89,364.69,1937740.77,1675021.17,262719.6
Asia,Taiwan,Snacks,Offline,H,05/07/2012,406088864,05/09/2012,9574,152.58,97.44,1460800.92,932890.56,527910.36
Sub-Saharan Africa,Mauritania,Baby Food,Online,L,06/04/2017,278517425,6/22/2017,8350,255.28,159.42,2131588,1331157,800431
Middle East and North Africa,Kuwait,Clothes,Online,L,4/14/2016,356129395,5/19/2016,5457,109.28,35.84,596340.96,195578.88,400762.08
Europe,Luxembourg,Beverages,Online,L,12/29/2010,354598605,1/23/2011,2462,47.45,31.79,116821.9,78266.98,38554.92
Europe,Slovakia,Cosmetics,Online,H,3/28/2012,509911382,4/21/2012,2964,437.2,263.33,1295860.8,780510.12,515350.68
Sub-Saharan Africa,Rwanda,Fruits,Online,C,11/09/2012,228366553,11/15/2012,7593,9.33,6.92,70842.69,52543.56,18299.13
Sub-Saharan Africa,Lesotho,Personal Care,Online,M,4/25/2014,336575448,05/03/2014,9009,81.73,56.67,736305.57,510540.03,225765.54
Asia,China,Clothes,Offline,L,05/12/2015,831461894,5/18/2015,6906,109.28,35.84,754687.68,247511.04,507176.64
Asia,Vietnam,Cereal,Online,L,10/20/2015,430262219,11/29/2015,3007,205.7,117.11,618539.9,352149.77,266390.13
Asia,Turkmenistan,Baby Food,Online,C,9/23/2012,620525252,10/27/2012,6066,255.28,159.42,1548528.48,967041.72,581486.76
Sub-Saharan Africa,Senegal,Personal Care,Offline,H,11/15/2011,710112321,12/14/2011,6871,81.73,56.67,561566.83,389379.57,172187.26
Central America and the Caribbean,Dominica,Fruits,Online,M,3/27/2016,977197253,04/02/2016,3238,9.33,6.92,30210.54,22406.96,7803.58
Europe,San Marino,Snacks,Online,M,10/01/2014,420266377,10/06/2014,5015,152.58,97.44,765188.7,488661.6,276527.1
Asia,Maldives,Meat,Offline,C,4/30/2016,808118522,05/07/2016,9084,421.89,364.69,3832448.76,3312843.96,519604.8
