Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Saint Vincent and the Grenadines,Personal Care,Offline,L,8/21/2010,593449532,10/02/2010,3759,81.73,56.67,307223.07,213022.53,94200.54
Middle East and North Africa,Somalia,Vegetables,Online,C,08/04/2015,144830119,8/26/2015,7306,154.06,90.93,1125562.36,664334.58,461227.78
Middle East and North Africa,Bahrain,Personal Care,Offline,C,02/12/2010,501687085,2/15/2010,9212,81.73,56.67,752896.76,522044.04,230852.72
Sub-Saharan Africa,Zambia,Fruits,Offline,C,3/31/2010,901569259,05/08/2010,3233,9.33,6.92,30163.89,22372.36,7791.53
Sub-Saharan Africa,Rwanda,Baby Food,Online,C,05/04/2010,202337968,6/13/2010,5156,255.28,159.42,1316223.68,821969.52,494254.16
Sub-Saharan Africa,Eritrea,Personal Care,Online,M,03/11/2017,932167041,3/25/2017,7797,81.73,56.67,637248.81,441855.99,195392.82
Middle East and North Africa,Tunisia ,Personal Care,Offline,H,12/11/2015,739542806,01/08/2016,6005,81.73,56.67,490788.65,340303.35,150485.3
Europe,Macedonia,Office Supplies,Online,L,9/24/2011,943264091,10/29/2011,1661,651.21,524.96,1081659.81,871958.56,209701.25
Middle East and North Africa,Iraq,Personal Care,Offline,H,10/02/2010,682442224,10/07/2010,8674,81.73,56.67,708926.02,491555.58,217370.44
Sub-Saharan Africa,Seychelles ,Meat,Offline,H,6/27/2016,966501033,08/11/2016,7988,421.89,364.69,3370057.32,2913143.72,456913.6
Sub-Saharan Africa,Burundi,Vegetables,Offline,M,10/07/2010,625176846,10/30/2010,2577,154.06,90.93,397012.62,234326.61,162686.01
Middle East and North Africa,Syria,Vegetables,Online,L,7/22/2010,358518493,09/10/2010,2444,154.06,90.93,376522.64,222232.92,154289.72
Asia,South Korea,Personal Care,Offline,M,03/03/2011,486887300,4/18/2011,9626,81.73,56.67,786732.98,545505.42,241227.56
Asia,Bangladesh,Cosmetics,Online,H,10/08/2012,500957095,10/29/2012,3192,437.2,263.33,1395542.4,840549.36,554993.04
Sub-Saharan Africa,Senegal,Baby Food,Online,C,08/06/2016,411714208,9/24/2016,4238,255.28,159.42,1081876.64,675621.96,406254.68
Sub-Saharan Africa,Madagascar,Cereal,Offline,C,08/01/2013,300457465,09/10/2013,896,205.7,117.11,184307.2,104930.56,79376.64
Sub-Saharan Africa,Sudan,Cereal,Offline,C,11/16/2010,768798196,12/05/2010,3325,205.7,117.11,683952.5,389390.75,294561.75
Central America and the Caribbean,Barbados,Beverages,Offline,H,11/24/2012,688660228,11/24/2012,8720,47.45,31.79,413764,277208.8,136555.2
Middle East and North Africa,Israel,Baby Food,Online,H,01/02/2010,352279889,01/11/2010,6302,255.28,159.42,1608774.56,1004664.84,604109.72
Europe,San Marino,Cereal,Online,M,07/12/2012,122206008,7/23/2012,2328,205.7,117.11,478869.6,272632.08,206237.52
Asia,Kyrgyzstan,Meat,Online,M,9/26/2016,881299912,10/29/2016,5083,421.89,364.69,2144466.87,1853719.27,290747.6
Australia and Oceania,New Zealand,Snacks,Offline,L,03/02/2016,882735431,4/13/2016,9885,152.58,97.44,1508253.3,963194.4,545058.9
Asia,Malaysia,Vegetables,Online,H,12/30/2012,699998891,1/15/2013,4082,154.06,90.93,628872.92,371176.26,257696.66
Sub-Saharan Africa,Cape Verde,Vegetables,Online,H,04/05/2014,976889121,4/29/2014,2054,154.06,90.93,316439.24,186770.22,129669.02
Asia,Bhutan,Beverages,Online,H,11/24/2012,177517449,01/09/2013,213,47.45,31.79,10106.85,6771.27,3335.58
Central America and the Caribbean,El Salvador,Fruits,Offline,M,4/16/2014,436307704,4/18/2014,2000,9.33,6.92,18660,13840,4820
