Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Tanzania,Office Supplies,Online,H,2/22/2017,962785851,3/26/2017,8584,651.21,524.96,5589986.64,4506256.64,1083730
Asia,Sri Lanka,Beverages,Offline,L,12/12/2014,476043879,1/31/2015,818,47.45,31.79,38814.1,26004.22,12809.88
Asia,North Korea,Cereal,Offline,L,2/22/2017,910793912,4/13/2017,3013,205.7,117.11,619774.1,352852.43,266921.67
Europe,Denmark,Fruits,Offline,L,06/01/2010,267084777,07/10/2010,5176,9.33,6.92,48292.08,35817.92,12474.16
Europe,Poland,Office Supplies,Online,C,10/18/2012,665277802,11/27/2012,9341,651.21,524.96,6082952.61,4903651.36,1179301.25
Europe,Bosnia and Herzegovina,Clothes,Online,H,11/16/2016,696046817,11/27/2016,4576,109.28,35.84,500065.28,164003.84,336061.44
Sub-Saharan Africa,Angola,Cereal,Offline,M,4/26/2016,370378148,5/25/2016,1979,205.7,117.11,407080.3,231760.69,175319.61
Sub-Saharan Africa,Cape Verde,Meat,Offline,C,3/14/2017,669570624,3/15/2017,9682,421.89,364.69,4084738.98,3530928.58,553810.4
Europe,Romania,Meat,Offline,M,07/12/2011,395235574,7/16/2011,7844,421.89,364.69,3309305.16,2860628.36,448676.8
Europe,Moldova ,Cosmetics,Online,H,4/19/2011,219296824,4/21/2011,3658,437.2,263.33,1599277.6,963261.14,636016.46
Australia and Oceania,Australia,Snacks,Offline,L,06/06/2014,433990705,6/25/2014,6349,152.58,97.44,968730.42,618646.56,350083.86
Sub-Saharan Africa,Burundi,Vegetables,Online,H,2/13/2016,501866042,03/05/2016,2169,154.06,90.93,334156.14,197227.17,136928.97
Europe,Denmark,Beverages,Offline,L,8/17/2012,405784165,9/22/2012,9407,47.45,31.79,446362.15,299048.53,147313.62
Sub-Saharan Africa,Sudan,Fruits,Online,H,8/22/2012,198918902,9/20/2012,3378,9.33,6.92,31516.74,23375.76,8140.98
Middle East and North Africa,Somalia,Meat,Offline,L,10/07/2010,454756581,11/06/2010,1433,421.89,364.69,604568.37,522600.77,81967.6
Sub-Saharan Africa,Chad,Baby Food,Online,C,01/12/2014,917096030,1/19/2014,7950,255.28,159.42,2029476,1267389,762087
