Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Tonga,Cereal,Offline,M,2/24/2012,173751199,04/06/2012,5696,205.7,117.11,1171667.2,667058.56,504608.64
Asia,Malaysia,Cereal,Online,C,11/12/2012,560312449,12/28/2012,7760,205.7,117.11,1596232,908773.6,687458.4
Sub-Saharan Africa,Cameroon,Cosmetics,Offline,L,12/10/2016,437506330,12/29/2016,6700,437.2,263.33,2929240,1764311,1164929
Central America and the Caribbean,Costa Rica,Baby Food,Online,C,01/03/2012,167881667,1/30/2012,8771,255.28,159.42,2239060.88,1398272.82,840788.06
Europe,France,Baby Food,Offline,H,1/13/2017,634299790,03/02/2017,2258,255.28,159.42,576422.24,359970.36,216451.88
Asia,India,Clothes,Online,H,06/04/2010,989934527,7/22/2010,2480,109.28,35.84,271014.4,88883.2,182131.2
Europe,Switzerland,Vegetables,Online,M,1/25/2017,908272206,1/29/2017,6785,154.06,90.93,1045297.1,616960.05,428337.05
Asia,Philippines,Fruits,Offline,M,9/15/2013,133111655,10/23/2013,9552,9.33,6.92,89120.16,66099.84,23020.32
Australia and Oceania,Samoa ,Meat,Offline,M,01/03/2016,728564202,1/31/2016,7193,421.89,364.69,3034654.77,2623215.17,411439.6
Sub-Saharan Africa,Democratic Republic of the Congo,Vegetables,Offline,M,03/12/2014,329053676,4/25/2014,3150,154.06,90.93,485289,286429.5,198859.5
Sub-Saharan Africa,Madagascar,Household,Offline,M,9/16/2014,689316403,10/04/2014,2897,668.27,502.54,1935978.19,1455858.38,480119.81
Asia,Laos,Meat,Offline,L,09/10/2013,934401214,10/01/2013,8938,421.89,364.69,3770852.82,3259599.22,511253.6
Europe,Albania,Household,Offline,M,12/05/2015,709669435,1/13/2016,5811,668.27,502.54,3883316.97,2920259.94,963057.03
Central America and the Caribbean,The Bahamas,Cereal,Offline,M,11/24/2015,630794894,01/05/2016,5082,205.7,117.11,1045367.4,595153.02,450214.38
Australia and Oceania,Nauru,Vegetables,Online,M,9/23/2016,933763921,10/09/2016,349,154.06,90.93,53766.94,31734.57,22032.37
Sub-Saharan Africa,South Sudan,Cereal,Online,L,04/03/2011,124875342,05/09/2011,2244,205.7,117.11,461590.8,262794.84,198795.96
Central America and the Caribbean,Saint Kitts and Nevis ,Beverages,Online,H,02/01/2016,830740487,03/11/2016,3426,47.45,31.79,162563.7,108912.54,53651.16
Australia and Oceania,Federated States of Micronesia,Fruits,Offline,M,10/27/2014,348283183,12/16/2014,3588,9.33,6.92,33476.04,24828.96,8647.08
Europe,Italy,Personal Care,Offline,C,11/06/2014,994739758,11/13/2014,4455,81.73,56.67,364107.15,252464.85,111642.3
Australia and Oceania,Marshall Islands,Cosmetics,Online,L,04/03/2013,657659041,5/13/2013,4780,437.2,263.33,2089816,1258717.4,831098.6
Europe,Slovenia,Fruits,Online,L,10/09/2015,444902360,11/14/2015,5350,9.33,6.92,49915.5,37022,12893.5
Europe,Belarus,Cereal,Online,H,04/04/2010,634643542,4/30/2010,3982,205.7,117.11,819097.4,466332.02,352765.38
Europe,Sweden,Household,Online,L,12/05/2015,225368916,12/05/2015,525,668.27,502.54,350841.75,263833.5,87008.25
Sub-Saharan Africa,Botswana,Baby Food,Online,L,5/31/2011,985877311,07/10/2011,1859,255.28,159.42,474565.52,296361.78,178203.74
Middle East and North Africa,Qatar,Cereal,Online,C,04/11/2014,705280053,5/19/2014,6895,205.7,117.11,1418301.5,807473.45,610828.05
Asia,Bangladesh,Clothes,Offline,C,8/21/2016,843000972,9/17/2016,1576,109.28,35.84,172225.28,56483.84,115741.44
Sub-Saharan Africa,Republic of the Congo,Clothes,Offline,M,09/06/2011,678776395,09/07/2011,3874,109.28,35.84,423350.72,138844.16,284506.56
Europe,Romania,Snacks,Online,M,08/03/2012,462655150,9/17/2012,8795,152.58,97.44,1341941.1,856984.8,484956.3
Middle East and North Africa,United Arab Emirates,Meat,Offline,H,11/22/2010,964998567,11/24/2010,3375,421.89,364.69,1423878.75,1230828.75,193050
Europe,Serbia,Meat,Offline,L,7/16/2010,326480472,7/27/2010,1682,421.89,364.69,709618.98,613408.58,96210.4
Europe,Macedonia,Cereal,Online,C,7/20/2016,808087193,08/08/2016,9813,205.7,117.11,2018534.1,1149200.43,869333.67
Sub-Saharan Africa,Djibouti,Clothes,Online,H,1/28/2016,241117560,02/08/2016,899,109.28,35.84,98242.72,32220.16,66022.56
Australia and Oceania,Tuvalu,Clothes,Offline,H,6/23/2012,577182900,7/31/2012,101,109.28,35.84,11037.28,3619.84,7417.44
Asia,Vietnam,Office Supplies,Offline,M,12/19/2013,238207042,1/26/2014,9612,651.21,524.96,6259430.52,5045915.52,1213515
Asia,China,Snacks,Offline,L,09/04/2014,866426312,9/14/2014,3655,152.58,97.44,557679.9,356143.2,201536.7
Sub-Saharan Africa,South Sudan,Cereal,Offline,H,08/03/2013,574389541,9/20/2013,3484,205.7,117.11,716658.8,408011.24,308647.56
Sub-Saharan Africa,Mozambique,Cereal,Online,H,10/02/2010,694958055,10/03/2010,2387,205.7,117.11,491005.9,279541.57,211464.33
Europe,Ireland,Beverages,Offline,H,1/24/2011,831305682,02/05/2011,680,47.45,31.79,32266,21617.2,10648.8
Australia and Oceania,Marshall Islands,Fruits,Online,L,12/02/2012,206918752,01/06/2013,712,9.33,6.92,6642.96,4927.04,1715.92
