Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Costa Rica,Cereal,Online,L,03/09/2014,595861375,04/08/2014,7477,205.7,117.11,1538018.9,875631.47,662387.43
Asia,Philippines,Snacks,Offline,M,04/08/2015,457990252,5/15/2015,8348,152.58,97.44,1273737.84,813429.12,460308.72
Sub-Saharan Africa,Tanzania,Beverages,Online,C,3/19/2012,684384572,04/06/2012,3458,47.45,31.79,164082.1,109929.82,54152.28
Sub-Saharan Africa,Equatorial Guinea,Cereal,Online,H,11/02/2015,568843162,11/18/2015,2187,205.7,117.11,449865.9,256119.57,193746.33
Europe,Czech Republic,Beverages,Offline,M,4/20/2015,825477349,5/27/2015,5946,47.45,31.79,282137.7,189023.34,93114.36
Sub-Saharan Africa,Equatorial Guinea,Fruits,Online,H,03/11/2012,438710963,04/06/2012,3178,9.33,6.92,29650.74,21991.76,7658.98
Australia and Oceania,East Timor,Office Supplies,Online,M,9/24/2016,713280332,11/03/2016,4356,651.21,524.96,2836670.76,2286725.76,549945
Middle East and North Africa,Yemen,Cereal,Online,H,9/15/2013,324234282,10/09/2013,6984,205.7,117.11,1436608.8,817896.24,618712.56
Australia and Oceania,Vanuatu,Vegetables,Offline,M,09/08/2011,266934144,10/16/2011,600,154.06,90.93,92436,54558,37878
Sub-Saharan Africa,Ghana,Household,Online,H,07/06/2016,707053744,08/05/2016,1770,668.27,502.54,1182837.9,889495.8,293342.1
Asia,Myanmar,Cosmetics,Offline,M,5/18/2012,530579411,5/27/2012,9093,437.2,263.33,3975459.6,2394459.69,1580999.91
Sub-Saharan Africa,Tanzania,Cereal,Offline,M,1/18/2011,493809974,2/13/2011,8200,205.7,117.11,1686740,960302,726438
Australia and Oceania,Vanuatu,Vegetables,Online,H,3/15/2010,973356759,4/25/2010,6750,154.06,90.93,1039905,613777.5,426127.5
Central America and the Caribbean,Dominican Republic,Cosmetics,Offline,H,5/16/2012,616143596,5/22/2012,9437,437.2,263.33,4125856.4,2485045.21,1640811.19
Sub-Saharan Africa,Guinea-Bissau,Cosmetics,Offline,H,08/03/2013,389406812,09/07/2013,2984,437.2,263.33,1304604.8,785776.72,518828.08
Asia,India,Vegetables,Online,L,9/20/2014,430695235,10/18/2014,1146,154.06,90.93,176552.76,104205.78,72346.98
Sub-Saharan Africa,Democratic Republic of the Congo,Office Supplies,Offline,C,2/21/2010,497870194,2/24/2010,9709,651.21,524.96,6322597.89,5096836.64,1225761.25
Central America and the Caribbean,Nicaragua,Baby Food,Offline,M,3/19/2014,419105517,3/31/2014,1491,255.28,159.42,380622.48,237695.22,142927.26
Europe,Latvia,Clothes,Offline,H,1/29/2012,542887532,2/21/2012,1340,109.28,35.84,146435.2,48025.6,98409.6
Asia,Laos,Cosmetics,Offline,C,06/10/2016,388015067,7/21/2016,1136,437.2,263.33,496659.2,299142.88,197516.32
Central America and the Caribbean,Dominica,Personal Care,Offline,C,10/16/2010,893599450,11/18/2010,4790,81.73,56.67,391486.7,271449.3,120037.4
Europe,Andorra,Meat,Offline,L,9/30/2013,369064509,10/06/2013,3245,421.89,364.69,1369033.05,1183419.05,185614
Europe,Georgia,Cereal,Online,C,9/17/2014,344146573,10/20/2014,9474,205.7,117.11,1948801.8,1109500.14,839301.66
Europe,Moldova ,Personal Care,Online,L,07/04/2015,618894469,7/23/2015,3482,81.73,56.67,284583.86,197324.94,87258.92
Australia and Oceania,Vanuatu,Cereal,Offline,C,06/11/2011,613669526,7/18/2011,7305,205.7,117.11,1502638.5,855488.55,647149.95
Australia and Oceania,Federated States of Micronesia,Clothes,Online,H,04/07/2010,719145572,5/24/2010,11,109.28,35.84,1202.08,394.24,807.84
Asia,Kyrgyzstan,Office Supplies,Offline,H,3/16/2013,946308934,04/06/2013,2698,651.21,524.96,1756964.58,1416342.08,340622.5
Europe,Switzerland,Baby Food,Offline,M,3/13/2011,476458442,04/04/2011,3496,255.28,159.42,892458.88,557332.32,335126.56
Europe,Georgia,Fruits,Online,C,5/22/2011,811205422,6/16/2011,2566,9.33,6.92,23940.78,17756.72,6184.06
Asia,Japan,Cereal,Online,H,8/19/2010,822473704,9/29/2010,7101,205.7,117.11,1460675.7,831598.11,629077.59
Australia and Oceania,Australia,Beverages,Online,H,06/03/2014,802499616,7/21/2014,6324,47.45,31.79,300073.8,201039.96,99033.84
Sub-Saharan Africa,Democratic Republic of the Congo,Meat,Online,L,5/19/2010,213831984,5/27/2010,6491,421.89,364.69,2738487.99,2367202.79,371285.2
Asia,Laos,Fruits,Offline,H,6/26/2017,839332139,6/28/2017,5887,9.33,6.92,54925.71,40738.04,14187.67
Australia and Oceania,Papua New Guinea,Household,Online,H,2/19/2014,932173907,04/06/2014,9829,668.27,502.54,6568425.83,4939465.66,1628960.17
Europe,Estonia,Beverages,Online,L,1/29/2010,165843617,2/15/2010,5667,47.45,31.79,268899.15,180153.93,88745.22
Europe,Romania,Office Supplies,Offline,C,05/06/2012,984140098,06/10/2012,7780,651.21,524.96,5066413.8,4084188.8,982225
North America,Greenland,Fruits,Offline,L,11/19/2013,951174676,12/19/2013,2579,9.33,6.92,24062.07,17846.68,6215.39
Asia,Uzbekistan,Household,Online,L,6/29/2012,401371181,7/19/2012,3507,668.27,502.54,2343622.89,1762407.78,581215.11
Sub-Saharan Africa,Democratic Republic of the Congo,Meat,Online,C,08/12/2014,189465939,9/21/2014,6037,421.89,364.69,2546949.93,2201633.53,345316.4
Middle East and North Africa,Algeria,Beverages,Online,L,5/20/2016,340507781,5/29/2016,2674,47.45,31.79,126881.3,85006.46,41874.84
Middle East and North Africa,Iraq,Meat,Online,H,01/06/2015,499858033,1/18/2015,7955,421.89,364.69,3356134.95,2901108.95,455026
Australia and Oceania,Federated States of Micronesia,Vegetables,Online,M,7/26/2012,383190524,8/17/2012,3446,154.06,90.93,530890.76,313344.78,217545.98
Europe,San Marino,Baby Food,Online,C,03/01/2012,226491582,3/24/2012,2747,255.28,159.42,701254.16,437926.74,263327.42
Middle East and North Africa,Jordan,Cosmetics,Online,L,3/19/2014,336060035,4/28/2014,6487,437.2,263.33,2836116.4,1708221.71,1127894.69
Europe,Liechtenstein,Fruits,Offline,H,08/07/2012,638507211,8/17/2012,7328,9.33,6.92,68370.24,50709.76,17660.48
Sub-Saharan Africa,Mali,Baby Food,Offline,L,8/26/2013,230756938,09/03/2013,4961,255.28,159.42,1266444.08,790882.62,475561.46
Asia,Bhutan,Meat,Offline,L,03/06/2017,530045545,3/30/2017,1110,421.89,364.69,468297.9,404805.9,63492
Australia and Oceania,Solomon Islands,Office Supplies,Offline,H,09/10/2012,323921859,10/15/2012,4531,651.21,524.96,2950632.51,2378593.76,572038.75
Central America and the Caribbean,El Salvador,Household,Offline,H,07/02/2013,720247209,7/31/2013,6009,668.27,502.54,4015634.43,3019762.86,995871.57
Asia,Thailand,Household,Online,H,01/12/2015,197195422,2/19/2015,3362,668.27,502.54,2246723.74,1689539.48,557184.26
Sub-Saharan Africa,Democratic Republic of the Congo,Office Supplies,Offline,H,10/15/2013,453252828,10/16/2013,6439,651.21,524.96,4193141.19,3380217.44,812923.75
Australia and Oceania,Fiji,Beverages,Online,H,02/12/2011,557218253,02/12/2011,2119,47.45,31.79,100546.55,67363.01,33183.54
Middle East and North Africa,Israel,Baby Food,Online,L,01/02/2017,998203027,1/30/2017,9313,255.28,159.42,2377422.64,1484678.46,892744.18
Europe,Bulgaria,Clothes,Online,H,01/01/2016,535630977,1/18/2016,3964,109.28,35.84,433185.92,142069.76,291116.16
Asia,India,Clothes,Online,M,06/08/2016,249238431,6/20/2016,4045,109.28,35.84,442037.6,144972.8,297064.8
Europe,Netherlands,Snacks,Online,M,05/06/2016,389074218,6/21/2016,4562,152.58,97.44,696069.96,444521.28,251548.68
Central America and the Caribbean,Barbados,Meat,Offline,M,10/31/2014,825499665,11/15/2014,2550,421.89,364.69,1075819.5,929959.5,145860
