Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Tunisia ,Beverages,Offline,C,12/02/2014,604901063,01/05/2015,2522,47.45,31.79,119668.9,80174.38,39494.52
Europe,Romania,Personal Care,Offline,H,07/10/2010,733008944,08/06/2010,2491,81.73,56.67,203589.43,141164.97,62424.46
Middle East and North Africa,Algeria,Cosmetics,Offline,C,5/23/2015,947647893,07/04/2015,8925,437.2,263.33,3902010,2350220.25,1551789.75
Middle East and North Africa,Qatar,Beverages,Offline,L,12/28/2010,205116736,1/22/2011,7455,47.45,31.79,353739.75,236994.45,116745.3
Europe,Spain,Clothes,Offline,L,2/25/2010,682026803,04/07/2010,5742,109.28,35.84,627485.76,205793.28,421692.48
Middle East and North Africa,Iran,Clothes,Online,L,5/29/2015,125301921,07/08/2015,8478,109.28,35.84,926475.84,303851.52,622624.32
Europe,Finland,Household,Online,C,3/18/2015,402178418,4/21/2015,2386,668.27,502.54,1594492.22,1199060.44,395431.78
Europe,Slovakia,Personal Care,Offline,M,06/07/2010,750205123,07/04/2010,1222,81.73,56.67,99874.06,69250.74,30623.32
Australia and Oceania,Solomon Islands,Baby Food,Online,H,08/05/2010,927243363,09/07/2010,771,255.28,159.42,196820.88,122912.82,73908.06
Central America and the Caribbean,Dominican Republic,Clothes,Offline,M,11/28/2014,761466968,12/04/2014,3852,109.28,35.84,420946.56,138055.68,282890.88
Australia and Oceania,Palau,Fruits,Offline,C,02/04/2016,601362264,2/19/2016,5312,9.33,6.92,49560.96,36759.04,12801.92
Middle East and North Africa,Azerbaijan,Fruits,Online,L,9/17/2011,865728080,9/29/2011,7032,9.33,6.92,65608.56,48661.44,16947.12
Asia,Philippines,Beverages,Offline,M,7/14/2015,693675744,7/31/2015,2923,47.45,31.79,138696.35,92922.17,45774.18
Asia,Tajikistan,Snacks,Online,H,11/23/2015,194629085,12/31/2015,3926,152.58,97.44,599029.08,382549.44,216479.64
Europe,Moldova ,Cosmetics,Offline,C,05/03/2017,898324429,6/14/2017,3016,437.2,263.33,1318595.2,794203.28,524391.92
Central America and the Caribbean,Saint Lucia,Cereal,Online,C,02/11/2014,804810607,3/23/2014,198,205.7,117.11,40728.6,23187.78,17540.82
Middle East and North Africa,United Arab Emirates,Clothes,Online,C,09/08/2016,234448945,09/09/2016,7508,109.28,35.84,820474.24,269086.72,551387.52
Middle East and North Africa,Bahrain,Fruits,Offline,M,1/27/2010,477913272,03/07/2010,4012,9.33,6.92,37431.96,27763.04,9668.92
Asia,Vietnam,Meat,Online,H,8/27/2010,646189916,9/19/2010,811,421.89,364.69,342152.79,295763.59,46389.2
Europe,Germany,Office Supplies,Online,L,12/07/2016,820577704,12/24/2016,6033,651.21,524.96,3928749.93,3167083.68,761666.25
Sub-Saharan Africa,South Africa,Household,Online,H,05/07/2013,702687966,6/21/2013,9839,668.27,502.54,6575108.53,4944491.06,1630617.47
Asia,Vietnam,Fruits,Online,L,11/22/2011,964444530,12/10/2011,9423,9.33,6.92,87916.59,65207.16,22709.43
Europe,Sweden,Meat,Online,M,6/25/2010,998083722,07/11/2010,4008,421.89,364.69,1690935.12,1461677.52,229257.6
Sub-Saharan Africa,Cape Verde,Vegetables,Offline,M,11/21/2011,266154372,11/22/2011,9848,154.06,90.93,1517182.88,895478.64,621704.24
Europe,Estonia,Beverages,Online,H,5/17/2012,551517808,5/19/2012,5230,47.45,31.79,248163.5,166261.7,81901.8
Europe,Netherlands,Beverages,Offline,L,1/21/2013,107347857,2/25/2013,5471,47.45,31.79,259598.95,173923.09,85675.86
Australia and Oceania,East Timor,Meat,Offline,C,02/09/2016,407130849,03/09/2016,7920,421.89,364.69,3341368.8,2888344.8,453024
Asia,Malaysia,Cereal,Online,C,5/30/2013,294665610,5/31/2013,6957,205.7,117.11,1431054.9,814734.27,616320.63
Asia,Laos,Household,Online,L,1/23/2013,934063470,2/26/2013,8993,668.27,502.54,6009752.11,4519342.22,1490409.89
Europe,Slovenia,Personal Care,Online,H,11/11/2012,859748256,12/27/2012,7469,81.73,56.67,610441.37,423268.23,187173.14
Sub-Saharan Africa,Mauritania,Personal Care,Online,L,09/05/2011,926456296,9/24/2011,7861,81.73,56.67,642479.53,445482.87,196996.66
Sub-Saharan Africa,Swaziland,Beverages,Offline,H,3/21/2013,259236419,4/15/2013,2672,47.45,31.79,126786.4,84942.88,41843.52
Europe,Romania,Fruits,Offline,C,9/13/2014,303449952,10/30/2014,6439,9.33,6.92,60075.87,44557.88,15517.99
Sub-Saharan Africa,Burundi,Office Supplies,Offline,L,08/08/2010,774770724,8/16/2010,729,651.21,524.96,474732.09,382695.84,92036.25
Central America and the Caribbean,Belize,Cereal,Online,M,8/18/2011,109185063,10/02/2011,9141,205.7,117.11,1880303.7,1070502.51,809801.19
Central America and the Caribbean,Antigua and Barbuda ,Cereal,Offline,H,08/09/2010,412991797,09/07/2010,2305,205.7,117.11,474138.5,269938.55,204199.95
Australia and Oceania,Kiribati,Clothes,Offline,C,7/28/2016,712802255,9/16/2016,2882,109.28,35.84,314944.96,103290.88,211654.08
Europe,Malta,Household,Online,H,2/18/2013,105540263,3/21/2013,564,668.27,502.54,376904.28,283432.56,93471.72
Central America and the Caribbean,Guatemala,Cosmetics,Online,L,04/01/2015,908442151,4/13/2015,7075,437.2,263.33,3093190,1863059.75,1230130.25
Europe,Russia,Clothes,Online,H,06/05/2012,109056746,6/27/2012,1170,109.28,35.84,127857.6,41932.8,85924.8
Sub-Saharan Africa,Swaziland,Office Supplies,Online,L,5/27/2010,615245378,7/15/2010,3634,651.21,524.96,2366497.14,1907704.64,458792.5
Asia,Tajikistan,Meat,Online,M,03/06/2012,905181872,3/27/2012,2286,421.89,364.69,964440.54,833681.34,130759.2
Europe,Czech Republic,Baby Food,Online,H,04/04/2014,877352559,05/06/2014,6974,255.28,159.42,1780322.72,1111795.08,668527.64
Asia,North Korea,Cereal,Offline,H,5/29/2010,500556266,06/09/2010,4577,205.7,117.11,941488.9,536012.47,405476.43
Sub-Saharan Africa,Cote d'Ivoire,Meat,Online,H,8/16/2010,263904321,8/18/2010,4008,421.89,364.69,1690935.12,1461677.52,229257.6
Middle East and North Africa,Israel,Fruits,Online,L,08/06/2014,726820552,09/12/2014,1208,9.33,6.92,11270.64,8359.36,2911.28
Asia,Uzbekistan,Beverages,Online,C,07/07/2015,269041287,7/17/2015,4150,47.45,31.79,196917.5,131928.5,64989
Sub-Saharan Africa,Cape Verde,Office Supplies,Offline,C,5/29/2011,940615355,06/03/2011,7841,651.21,524.96,5106137.61,4116211.36,989926.25
Sub-Saharan Africa,Seychelles ,Fruits,Offline,L,07/11/2016,811904084,7/30/2016,9316,9.33,6.92,86918.28,64466.72,22451.56
Asia,Brunei,Baby Food,Online,C,02/09/2012,723581302,3/16/2012,2642,255.28,159.42,674449.76,421187.64,253262.12
Europe,Netherlands,Cereal,Online,C,9/27/2010,236633336,10/01/2010,3918,205.7,117.11,805932.6,458836.98,347095.62
Sub-Saharan Africa,Mauritania,Beverages,Offline,L,9/19/2014,782359015,9/30/2014,6273,47.45,31.79,297653.85,199418.67,98235.18
Sub-Saharan Africa,Cameroon,Snacks,Offline,C,04/03/2012,712369668,04/09/2012,4870,152.58,97.44,743064.6,474532.8,268531.8
Asia,China,Baby Food,Online,H,7/28/2011,248589122,8/23/2011,1900,255.28,159.42,485032,302898,182134
Central America and the Caribbean,Saint Vincent and the Grenadines,Household,Offline,M,5/14/2014,133253705,06/07/2014,1587,668.27,502.54,1060544.49,797530.98,263013.51
Sub-Saharan Africa,Mauritania,Snacks,Online,L,1/19/2012,278912246,2/26/2012,5186,152.58,97.44,791279.88,505323.84,285956.04
Central America and the Caribbean,Nicaragua,Office Supplies,Offline,H,3/30/2012,218426072,4/20/2012,5983,651.21,524.96,3896189.43,3140835.68,755353.75
