Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Romania,Snacks,Offline,H,9/30/2013,649608552,11/07/2013,2461,152.58,97.44,375499.38,239799.84,135699.54
Sub-Saharan Africa,Benin,Clothes,Offline,M,5/14/2012,377594363,6/19/2012,7418,109.28,35.84,810639.04,265861.12,544777.92
Central America and the Caribbean,Grenada,Vegetables,Online,M,10/20/2013,691329991,11/10/2013,8762,154.06,90.93,1349873.72,796728.66,553145.06
Australia and Oceania,Nauru,Cosmetics,Offline,C,10/09/2012,322114264,11/08/2012,9624,437.2,263.33,4207612.8,2534287.92,1673324.88
Europe,Andorra,Vegetables,Offline,C,8/22/2012,321558511,09/04/2012,5164,154.06,90.93,795565.84,469562.52,326003.32
Europe,Vatican City,Vegetables,Offline,M,1/18/2014,911586558,1/26/2014,7575,154.06,90.93,1167004.5,688794.75,478209.75
North America,Mexico,Cereal,Offline,H,2/16/2011,134434735,03/03/2011,1080,205.7,117.11,222156,126478.8,95677.2
Central America and the Caribbean,The Bahamas,Snacks,Online,M,06/07/2010,602651870,07/03/2010,6935,152.58,97.44,1058142.3,675746.4,382395.9
Sub-Saharan Africa,Central African Republic,Office Supplies,Online,H,01/05/2012,949099290,2/16/2012,8426,651.21,524.96,5487095.46,4423312.96,1063782.5
Europe,Russia,Beverages,Offline,H,03/10/2013,776950824,3/13/2013,5869,47.45,31.79,278484.05,186575.51,91908.54
Europe,Belarus,Cereal,Offline,C,05/12/2012,209692800,5/29/2012,1614,205.7,117.11,331999.8,189015.54,142984.26
Australia and Oceania,Federated States of Micronesia,Household,Offline,M,10/07/2012,341124045,10/31/2012,5040,668.27,502.54,3368080.8,2532801.6,835279.2
Asia,Thailand,Vegetables,Offline,L,2/22/2011,985355889,3/25/2011,7559,154.06,90.93,1164539.54,687339.87,477199.67
Sub-Saharan Africa,Uganda,Clothes,Offline,M,8/25/2016,226812160,9/26/2016,7613,109.28,35.84,831948.64,272849.92,559098.72
Middle East and North Africa,Turkey,Office Supplies,Offline,M,10/16/2016,270229184,11/19/2016,5676,651.21,524.96,3696267.96,2979672.96,716595
Europe,Vatican City,Snacks,Online,H,07/01/2011,690655791,08/03/2011,9251,152.58,97.44,1411517.58,901417.44,510100.14
Australia and Oceania,Samoa ,Cosmetics,Online,C,11/27/2016,683453309,01/05/2017,7877,437.2,263.33,3443824.4,2074250.41,1369573.99
Middle East and North Africa,Saudi Arabia,Baby Food,Online,H,2/24/2016,414295566,4/13/2016,8119,255.28,159.42,2072618.32,1294330.98,778287.34
Sub-Saharan Africa,Nigeria,Vegetables,Online,H,2/19/2016,569168889,3/13/2016,8577,154.06,90.93,1321372.62,779906.61,541466.01
Sub-Saharan Africa,Chad,Meat,Offline,H,6/25/2013,104372107,07/05/2013,4881,421.89,364.69,2059245.09,1780051.89,279193.2
Central America and the Caribbean,Saint Lucia,Vegetables,Offline,M,06/10/2013,296516549,07/04/2013,4691,154.06,90.93,722695.46,426552.63,296142.83
Sub-Saharan Africa,Sierra Leone,Beverages,Online,L,12/23/2010,692526042,01/05/2011,2700,47.45,31.79,128115,85833,42282
Europe,Norway,Cosmetics,Offline,L,04/04/2017,459636914,5/17/2017,5632,437.2,263.33,2462310.4,1483074.56,979235.84
Sub-Saharan Africa,Swaziland,Beverages,Offline,H,06/10/2010,635397994,6/24/2010,7241,47.45,31.79,343585.45,230191.39,113394.06
Central America and the Caribbean,Antigua and Barbuda ,Snacks,Offline,M,03/09/2015,977670609,4/22/2015,3314,152.58,97.44,505650.12,322916.16,182733.96
Middle East and North Africa,Lebanon,Clothes,Offline,L,7/27/2015,414628589,8/30/2015,6668,109.28,35.84,728679.04,238981.12,489697.92
Europe,Spain,Baby Food,Online,H,11/15/2011,194758260,11/16/2011,2152,255.28,159.42,549362.56,343071.84,206290.72
Europe,Serbia,Vegetables,Online,L,10/21/2016,736858451,10/23/2016,1645,154.06,90.93,253428.7,149579.85,103848.85
Asia,Myanmar,Cereal,Online,H,11/07/2013,280040490,11/12/2013,9059,205.7,117.11,1863436.3,1060899.49,802536.81
Central America and the Caribbean,Saint Vincent and the Grenadines,Personal Care,Online,M,1/24/2014,733728206,02/09/2014,5336,81.73,56.67,436111.28,302391.12,133720.16
Europe,Ireland,Cereal,Online,C,06/01/2014,927657926,06/06/2014,3450,205.7,117.11,709665,404029.5,305635.5
Sub-Saharan Africa,Swaziland,Baby Food,Online,C,9/21/2016,661878478,10/23/2016,3405,255.28,159.42,869228.4,542825.1,326403.3
Sub-Saharan Africa,Botswana,Cosmetics,Offline,M,4/23/2016,256751191,05/10/2016,7238,437.2,263.33,3164453.6,1905982.54,1258471.06
