Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Burundi,Cereal,Offline,H,12/24/2012,701179063,01/09/2013,3321,205.7,117.11,683129.7,388922.31,294207.39
Asia,North Korea,Snacks,Offline,L,5/16/2013,359841144,6/17/2013,3846,152.58,97.44,586822.68,374754.24,212068.44
Europe,Netherlands,Cosmetics,Offline,M,4/26/2017,340581166,5/25/2017,4390,437.2,263.33,1919308,1156018.7,763289.3
Middle East and North Africa,Azerbaijan,Office Supplies,Offline,C,9/13/2016,387197959,10/08/2016,9335,651.21,524.96,6079045.35,4900501.6,1178543.75
Europe,Italy,Clothes,Offline,M,1/16/2012,763802850,1/17/2012,5091,109.28,35.84,556344.48,182461.44,373883.04
Sub-Saharan Africa,Cape Verde,Fruits,Offline,H,4/15/2016,904819667,05/12/2016,5101,9.33,6.92,47592.33,35298.92,12293.41
Central America and the Caribbean,Antigua and Barbuda ,Beverages,Offline,H,2/26/2013,764984738,04/02/2013,4839,47.45,31.79,229610.55,153831.81,75778.74
Sub-Saharan Africa,Mozambique,Snacks,Offline,H,12/08/2013,369346892,1/23/2014,6808,152.58,97.44,1038764.64,663371.52,375393.12
Middle East and North Africa,Turkey,Household,Offline,C,11/02/2015,263267457,12/15/2015,5546,668.27,502.54,3706225.42,2787086.84,919138.58
Australia and Oceania,Solomon Islands,Office Supplies,Offline,H,05/06/2013,162420260,6/25/2013,2619,651.21,524.96,1705518.99,1374870.24,330648.75
Asia,Indonesia,Personal Care,Online,M,2/27/2017,302791631,2/28/2017,1627,81.73,56.67,132974.71,92202.09,40772.62
Sub-Saharan Africa,Nigeria,Baby Food,Offline,C,7/14/2012,990680396,08/05/2012,3199,255.28,159.42,816640.72,509984.58,306656.14
Sub-Saharan Africa,Central African Republic,Cereal,Online,L,02/01/2016,352697885,3/21/2016,9997,205.7,117.11,2056382.9,1170748.67,885634.23
Europe,Cyprus,Office Supplies,Online,M,5/31/2011,185767924,06/06/2011,1712,651.21,524.96,1114871.52,898731.52,216140
Europe,Belarus,Vegetables,Online,L,6/22/2013,107126843,7/28/2013,68,154.06,90.93,10476.08,6183.24,4292.84
Central America and the Caribbean,Grenada,Cosmetics,Online,C,10/14/2011,704323470,10/25/2011,3821,437.2,263.33,1670541.2,1006183.93,664357.27
Asia,Tajikistan,Cosmetics,Offline,L,1/28/2012,385219132,2/23/2012,3757,437.2,263.33,1642560.4,989330.81,653229.59
Asia,Taiwan,Personal Care,Offline,H,05/07/2017,327987658,5/13/2017,7692,81.73,56.67,628667.16,435905.64,192761.52
Sub-Saharan Africa,Equatorial Guinea,Vegetables,Online,M,7/13/2016,431115376,8/28/2016,5475,154.06,90.93,843478.5,497841.75,345636.75
North America,Canada,Household,Online,L,12/23/2010,663401114,1/15/2011,3987,668.27,502.54,2664392.49,2003626.98,660765.51
Australia and Oceania,Kiribati,Fruits,Offline,H,09/01/2010,613956201,10/04/2010,2138,9.33,6.92,19947.54,14794.96,5152.58
Sub-Saharan Africa,Guinea-Bissau,Cereal,Offline,H,4/20/2015,842204463,4/26/2015,5871,205.7,117.11,1207664.7,687552.81,520111.89
