Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Gabon,Office Supplies,Offline,C,08/08/2016,801909959,8/25/2016,1832,651.21,524.96,1193016.72,961726.72,231290
Sub-Saharan Africa,Djibouti,Personal Care,Online,M,3/29/2014,992749774,4/17/2014,5574,81.73,56.67,455563.02,315878.58,139684.44
Sub-Saharan Africa,Angola,Baby Food,Offline,H,12/12/2012,591605031,12/17/2012,7930,255.28,159.42,2024370.4,1264200.6,760169.8
Europe,Denmark,Household,Online,H,12/19/2015,692274558,01/05/2016,8280,668.27,502.54,5533275.6,4161031.2,1372244.4
Europe,Monaco,Cereal,Online,L,6/15/2012,208869683,6/27/2012,8036,205.7,117.11,1653005.2,941095.96,711909.24
Asia,Kazakhstan,Baby Food,Online,C,7/31/2011,825814235,09/02/2011,5638,255.28,159.42,1439268.64,898809.96,540458.68
Asia,Thailand,Snacks,Offline,H,12/27/2015,247844541,02/04/2016,1562,152.58,97.44,238329.96,152201.28,86128.68
Asia,Kazakhstan,Cosmetics,Online,M,6/18/2010,750009429,7/13/2010,3312,437.2,263.33,1448006.4,872148.96,575857.44
Asia,Japan,Fruits,Offline,M,2/23/2011,627670228,4/14/2011,424,9.33,6.92,3955.92,2934.08,1021.84
Sub-Saharan Africa,Gabon,Office Supplies,Online,M,4/24/2016,946500766,05/05/2016,9465,651.21,524.96,6163702.65,4968746.4,1194956.25
Sub-Saharan Africa,Republic of the Congo,Snacks,Online,L,2/25/2010,592487370,3/18/2010,9034,152.58,97.44,1378407.72,880272.96,498134.76
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Online,L,01/02/2012,321928870,1/28/2012,4762,109.28,35.84,520391.36,170670.08,349721.28
Australia and Oceania,Palau,Cereal,Offline,H,12/21/2011,511436593,1/30/2012,4308,205.7,117.11,886155.6,504509.88,381645.72
Middle East and North Africa,United Arab Emirates,Baby Food,Offline,H,08/03/2012,707934367,8/15/2012,2366,255.28,159.42,603992.48,377187.72,226804.76
Sub-Saharan Africa,Niger,Cosmetics,Online,L,6/16/2017,978658521,6/24/2017,5659,437.2,263.33,2474114.8,1490184.47,983930.33
Middle East and North Africa,Bahrain,Personal Care,Online,C,4/21/2012,561157882,5/19/2012,7942,81.73,56.67,649099.66,450073.14,199026.52
Central America and the Caribbean,Jamaica,Beverages,Offline,C,3/20/2014,113293778,4/28/2014,5002,47.45,31.79,237344.9,159013.58,78331.32
Australia and Oceania,Samoa ,Beverages,Offline,C,11/04/2014,363240039,12/18/2014,9654,47.45,31.79,458082.3,306900.66,151181.64
Sub-Saharan Africa,Sudan,Baby Food,Offline,H,6/20/2014,759482991,6/28/2014,6749,255.28,159.42,1722884.72,1075925.58,646959.14
Europe,Italy,Beverages,Online,L,8/27/2010,820821464,10/06/2010,8166,47.45,31.79,387476.7,259597.14,127879.56
Europe,Macedonia,Snacks,Online,L,03/05/2017,586366784,03/10/2017,7817,152.58,97.44,1192717.86,761688.48,431029.38
Europe,Bosnia and Herzegovina,Office Supplies,Offline,C,10/16/2014,165542781,10/28/2014,6642,651.21,524.96,4325336.82,3486784.32,838552.5
Europe,Albania,Household,Online,H,8/16/2015,188085782,9/16/2015,7617,668.27,502.54,5090212.59,3827847.18,1262365.41
Australia and Oceania,Australia,Beverages,Offline,M,11/30/2013,454044616,12/18/2013,747,47.45,31.79,35445.15,23747.13,11698.02
Sub-Saharan Africa,Gabon,Fruits,Online,M,7/24/2012,383780610,09/10/2012,8066,9.33,6.92,75255.78,55816.72,19439.06
Central America and the Caribbean,Trinidad and Tobago,Clothes,Offline,H,9/22/2011,367967593,10/19/2011,8643,109.28,35.84,944507.04,309765.12,634741.92
Europe,Lithuania,Fruits,Offline,C,8/20/2012,417591893,9/21/2012,3576,9.33,6.92,33364.08,24745.92,8618.16
Middle East and North Africa,Iraq,Snacks,Offline,M,10/22/2013,613952338,11/12/2013,995,152.58,97.44,151817.1,96952.8,54864.3
Asia,Japan,Cosmetics,Online,M,10/24/2014,658660256,11/15/2014,1062,437.2,263.33,464306.4,279656.46,184649.94
Europe,Moldova ,Cereal,Offline,L,07/03/2012,323639476,8/18/2012,968,205.7,117.11,199117.6,113362.48,85755.12
Sub-Saharan Africa,Central African Republic,Cereal,Online,H,5/16/2012,801126325,06/04/2012,9937,205.7,117.11,2044040.9,1163722.07,880318.83
Central America and the Caribbean,Costa Rica,Beverages,Offline,L,03/11/2017,653669631,3/18/2017,4225,47.45,31.79,200476.25,134312.75,66163.5
Sub-Saharan Africa,Burundi,Beverages,Online,L,8/24/2015,764130723,9/30/2015,2116,47.45,31.79,100404.2,67267.64,33136.56
Asia,Japan,Household,Offline,M,06/03/2016,285683429,6/29/2016,8930,668.27,502.54,5967651.1,4487682.2,1479968.9
North America,Mexico,Vegetables,Offline,H,2/15/2014,691814076,2/16/2014,2014,154.06,90.93,310276.84,183133.02,127143.82
Europe,Spain,Vegetables,Offline,H,10/14/2015,826321494,11/16/2015,5748,154.06,90.93,885536.88,522665.64,362871.24
Asia,Myanmar,Clothes,Online,C,05/08/2014,953317010,05/09/2014,6543,109.28,35.84,715019.04,234501.12,480517.92
Sub-Saharan Africa,Sudan,Clothes,Offline,M,03/12/2015,507224452,04/06/2015,7842,109.28,35.84,856973.76,281057.28,575916.48
Europe,Germany,Fruits,Offline,L,03/07/2017,342780148,4/13/2017,5118,9.33,6.92,47750.94,35416.56,12334.38
Europe,Greece,Vegetables,Online,C,6/14/2016,485032927,6/21/2016,877,154.06,90.93,135110.62,79745.61,55365.01
Sub-Saharan Africa,Angola,Clothes,Offline,M,3/21/2010,579344117,04/11/2010,9653,109.28,35.84,1054879.84,345963.52,708916.32
Europe,Iceland,Office Supplies,Offline,C,09/07/2015,341387546,09/07/2015,3016,651.21,524.96,1964049.36,1583279.36,380770
North America,Mexico,Baby Food,Offline,H,04/03/2013,907149541,05/05/2013,4563,255.28,159.42,1164842.64,727433.46,437409.18
Central America and the Caribbean,Cuba,Cereal,Offline,H,11/28/2010,782928931,01/05/2011,4924,205.7,117.11,1012866.8,576649.64,436217.16
Sub-Saharan Africa,Mali,Fruits,Online,H,02/09/2010,795337045,2/14/2010,6761,9.33,6.92,63080.13,46786.12,16294.01
Sub-Saharan Africa,Zimbabwe,Cereal,Offline,L,03/07/2017,941297709,3/19/2017,9765,205.7,117.11,2008660.5,1143579.15,865081.35
Europe,Sweden,Snacks,Online,H,10/14/2016,838047254,11/28/2016,5660,152.58,97.44,863602.8,551510.4,312092.4
Central America and the Caribbean,Antigua and Barbuda ,Beverages,Offline,C,08/03/2013,173134505,09/04/2013,3202,47.45,31.79,151934.9,101791.58,50143.32
Australia and Oceania,Fiji,Meat,Offline,H,4/26/2013,954420793,05/08/2013,3177,421.89,364.69,1340344.53,1158620.13,181724.4
Sub-Saharan Africa,Zimbabwe,Snacks,Online,C,5/28/2011,760079944,06/12/2011,3401,152.58,97.44,518924.58,331393.44,187531.14
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,Offline,H,12/02/2011,388598287,01/05/2012,3723,255.28,159.42,950407.44,593520.66,356886.78
Sub-Saharan Africa,Burundi,Baby Food,Online,C,3/19/2016,708774650,05/05/2016,1024,255.28,159.42,261406.72,163246.08,98160.64
Europe,Norway,Household,Offline,L,7/23/2011,409720361,09/10/2011,4214,668.27,502.54,2816089.78,2117703.56,698386.22
Sub-Saharan Africa,Guinea-Bissau,Baby Food,Online,L,10/14/2012,950859248,11/03/2012,9237,255.28,159.42,2358021.36,1472562.54,885458.82
Europe,Italy,Household,Online,C,02/01/2013,711927640,02/07/2013,4064,668.27,502.54,2715849.28,2042322.56,673526.72
Europe,Ireland,Office Supplies,Offline,M,07/01/2010,842974364,08/12/2010,3702,651.21,524.96,2410779.42,1943401.92,467377.5
Sub-Saharan Africa,The Gambia,Beverages,Online,H,09/10/2011,314360749,10/02/2011,5186,47.45,31.79,246075.7,164862.94,81212.76
Sub-Saharan Africa,Zambia,Household,Online,L,1/17/2013,866760623,2/19/2013,2585,668.27,502.54,1727477.95,1299065.9,428412.05
Asia,Taiwan,Cereal,Online,L,01/04/2012,261160314,1/25/2012,1995,205.7,117.11,410371.5,233634.45,176737.05
Asia,Kazakhstan,Personal Care,Offline,M,11/17/2010,828858649,12/11/2010,6548,81.73,56.67,535168.04,371075.16,164092.88
Middle East and North Africa,Yemen,Meat,Online,H,01/04/2013,921466958,2/15/2013,1405,421.89,364.69,592755.45,512389.45,80366
Sub-Saharan Africa,Republic of the Congo,Cereal,Online,H,6/23/2011,760909068,07/04/2011,8757,205.7,117.11,1801314.9,1025532.27,775782.63
Middle East and North Africa,Tunisia ,Office Supplies,Online,C,7/20/2015,189421308,8/24/2015,2829,651.21,524.96,1842273.09,1485111.84,357161.25
Asia,Nepal,Household,Online,C,8/23/2016,919552505,8/24/2016,4875,668.27,502.54,3257816.25,2449882.5,807933.75
Europe,Iceland,Household,Offline,L,10/21/2014,684163987,11/04/2014,8182,668.27,502.54,5467785.14,4111782.28,1356002.86
Central America and the Caribbean,Guatemala,Meat,Online,M,12/07/2014,886429584,12/20/2014,3067,421.89,364.69,1293936.63,1118504.23,175432.4
Middle East and North Africa,Kuwait,Beverages,Offline,M,06/04/2015,749835622,06/09/2015,1878,47.45,31.79,89111.1,59701.62,29409.48
Australia and Oceania,Fiji,Snacks,Offline,C,12/09/2011,468180930,01/09/2012,3996,152.58,97.44,609709.68,389370.24,220339.44
Europe,Sweden,Household,Online,L,5/13/2016,755576837,6/30/2016,831,668.27,502.54,555332.37,417610.74,137721.63
Australia and Oceania,Tonga,Cosmetics,Offline,H,2/21/2015,596447169,04/11/2015,827,437.2,263.33,361564.4,217773.91,143790.49
Europe,Georgia,Beverages,Offline,L,12/02/2010,395528256,01/12/2011,4455,47.45,31.79,211389.75,141624.45,69765.3
Australia and Oceania,New Zealand,Fruits,Online,M,3/14/2011,627868926,04/05/2011,9223,9.33,6.92,86050.59,63823.16,22227.43
Asia,Kazakhstan,Personal Care,Online,C,12/24/2016,488830506,02/12/2017,4665,81.73,56.67,381270.45,264365.55,116904.9
Middle East and North Africa,United Arab Emirates,Fruits,Offline,M,5/21/2011,144086825,06/12/2011,7348,9.33,6.92,68556.84,50848.16,17708.68
Asia,Turkmenistan,Office Supplies,Online,H,6/22/2016,279624211,08/11/2016,5873,651.21,524.96,3824556.33,3083090.08,741466.25
Central America and the Caribbean,Cuba,Fruits,Offline,L,9/19/2013,751741492,10/20/2013,5868,9.33,6.92,54748.44,40606.56,14141.88
Europe,Luxembourg,Clothes,Offline,L,12/10/2015,137049996,01/08/2016,4994,109.28,35.84,545744.32,178984.96,366759.36
Sub-Saharan Africa,Niger,Baby Food,Online,H,7/13/2010,682473552,8/26/2010,7945,255.28,159.42,2028199.6,1266591.9,761607.7
Australia and Oceania,Marshall Islands,Snacks,Online,M,3/26/2016,655248486,05/04/2016,1443,152.58,97.44,220172.94,140605.92,79567.02
Middle East and North Africa,Libya,Cereal,Offline,M,3/17/2011,192923629,04/02/2011,9244,205.7,117.11,1901490.8,1082564.84,818925.96
Asia,Brunei,Office Supplies,Online,C,7/14/2012,853360307,8/26/2012,7133,651.21,524.96,4645080.93,3744539.68,900541.25
Asia,Tajikistan,Household,Online,C,11/13/2011,664732348,12/03/2011,7929,668.27,502.54,5298712.83,3984639.66,1314073.17
Middle East and North Africa,Iraq,Fruits,Offline,L,1/22/2017,875526082,02/07/2017,6479,9.33,6.92,60449.07,44834.68,15614.39
Middle East and North Africa,Syria,Snacks,Online,C,7/14/2010,104540336,8/19/2010,4663,152.58,97.44,711480.54,454362.72,257117.82
Middle East and North Africa,Syria,Household,Offline,C,8/18/2013,190886437,10/06/2013,6394,668.27,502.54,4272918.38,3213240.76,1059677.62
Europe,Ukraine,Vegetables,Offline,C,09/08/2014,343988215,9/17/2014,2612,154.06,90.93,402404.72,237509.16,164895.56
Middle East and North Africa,United Arab Emirates,Beverages,Online,H,09/03/2010,293581998,10/13/2010,6292,47.45,31.79,298555.4,200022.68,98532.72
Asia,Philippines,Clothes,Online,H,12/26/2010,739716613,02/12/2011,7439,109.28,35.84,812933.92,266613.76,546320.16
Europe,Vatican City,Snacks,Online,M,12/09/2010,202753388,12/13/2010,8088,152.58,97.44,1234067.04,788094.72,445972.32
Europe,Moldova ,Office Supplies,Offline,C,9/13/2010,873366153,10/03/2010,7308,651.21,524.96,4759042.68,3836407.68,922635
Central America and the Caribbean,Dominican Republic,Cosmetics,Online,L,07/03/2011,962541234,7/20/2011,6196,437.2,263.33,2708891.2,1631592.68,1077298.52
Middle East and North Africa,Iraq,Cosmetics,Offline,H,11/08/2011,551577460,11/16/2011,2883,437.2,263.33,1260447.6,759180.39,501267.21
Middle East and North Africa,Turkey,Cosmetics,Online,M,4/30/2011,242086160,5/18/2011,7529,437.2,263.33,3291678.8,1982611.57,1309067.23
Europe,Albania,Beverages,Online,L,05/08/2014,705991160,5/16/2014,7328,47.45,31.79,347713.6,232957.12,114756.48
Central America and the Caribbean,Belize,Baby Food,Offline,H,04/09/2011,435528790,4/15/2011,1502,255.28,159.42,383430.56,239448.84,143981.72
Sub-Saharan Africa,Sudan,Cosmetics,Offline,C,06/04/2012,693247878,07/01/2012,6307,437.2,263.33,2757420.4,1660822.31,1096598.09
Sub-Saharan Africa,Nigeria,Clothes,Offline,H,1/30/2014,562009751,3/19/2014,29,109.28,35.84,3169.12,1039.36,2129.76
Europe,Netherlands,Fruits,Offline,H,05/08/2017,994988238,06/11/2017,7985,9.33,6.92,74500.05,55256.2,19243.85
Central America and the Caribbean,Guatemala,Snacks,Offline,H,11/01/2016,765669667,11/17/2016,7524,152.58,97.44,1148011.92,733138.56,414873.36
Central America and the Caribbean,Nicaragua,Cereal,Online,M,12/30/2011,517852866,01/10/2012,3026,205.7,117.11,622448.2,354374.86,268073.34
