Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Switzerland,Snacks,Online,M,5/27/2010,582027184,06/05/2010,3633,152.58,97.44,554323.14,353999.52,200323.62
Asia,Thailand,Meat,Online,M,11/15/2010,943429744,12/21/2010,681,421.89,364.69,287307.09,248353.89,38953.2
Central America and the Caribbean,Jamaica,Vegetables,Online,H,2/20/2013,454449307,04/01/2013,504,154.06,90.93,77646.24,45828.72,31817.52
Central America and the Caribbean,Honduras,Household,Offline,C,6/13/2011,715134704,07/11/2011,3106,668.27,502.54,2075646.62,1560889.24,514757.38
Central America and the Caribbean,Guatemala,Meat,Online,C,04/05/2016,245847260,4/28/2016,522,421.89,364.69,220226.58,190368.18,29858.4
Europe,Serbia,Beverages,Online,M,08/06/2012,337260806,09/11/2012,1822,47.45,31.79,86453.9,57921.38,28532.52
Asia,Cambodia,Clothes,Online,C,11/02/2016,100361669,12/10/2016,8103,109.28,35.84,885495.84,290411.52,595084.32
Europe,Italy,Cosmetics,Offline,H,05/06/2012,516448676,6/16/2012,7495,437.2,263.33,3276814,1973658.35,1303155.65
Central America and the Caribbean,Saint Vincent and the Grenadines,Household,Online,M,11/02/2013,387133157,11/22/2013,159,668.27,502.54,106254.93,79903.86,26351.07
Middle East and North Africa,United Arab Emirates,Fruits,Online,L,08/07/2010,384338939,9/15/2010,3288,9.33,6.92,30677.04,22752.96,7924.08
Central America and the Caribbean,Barbados,Vegetables,Offline,H,09/09/2015,800302350,10/01/2015,6105,154.06,90.93,940536.3,555127.65,385408.65
Europe,Armenia,Clothes,Online,L,9/25/2016,197572219,11/01/2016,4865,109.28,35.84,531647.2,174361.6,357285.6
Asia,North Korea,Clothes,Offline,H,7/27/2017,359009873,08/04/2017,7854,109.28,35.84,858285.12,281487.36,576797.76
Sub-Saharan Africa,South Sudan,Snacks,Offline,H,9/26/2011,437789142,9/29/2011,391,152.58,97.44,59658.78,38099.04,21559.74
Sub-Saharan Africa,Benin,Office Supplies,Online,H,7/21/2016,107396352,7/23/2016,9822,651.21,524.96,6396184.62,5156157.12,1240027.5
Sub-Saharan Africa,Democratic Republic of the Congo,Household,Offline,L,05/02/2016,911630332,5/24/2016,529,668.27,502.54,353514.83,265843.66,87671.17
Middle East and North Africa,Morocco,Clothes,Offline,C,08/08/2011,414602410,9/21/2011,8921,109.28,35.84,974886.88,319728.64,655158.24
Sub-Saharan Africa,Djibouti,Beverages,Online,H,4/20/2015,750736415,5/27/2015,8443,47.45,31.79,400620.35,268402.97,132217.38
Sub-Saharan Africa,Eritrea,Cereal,Offline,C,2/23/2011,974768674,3/29/2011,4567,205.7,117.11,939431.9,534841.37,404590.53
Asia,Nepal,Cosmetics,Offline,L,06/08/2010,211748015,6/14/2010,9798,437.2,263.33,4283685.6,2580107.34,1703578.26
North America,United States of America,Cereal,Offline,C,5/15/2010,807035768,6/21/2010,8673,205.7,117.11,1784036.1,1015695.03,768341.07
Middle East and North Africa,Qatar,Clothes,Offline,H,01/03/2013,676305758,2/21/2013,2758,109.28,35.84,301394.24,98846.72,202547.52
Middle East and North Africa,Iraq,Personal Care,Offline,M,11/28/2013,955544316,12/25/2013,5652,81.73,56.67,461937.96,320298.84,141639.12
Sub-Saharan Africa,Mauritius ,Meat,Online,H,6/20/2013,151050269,08/05/2013,7986,421.89,364.69,3369213.54,2912414.34,456799.2
Europe,Norway,Beverages,Online,H,2/27/2013,889434945,04/12/2013,2420,47.45,31.79,114829,76931.8,37897.2
Sub-Saharan Africa,Kenya,Office Supplies,Offline,C,9/22/2011,467622172,11/05/2011,8647,651.21,524.96,5631012.87,4539329.12,1091683.75
Europe,Liechtenstein,Fruits,Offline,M,7/20/2016,302848279,8/26/2016,8391,9.33,6.92,78288.03,58065.72,20222.31
Europe,Belarus,Snacks,Offline,H,2/26/2017,982662093,4/17/2017,405,152.58,97.44,61794.9,39463.2,22331.7
Europe,Estonia,Office Supplies,Online,C,09/10/2011,914924943,10/02/2011,5477,651.21,524.96,3566677.17,2875205.92,691471.25
Sub-Saharan Africa,Lesotho,Cosmetics,Online,C,9/27/2010,377810657,10/30/2010,1424,437.2,263.33,622572.8,374981.92,247590.88
Sub-Saharan Africa,Malawi,Cosmetics,Online,M,10/18/2010,169805562,11/10/2010,8094,437.2,263.33,3538696.8,2131393.02,1407303.78
Australia and Oceania,Fiji,Office Supplies,Online,M,3/19/2013,259708487,4/13/2013,2368,651.21,524.96,1542065.28,1243105.28,298960
Central America and the Caribbean,Guatemala,Snacks,Online,L,10/30/2012,236630761,11/29/2012,3156,152.58,97.44,481542.48,307520.64,174021.84
Central America and the Caribbean,Trinidad and Tobago,Vegetables,Online,H,11/30/2016,659996211,12/21/2016,6400,154.06,90.93,985984,581952,404032
Sub-Saharan Africa,Madagascar,Personal Care,Online,H,1/29/2011,809541165,3/14/2011,75,81.73,56.67,6129.75,4250.25,1879.5
Asia,Uzbekistan,Office Supplies,Offline,H,1/29/2016,935314452,2/28/2016,9186,651.21,524.96,5982015.06,4822282.56,1159732.5
Sub-Saharan Africa,Botswana,Vegetables,Offline,C,11/12/2015,907677400,12/08/2015,768,154.06,90.93,118318.08,69834.24,48483.84
Sub-Saharan Africa,Madagascar,Baby Food,Online,H,5/24/2014,667303836,06/12/2014,8889,255.28,159.42,2269183.92,1417084.38,852099.54
Sub-Saharan Africa,Lesotho,Clothes,Online,C,09/07/2016,675180089,09/12/2016,9647,109.28,35.84,1054224.16,345748.48,708475.68
Europe,Croatia,Cereal,Online,L,6/18/2017,562604987,07/09/2017,6173,205.7,117.11,1269786.1,722920.03,546866.07
Australia and Oceania,Kiribati,Fruits,Offline,M,07/05/2012,481189858,7/23/2012,3627,9.33,6.92,33839.91,25098.84,8741.07
Central America and the Caribbean,Haiti,Meat,Offline,M,1/16/2010,652858531,2/17/2010,4202,421.89,364.69,1772781.78,1532427.38,240354.4
Middle East and North Africa,Iraq,Beverages,Offline,M,10/07/2011,919847333,10/23/2011,2122,47.45,31.79,100688.9,67458.38,33230.52
Sub-Saharan Africa,South Africa,Household,Online,M,8/29/2016,294705092,09/06/2016,8641,668.27,502.54,5774521.07,4342448.14,1432072.93
Sub-Saharan Africa,Mauritania,Household,Offline,M,3/15/2017,110293138,3/27/2017,7045,668.27,502.54,4707962.15,3540394.3,1167567.85
Europe,Switzerland,Beverages,Online,M,9/20/2010,869785296,10/10/2010,7653,47.45,31.79,363134.85,243288.87,119845.98
Europe,Ireland,Cosmetics,Offline,C,10/01/2010,896667897,11/04/2010,2812,437.2,263.33,1229406.4,740483.96,488922.44
Middle East and North Africa,Morocco,Vegetables,Online,L,12/17/2012,384739768,02/04/2013,1902,154.06,90.93,293022.12,172948.86,120073.26
Sub-Saharan Africa,Cape Verde,Beverages,Offline,C,02/02/2014,948112237,2/20/2014,6335,47.45,31.79,300595.75,201389.65,99206.1
Sub-Saharan Africa,Togo,Personal Care,Offline,C,9/20/2015,671209132,10/29/2015,4553,81.73,56.67,372116.69,258018.51,114098.18
Sub-Saharan Africa,Madagascar,Beverages,Online,H,12/06/2012,858766782,12/23/2012,7029,47.45,31.79,333526.05,223451.91,110074.14
