Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Qatar,Baby Food,Offline,H,12/18/2013,639580094,1/16/2014,4818,255.28,159.42,1229939.04,768085.56,461853.48
Australia and Oceania,Nauru,Personal Care,Online,C,7/15/2013,815258777,08/04/2013,2044,81.73,56.67,167056.12,115833.48,51222.64
Central America and the Caribbean,Dominica,Office Supplies,Offline,C,12/07/2012,841921651,12/29/2012,2181,651.21,524.96,1420289.01,1144937.76,275351.25
Sub-Saharan Africa,Burkina Faso,Meat,Offline,C,07/05/2013,688367545,7/19/2013,2109,421.89,364.69,889766.01,769131.21,120634.8
Central America and the Caribbean,Trinidad and Tobago,Snacks,Online,C,02/07/2010,843707787,3/19/2010,738,152.58,97.44,112604.04,71910.72,40693.32
Europe,Georgia,Vegetables,Offline,C,7/20/2017,967366206,8/20/2017,4012,154.06,90.93,618088.72,364811.16,253277.56
Europe,Serbia,Meat,Offline,H,11/23/2013,339079129,12/26/2013,9904,421.89,364.69,4178398.56,3611889.76,566508.8
Middle East and North Africa,Azerbaijan,Office Supplies,Online,H,4/27/2012,108895385,5/25/2012,3419,651.21,524.96,2226486.99,1794838.24,431648.75
Europe,Iceland,Vegetables,Offline,L,12/04/2011,147176301,12/18/2011,1593,154.06,90.93,245417.58,144851.49,100566.09
Europe,United Kingdom,Cereal,Online,H,8/28/2016,394595706,9/22/2016,8493,205.7,117.11,1747010.1,994615.23,752394.87
Sub-Saharan Africa,South Sudan,Beverages,Online,H,5/25/2016,412139928,06/03/2016,218,47.45,31.79,10344.1,6930.22,3413.88
Asia,Sri Lanka,Office Supplies,Offline,L,06/09/2013,731107795,6/13/2013,9898,651.21,524.96,6445676.58,5196054.08,1249622.5
Sub-Saharan Africa,Liberia,Household,Offline,C,2/21/2011,603110635,03/01/2011,2694,668.27,502.54,1800319.38,1353842.76,446476.62
Sub-Saharan Africa,Seychelles ,Cereal,Online,M,2/23/2010,250072276,03/05/2010,799,205.7,117.11,164354.3,93570.89,70783.41
Middle East and North Africa,Egypt,Clothes,Offline,H,2/27/2012,414229047,03/09/2012,8435,109.28,35.84,921776.8,302310.4,619466.4
Australia and Oceania,Federated States of Micronesia,Clothes,Offline,C,2/27/2016,108129775,2/27/2016,6858,109.28,35.84,749442.24,245790.72,503651.52
Europe,Croatia,Cereal,Offline,M,8/16/2014,664635789,9/16/2014,9354,205.7,117.11,1924117.8,1095446.94,828670.86
