Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Benin,Beverages,Offline,L,2/17/2016,484430825,2/18/2016,2701,47.45,31.79,128162.45,85864.79,42297.66
Asia,Maldives,Office Supplies,Online,L,05/08/2013,766841685,6/25/2013,4350,651.21,524.96,2832763.5,2283576,549187.5
Europe,Cyprus,Snacks,Online,M,4/16/2014,413322675,5/21/2014,219,152.58,97.44,33415.02,21339.36,12075.66
Central America and the Caribbean,Nicaragua,Meat,Offline,L,05/10/2010,236422622,05/12/2010,1562,421.89,364.69,658992.18,569645.78,89346.4
Asia,Tajikistan,Cosmetics,Offline,C,9/27/2016,669002854,9/30/2016,1666,437.2,263.33,728375.2,438707.78,289667.42
Europe,Croatia,Beverages,Offline,L,8/18/2015,414237201,9/17/2015,848,47.45,31.79,40237.6,26957.92,13279.68
Central America and the Caribbean,Haiti,Office Supplies,Online,M,12/23/2012,495611989,1/27/2013,1456,651.21,524.96,948161.76,764341.76,183820
Sub-Saharan Africa,Mali,Household,Online,M,1/15/2012,206926047,1/27/2012,2871,668.27,502.54,1918603.17,1442792.34,475810.83
Central America and the Caribbean,Dominican Republic,Cosmetics,Online,M,02/12/2017,262290704,03/01/2017,6503,437.2,263.33,2843111.6,1712434.99,1130676.61
Asia,Indonesia,Personal Care,Offline,C,8/26/2014,546129786,10/09/2014,795,81.73,56.67,64975.35,45052.65,19922.7
Asia,Sri Lanka,Office Supplies,Online,M,11/12/2014,563179624,11/12/2014,6221,651.21,524.96,4051177.41,3265776.16,785401.25
Middle East and North Africa,Iran,Cosmetics,Offline,L,02/12/2010,788489043,3/17/2010,285,437.2,263.33,124602,75049.05,49552.95
Europe,San Marino,Cosmetics,Online,M,7/19/2016,417419373,09/07/2016,2523,437.2,263.33,1103055.6,664381.59,438674.01
Central America and the Caribbean,Trinidad and Tobago,Clothes,Offline,C,4/14/2017,515644443,06/01/2017,9504,109.28,35.84,1038597.12,340623.36,697973.76
Middle East and North Africa,Saudi Arabia,Baby Food,Offline,M,09/01/2011,869150578,10/10/2011,9825,255.28,159.42,2508126,1566301.5,941824.5
Asia,Vietnam,Fruits,Online,L,6/14/2011,434236609,07/05/2011,9117,9.33,6.92,85061.61,63089.64,21971.97
Middle East and North Africa,Jordan,Vegetables,Online,C,4/29/2014,487513864,05/06/2014,5041,154.06,90.93,776616.46,458378.13,318238.33
Central America and the Caribbean,Costa Rica,Meat,Online,L,04/01/2015,575906169,5/20/2015,2288,421.89,364.69,965284.32,834410.72,130873.6
Europe,Italy,Office Supplies,Offline,L,3/30/2010,766649854,04/06/2010,7583,651.21,524.96,4938125.43,3980771.68,957353.75
Asia,Taiwan,Baby Food,Offline,H,05/02/2015,297293746,06/08/2015,4681,255.28,159.42,1194965.68,746245.02,448720.66
Asia,Turkmenistan,Baby Food,Offline,C,4/24/2017,725699174,4/25/2017,9367,255.28,159.42,2391207.76,1493287.14,897920.62
Middle East and North Africa,Kuwait,Cosmetics,Online,C,5/27/2015,980039966,5/31/2015,4459,437.2,263.33,1949474.8,1174188.47,775286.33
Australia and Oceania,Papua New Guinea,Snacks,Online,L,6/16/2017,508802449,6/30/2017,4806,152.58,97.44,733299.48,468296.64,265002.84
Europe,Spain,Snacks,Offline,M,6/22/2013,630785453,7/28/2013,2288,152.58,97.44,349103.04,222942.72,126160.32
Sub-Saharan Africa,Comoros,Vegetables,Offline,L,3/22/2017,485100305,4/28/2017,815,154.06,90.93,125558.9,74107.95,51450.95
Australia and Oceania,Kiribati,Beverages,Online,C,1/13/2017,181170833,02/06/2017,1330,47.45,31.79,63108.5,42280.7,20827.8
Europe,Latvia,Personal Care,Offline,L,6/17/2017,348733365,07/05/2017,6807,81.73,56.67,556336.11,385752.69,170583.42
Sub-Saharan Africa,Cape Verde,Snacks,Online,M,9/28/2012,787836730,10/25/2012,7251,152.58,97.44,1106357.58,706537.44,399820.14
Europe,Denmark,Personal Care,Online,C,05/07/2013,918842256,5/29/2013,4697,81.73,56.67,383885.81,266178.99,117706.82
Middle East and North Africa,Kuwait,Beverages,Online,M,11/13/2011,232423770,11/27/2011,8213,47.45,31.79,389706.85,261091.27,128615.58
Asia,Laos,Snacks,Online,C,02/08/2017,539567601,03/05/2017,8898,152.58,97.44,1357656.84,867021.12,490635.72
Asia,Taiwan,Fruits,Offline,C,06/05/2012,121572577,6/22/2012,4882,9.33,6.92,45549.06,33783.44,11765.62
Europe,Lithuania,Snacks,Online,L,7/20/2012,480050027,08/05/2012,6326,152.58,97.44,965221.08,616405.44,348815.64
Europe,Ireland,Meat,Offline,C,05/02/2014,486923778,06/04/2014,421,421.89,364.69,177615.69,153534.49,24081.2
Europe,Kosovo,Clothes,Offline,M,09/10/2015,434430158,10/25/2015,6393,109.28,35.84,698627.04,229125.12,469501.92
Middle East and North Africa,Egypt,Fruits,Offline,M,10/26/2011,685117995,11/11/2011,494,9.33,6.92,4609.02,3418.48,1190.54
Europe,Denmark,Meat,Offline,C,2/15/2014,321848618,03/12/2014,1013,421.89,364.69,427374.57,369430.97,57943.6
Sub-Saharan Africa,Togo,Snacks,Online,H,2/25/2016,297795855,04/03/2016,3266,152.58,97.44,498326.28,318239.04,180087.24
Sub-Saharan Africa,Guinea-Bissau,Personal Care,Offline,C,07/02/2012,286446034,08/04/2012,4602,81.73,56.67,376121.46,260795.34,115326.12
Middle East and North Africa,Turkey,Cosmetics,Online,L,3/16/2010,931597983,4/15/2010,9400,437.2,263.33,4109680,2475302,1634378
Europe,United Kingdom,Personal Care,Offline,H,05/10/2017,697363030,5/17/2017,4073,81.73,56.67,332886.29,230816.91,102069.38
Middle East and North Africa,Azerbaijan,Cereal,Offline,H,08/10/2016,818165004,9/16/2016,2061,205.7,117.11,423947.7,241363.71,182583.99
Central America and the Caribbean,Jamaica,Personal Care,Offline,L,5/27/2014,348740231,7/16/2014,8839,81.73,56.67,722411.47,500906.13,221505.34
Sub-Saharan Africa,Kenya,Cosmetics,Online,L,6/14/2014,214137542,6/30/2014,6912,437.2,263.33,3021926.4,1820136.96,1201789.44
Europe,Ireland,Meat,Offline,C,12/18/2013,959718263,01/09/2014,816,421.89,364.69,344262.24,297587.04,46675.2
Central America and the Caribbean,The Bahamas,Personal Care,Offline,C,12/31/2014,501156222,02/08/2015,2118,81.73,56.67,173104.14,120027.06,53077.08
Europe,Finland,Baby Food,Offline,M,02/09/2013,874437749,02/10/2013,4417,255.28,159.42,1127571.76,704158.14,423413.62
Middle East and North Africa,Azerbaijan,Office Supplies,Offline,L,04/09/2016,585861670,5/14/2016,8342,651.21,524.96,5432393.82,4379216.32,1053177.5
Europe,Bulgaria,Office Supplies,Online,M,10/22/2010,462039315,11/16/2010,6556,651.21,524.96,4269332.76,3441637.76,827695
Europe,Switzerland,Meat,Offline,L,08/11/2010,499894511,9/30/2010,8749,421.89,364.69,3691115.61,3190672.81,500442.8
Europe,Estonia,Beverages,Online,L,6/28/2015,316663587,8/13/2015,6647,47.45,31.79,315400.15,211308.13,104092.02
Sub-Saharan Africa,Lesotho,Fruits,Offline,M,12/17/2014,499895370,1/27/2015,9003,9.33,6.92,83997.99,62300.76,21697.23
