Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Madagascar,Cereal,Online,M,7/31/2015,386606156,8/17/2015,4208,205.7,117.11,865585.6,492798.88,372786.72
Europe,Monaco,Beverages,Offline,C,12/13/2013,540751636,1/20/2014,9281,47.45,31.79,440383.45,295042.99,145340.46
Middle East and North Africa,Morocco,Household,Offline,M,01/12/2012,588068807,1/22/2012,1483,668.27,502.54,991044.41,745266.82,245777.59
Middle East and North Africa,Iraq,Beverages,Online,H,12/14/2014,947356498,1/26/2015,2695,47.45,31.79,127877.75,85674.05,42203.7
Europe,Andorra,Cereal,Offline,L,10/10/2013,757726037,10/10/2013,6828,205.7,117.11,1404519.6,799627.08,604892.52
Sub-Saharan Africa,Mozambique,Personal Care,Offline,M,12/23/2011,128601253,02/03/2012,4823,81.73,56.67,394183.79,273319.41,120864.38
Asia,Indonesia,Personal Care,Online,L,02/06/2014,589718472,3/15/2014,9656,81.73,56.67,789184.88,547205.52,241979.36
Europe,Vatican City,Office Supplies,Offline,H,5/26/2014,141126525,07/09/2014,1330,651.21,524.96,866109.3,698196.8,167912.5
Sub-Saharan Africa,Madagascar,Baby Food,Offline,L,10/04/2015,903186738,11/07/2015,1881,255.28,159.42,480181.68,299869.02,180312.66
Sub-Saharan Africa,Djibouti,Personal Care,Online,M,10/09/2010,566572940,10/26/2010,378,81.73,56.67,30893.94,21421.26,9472.68
Asia,Singapore,Baby Food,Offline,H,10/27/2015,942271459,11/13/2015,7919,255.28,159.42,2021562.32,1262446.98,759115.34
Asia,Philippines,Fruits,Offline,C,04/06/2014,311581122,5/22/2014,2633,9.33,6.92,24565.89,18220.36,6345.53
Sub-Saharan Africa,Guinea,Baby Food,Offline,H,3/31/2013,176113259,4/26/2013,4682,255.28,159.42,1195220.96,746404.44,448816.52
Central America and the Caribbean,Barbados,Cereal,Offline,M,3/15/2017,307791697,04/06/2017,1258,205.7,117.11,258770.6,147324.38,111446.22
Sub-Saharan Africa,Namibia,Cosmetics,Online,C,6/22/2016,998852765,07/01/2016,1585,437.2,263.33,692962,417378.05,275583.95
Europe,Belgium,Clothes,Online,H,10/30/2013,811845290,11/03/2013,1917,109.28,35.84,209489.76,68705.28,140784.48
Central America and the Caribbean,Dominican Republic,Vegetables,Online,M,02/07/2013,629630601,03/12/2013,541,154.06,90.93,83346.46,49193.13,34153.33
Sub-Saharan Africa,Djibouti,Office Supplies,Online,H,5/31/2015,505382525,06/12/2015,2775,651.21,524.96,1807107.75,1456764,350343.75
Central America and the Caribbean,Haiti,Cosmetics,Online,L,05/10/2015,112587392,06/01/2015,5966,437.2,263.33,2608335.2,1571026.78,1037308.42
North America,Canada,Cereal,Online,M,5/23/2012,995044028,6/21/2012,4495,205.7,117.11,924621.5,526409.45,398212.05
Sub-Saharan Africa,Burundi,Cosmetics,Offline,H,8/14/2014,716863763,8/28/2014,4773,437.2,263.33,2086755.6,1256874.09,829881.51
Central America and the Caribbean,Panama,Personal Care,Online,L,04/05/2012,512470424,5/23/2012,241,81.73,56.67,19696.93,13657.47,6039.46
Sub-Saharan Africa,Senegal,Office Supplies,Online,L,10/03/2011,336600339,10/14/2011,6375,651.21,524.96,4151463.75,3346620,804843.75
Middle East and North Africa,Libya,Meat,Offline,M,10/25/2016,214302337,11/20/2016,5679,421.89,364.69,2395913.31,2071074.51,324838.8
Europe,Montenegro,Clothes,Online,L,1/30/2017,690937745,2/25/2017,2688,109.28,35.84,293744.64,96337.92,197406.72
Sub-Saharan Africa,Burundi,Baby Food,Online,C,08/12/2014,582180392,9/15/2014,8970,255.28,159.42,2289861.6,1429997.4,859864.2
Australia and Oceania,Samoa ,Beverages,Offline,L,7/13/2012,124016606,8/18/2012,8125,47.45,31.79,385531.25,258293.75,127237.5
Sub-Saharan Africa,Djibouti,Fruits,Online,M,3/30/2011,522745215,04/03/2011,781,9.33,6.92,7286.73,5404.52,1882.21
Middle East and North Africa,Yemen,Vegetables,Online,C,3/18/2012,804977548,4/15/2012,9600,154.06,90.93,1478976,872928,606048
