Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Marshall Islands,Fruits,Offline,M,12/05/2010,430202996,01/03/2011,5482,9.33,6.92,51147.06,37935.44,13211.62
Europe,Ukraine,Meat,Offline,H,4/22/2010,506180751,05/07/2010,8987,421.89,364.69,3791525.43,3277469.03,514056.4
Europe,Czech Republic,Cereal,Online,M,02/01/2015,245056760,3/17/2015,6596,205.7,117.11,1356797.2,772457.56,584339.64
Middle East and North Africa,Saudi Arabia,Snacks,Online,H,11/03/2013,571879851,12/07/2013,811,152.58,97.44,123742.38,79023.84,44718.54
Australia and Oceania,Tuvalu,Household,Online,H,05/08/2011,232011353,5/28/2011,6170,668.27,502.54,4123225.9,3100671.8,1022554.1
Sub-Saharan Africa,Djibouti,Meat,Offline,C,3/30/2017,741125094,4/24/2017,4240,421.89,364.69,1788813.6,1546285.6,242528
Europe,Slovakia,Clothes,Online,M,12/07/2011,535207402,01/10/2012,8619,109.28,35.84,941884.32,308904.96,632979.36
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,M,12/17/2010,820557105,01/08/2011,9937,154.06,90.93,1530894.22,903571.41,627322.81
Central America and the Caribbean,Haiti,Household,Online,H,10/19/2015,623785531,11/13/2015,855,668.27,502.54,571370.85,429671.7,141699.15
Asia,Bangladesh,Fruits,Online,H,1/17/2010,841816508,02/05/2010,1067,9.33,6.92,9955.11,7383.64,2571.47
Europe,Malta,Meat,Online,H,3/26/2016,191886365,05/08/2016,2294,421.89,364.69,967815.66,836598.86,131216.8
Sub-Saharan Africa,South Africa,Snacks,Online,C,4/21/2016,161543929,5/15/2016,3293,152.58,97.44,502445.94,320869.92,181576.02
Middle East and North Africa,Oman,Vegetables,Offline,H,12/27/2015,958650529,12/29/2015,4850,154.06,90.93,747191,441010.5,306180.5
Sub-Saharan Africa,Cote d'Ivoire,Fruits,Online,L,9/19/2010,161379992,9/25/2010,4781,9.33,6.92,44606.73,33084.52,11522.21
North America,United States of America,Personal Care,Offline,L,2/19/2012,368218648,3/18/2012,2935,81.73,56.67,239877.55,166326.45,73551.1
Middle East and North Africa,Qatar,Personal Care,Offline,L,01/07/2014,647965323,2/24/2014,6193,81.73,56.67,506153.89,350957.31,155196.58
Middle East and North Africa,Morocco,Snacks,Online,L,3/18/2011,589731347,3/27/2011,3466,152.58,97.44,528842.28,337727.04,191115.24
Europe,Croatia,Meat,Offline,L,12/22/2010,752940547,02/04/2011,695,421.89,364.69,293213.55,253459.55,39754
Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,C,1/26/2014,417329251,3/14/2014,5854,437.2,263.33,2559368.8,1541533.82,1017834.98
Middle East and North Africa,Algeria,Clothes,Online,H,12/18/2010,732946288,12/18/2010,3949,109.28,35.84,431546.72,141532.16,290014.56
Australia and Oceania,Vanuatu,Personal Care,Online,M,11/25/2015,670152986,11/28/2015,2016,81.73,56.67,164767.68,114246.72,50520.96
Middle East and North Africa,Iran,Office Supplies,Online,H,02/10/2010,169623172,3/22/2010,4121,651.21,524.96,2683636.41,2163360.16,520276.25
Australia and Oceania,Papua New Guinea,Meat,Online,H,10/06/2013,592343175,10/12/2013,6363,421.89,364.69,2684486.07,2320522.47,363963.6
Asia,North Korea,Personal Care,Online,C,01/02/2014,669611823,02/12/2014,1874,81.73,56.67,153162.02,106199.58,46962.44
Australia and Oceania,Solomon Islands,Personal Care,Offline,L,3/15/2014,553040444,4/28/2014,5812,81.73,56.67,475014.76,329366.04,145648.72
Sub-Saharan Africa,Comoros,Baby Food,Online,H,12/27/2014,464552867,12/28/2014,372,255.28,159.42,94964.16,59304.24,35659.92
Asia,Maldives,Snacks,Online,M,07/01/2010,246385419,7/16/2010,9776,152.58,97.44,1491622.08,952573.44,539048.64
Europe,Czech Republic,Fruits,Online,M,11/11/2014,711086928,12/08/2014,5279,9.33,6.92,49253.07,36530.68,12722.39
Central America and the Caribbean,Belize,Cosmetics,Offline,H,12/23/2012,491518723,1/29/2013,168,437.2,263.33,73449.6,44239.44,29210.16
Europe,Czech Republic,Personal Care,Online,L,4/28/2017,990854632,06/04/2017,4760,81.73,56.67,389034.8,269749.2,119285.6
Australia and Oceania,Vanuatu,Vegetables,Offline,M,2/21/2011,532580983,3/25/2011,1403,154.06,90.93,216146.18,127574.79,88571.39
Europe,Italy,Cereal,Online,H,10/26/2012,210496604,11/10/2012,9478,205.7,117.11,1949624.6,1109968.58,839656.02
