Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,Sri Lanka,Office Supplies,Online,C,12/06/2016,752330720,12/21/2016,233,651.21,524.96,151731.93,122315.68,29416.25
Middle East and North Africa,Libya,Baby Food,Online,C,3/25/2016,237738406,3/27/2016,932,255.28,159.42,237920.96,148579.44,89341.52
Europe,Malta,Office Supplies,Online,M,08/11/2013,196395909,9/28/2013,6769,651.21,524.96,4408040.49,3553454.24,854586.25
Europe,Moldova ,Cosmetics,Offline,H,5/16/2011,259602057,6/20/2011,873,437.2,263.33,381675.6,229887.09,151788.51
Sub-Saharan Africa,Kenya,Meat,Offline,L,11/12/2012,578968179,11/26/2012,8405,421.89,364.69,3545985.45,3065219.45,480766
Europe,Moldova ,Household,Offline,H,03/03/2011,476418101,3/27/2011,1558,668.27,502.54,1041164.66,782957.32,258207.34
Middle East and North Africa,Pakistan,Clothes,Online,C,7/22/2015,694188153,08/07/2015,4556,109.28,35.84,497879.68,163287.04,334592.64
Europe,Kosovo,Baby Food,Offline,C,06/06/2017,244827163,07/05/2017,8653,255.28,159.42,2208937.84,1379461.26,829476.58
Asia,South Korea,Cosmetics,Online,L,11/06/2016,461196458,11/22/2016,7136,437.2,263.33,3119859.2,1879122.88,1240736.32
Sub-Saharan Africa,Equatorial Guinea,Vegetables,Offline,H,2/19/2011,946469867,03/10/2011,321,154.06,90.93,49453.26,29188.53,20264.73
Sub-Saharan Africa,Namibia,Vegetables,Online,M,10/30/2013,924133718,12/11/2013,558,154.06,90.93,85965.48,50738.94,35226.54
Asia,Uzbekistan,Snacks,Online,M,01/08/2013,587986838,02/04/2013,7227,152.58,97.44,1102695.66,704198.88,398496.78
Europe,France,Personal Care,Online,C,01/09/2013,652140557,02/08/2013,1738,81.73,56.67,142046.74,98492.46,43554.28
Europe,Vatican City,Fruits,Online,L,06/05/2015,101018702,7/22/2015,2534,9.33,6.92,23642.22,17535.28,6106.94
Central America and the Caribbean,Trinidad and Tobago,Fruits,Online,C,4/20/2015,239357602,5/23/2015,88,9.33,6.92,821.04,608.96,212.08
Asia,Maldives,Cereal,Online,M,7/30/2012,642206084,09/03/2012,1906,205.7,117.11,392064.2,223211.66,168852.54
Asia,South Korea,Cereal,Offline,C,10/31/2015,504925477,11/12/2015,7524,205.7,117.11,1547686.8,881135.64,666551.16
Middle East and North Africa,Oman,Personal Care,Offline,L,10/03/2015,893189609,10/16/2015,3509,81.73,56.67,286790.57,198855.03,87935.54
Asia,Philippines,Clothes,Offline,H,09/08/2011,692984807,10/25/2011,8459,109.28,35.84,924399.52,303170.56,621228.96
Central America and the Caribbean,Honduras,Snacks,Offline,C,5/24/2015,660609900,06/04/2015,8005,152.58,97.44,1221402.9,780007.2,441395.7
Central America and the Caribbean,Dominica,Clothes,Online,H,12/23/2016,272676217,1/14/2017,9807,109.28,35.84,1071708.96,351482.88,720226.08
Middle East and North Africa,Libya,Personal Care,Offline,M,5/30/2011,876107585,6/26/2011,8558,81.73,56.67,699445.34,484981.86,214463.48
Central America and the Caribbean,Belize,Cosmetics,Offline,L,06/03/2017,738140332,7/14/2017,982,437.2,263.33,429330.4,258590.06,170740.34
Middle East and North Africa,Azerbaijan,Vegetables,Online,C,03/06/2013,896323287,3/21/2013,834,154.06,90.93,128486.04,75835.62,52650.42
Europe,France,Snacks,Offline,H,10/07/2015,208517777,10/22/2015,3899,152.58,97.44,594909.42,379918.56,214990.86
Sub-Saharan Africa,Togo,Office Supplies,Offline,C,10/29/2016,302897632,12/14/2016,2995,651.21,524.96,1950373.95,1572255.2,378118.75
Europe,Russia,Personal Care,Offline,C,8/26/2016,627949178,9/18/2016,2971,81.73,56.67,242819.83,168366.57,74453.26
Asia,Sri Lanka,Snacks,Offline,C,10/19/2012,702471244,10/20/2012,5706,152.58,97.44,870621.48,555992.64,314628.84
Sub-Saharan Africa,Ethiopia,Household,Offline,L,6/23/2011,565575158,6/24/2011,5112,668.27,502.54,3416196.24,2568984.48,847211.76
Sub-Saharan Africa,Comoros,Office Supplies,Online,C,2/26/2016,326684749,3/25/2016,2132,651.21,524.96,1388379.72,1119214.72,269165
Middle East and North Africa,Oman,Fruits,Online,M,3/27/2016,615536344,3/28/2016,9737,9.33,6.92,90846.21,67380.04,23466.17
Sub-Saharan Africa,South Sudan,Personal Care,Offline,M,7/19/2013,332178771,8/19/2013,7935,81.73,56.67,648527.55,449676.45,198851.1
Middle East and North Africa,Jordan,Vegetables,Offline,L,12/21/2010,696973359,1/28/2011,8760,154.06,90.93,1349565.6,796546.8,553018.8
Asia,Japan,Household,Offline,L,04/02/2016,300593936,05/03/2016,1280,668.27,502.54,855385.6,643251.2,212134.4
Middle East and North Africa,Morocco,Office Supplies,Offline,H,6/21/2015,954026830,7/26/2015,6594,651.21,524.96,4294078.74,3461586.24,832492.5
Sub-Saharan Africa,South Africa,Household,Offline,L,9/17/2014,938570868,9/26/2014,2832,668.27,502.54,1892540.64,1423193.28,469347.36
Asia,Mongolia,Cereal,Offline,H,7/20/2013,855837380,8/20/2013,154,205.7,117.11,31677.8,18034.94,13642.86
Europe,Belarus,Office Supplies,Online,H,5/30/2016,477750194,06/11/2016,5754,651.21,524.96,3747062.34,3020619.84,726442.5
Sub-Saharan Africa,Senegal,Vegetables,Online,L,8/22/2013,996545636,9/20/2013,8854,154.06,90.93,1364047.24,805094.22,558953.02
Europe,Slovenia,Office Supplies,Offline,L,08/01/2015,974772536,9/16/2015,5710,651.21,524.96,3718409.1,2997521.6,720887.5
Sub-Saharan Africa,Namibia,Cosmetics,Online,M,12/03/2010,395292222,1/13/2011,4608,437.2,263.33,2014617.6,1213424.64,801192.96
Sub-Saharan Africa,Sudan,Baby Food,Online,M,12/03/2015,211278522,01/02/2016,864,255.28,159.42,220561.92,137738.88,82823.04
