Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,Philippines,Cereal,Online,C,7/23/2014,785856187,09/06/2014,1164,205.7,117.11,239434.8,136316.04,103118.76
Europe,Belarus,Vegetables,Offline,H,7/19/2012,401451861,08/05/2012,7382,154.06,90.93,1137270.92,671245.26,466025.66
Australia and Oceania,Solomon Islands,Meat,Online,C,11/07/2013,423500478,11/14/2013,2057,421.89,364.69,867827.73,750167.33,117660.4
Europe,Poland,Cereal,Offline,C,05/11/2010,595800864,6/13/2010,9571,205.7,117.11,1968754.7,1120859.81,847894.89
Sub-Saharan Africa,Zambia,Cereal,Online,H,2/27/2010,282464349,3/23/2010,6333,205.7,117.11,1302698.1,741657.63,561040.47
Sub-Saharan Africa,Zimbabwe,Clothes,Online,H,1/20/2011,717914760,1/20/2011,5786,109.28,35.84,632294.08,207370.24,424923.84
Australia and Oceania,Marshall Islands,Beverages,Offline,M,11/28/2011,956888425,01/12/2012,3404,47.45,31.79,161519.8,108213.16,53306.64
Sub-Saharan Africa,Sao Tome and Principe,Household,Offline,M,06/09/2016,124434173,07/07/2016,1692,668.27,502.54,1130712.84,850297.68,280415.16
Europe,Italy,Snacks,Online,M,04/12/2014,565913331,5/17/2014,5185,152.58,97.44,791127.3,505226.4,285900.9
Sub-Saharan Africa,Burundi,Fruits,Offline,H,1/24/2015,196999728,03/01/2015,5452,9.33,6.92,50867.16,37727.84,13139.32
Sub-Saharan Africa,Kenya,Personal Care,Online,H,05/05/2014,153679692,5/23/2014,6091,81.73,56.67,497817.43,345176.97,152640.46
Asia,Nepal,Personal Care,Offline,C,07/09/2012,742252051,7/14/2012,7731,81.73,56.67,631854.63,438115.77,193738.86
Australia and Oceania,Fiji,Personal Care,Offline,M,1/24/2011,989328134,2/28/2011,3035,81.73,56.67,248050.55,171993.45,76057.1
Asia,Bangladesh,Fruits,Offline,C,4/17/2016,891831767,5/18/2016,1693,9.33,6.92,15795.69,11715.56,4080.13
Sub-Saharan Africa,Tanzania,Beverages,Online,H,11/15/2012,966999280,12/19/2012,5431,47.45,31.79,257700.95,172651.49,85049.46
Central America and the Caribbean,Dominican Republic,Beverages,Offline,M,1/16/2013,902379500,02/06/2013,3002,47.45,31.79,142444.9,95433.58,47011.32
Australia and Oceania,Palau,Meat,Online,C,12/14/2014,905833756,1/14/2015,5193,421.89,364.69,2190874.77,1893835.17,297039.6
Europe,Andorra,Snacks,Online,L,1/14/2014,355535876,2/27/2014,9821,152.58,97.44,1498488.18,956958.24,541529.94
Sub-Saharan Africa,Cape Verde,Baby Food,Offline,L,5/14/2014,949972188,5/15/2014,6736,255.28,159.42,1719566.08,1073853.12,645712.96
Sub-Saharan Africa,Ethiopia,Cereal,Online,L,4/17/2017,857941520,5/20/2017,2816,205.7,117.11,579251.2,329781.76,249469.44
Sub-Saharan Africa,South Sudan,Snacks,Offline,M,1/31/2010,568555200,03/05/2010,6973,152.58,97.44,1063940.34,679449.12,384491.22
Australia and Oceania,Australia,Vegetables,Offline,M,2/25/2015,641237056,3/30/2015,5149,154.06,90.93,793254.94,468198.57,325056.37
Central America and the Caribbean,Cuba,Cosmetics,Online,H,7/15/2010,355723416,08/11/2010,5319,437.2,263.33,2325466.8,1400652.27,924814.53
Australia and Oceania,Papua New Guinea,Cosmetics,Online,C,12/28/2016,862063109,2/16/2017,2486,437.2,263.33,1086879.2,654638.38,432240.82
Asia,Myanmar,Snacks,Offline,L,11/25/2010,230617463,01/11/2011,3687,152.58,97.44,562562.46,359261.28,203301.18
Europe,Czech Republic,Snacks,Online,C,05/12/2011,202060306,5/16/2011,2990,152.58,97.44,456214.2,291345.6,164868.6
Australia and Oceania,Palau,Meat,Online,H,10/27/2015,337377965,11/15/2015,6492,421.89,364.69,2738909.88,2367567.48,371342.4
Sub-Saharan Africa,Benin,Vegetables,Offline,H,06/05/2011,267869269,07/03/2011,7324,154.06,90.93,1128335.44,665971.32,462364.12
Asia,Bangladesh,Personal Care,Offline,C,09/07/2016,145145547,10/09/2016,648,81.73,56.67,52961.04,36722.16,16238.88
Sub-Saharan Africa,Zimbabwe,Personal Care,Offline,M,02/04/2017,191130626,2/21/2017,8654,81.73,56.67,707291.42,490422.18,216869.24
Middle East and North Africa,Tunisia ,Vegetables,Online,L,05/11/2014,248060834,6/16/2014,5568,154.06,90.93,857806.08,506298.24,351507.84
Middle East and North Africa,Syria,Baby Food,Online,M,01/12/2015,228485000,02/08/2015,2644,255.28,159.42,674960.32,421506.48,253453.84
Asia,Cambodia,Meat,Offline,C,08/03/2011,565264451,9/17/2011,3167,421.89,364.69,1336125.63,1154973.23,181152.4
Asia,Mongolia,Snacks,Offline,H,07/02/2016,861573016,7/31/2016,7456,152.58,97.44,1137636.48,726512.64,411123.84
Sub-Saharan Africa,Rwanda,Snacks,Online,M,01/07/2013,340897023,02/11/2013,7860,152.58,97.44,1199278.8,765878.4,433400.4
Asia,Singapore,Fruits,Offline,L,12/15/2011,997035300,12/19/2011,3757,9.33,6.92,35052.81,25998.44,9054.37
North America,Mexico,Household,Offline,C,1/16/2010,844099175,03/01/2010,6559,668.27,502.54,4383182.93,3296159.86,1087023.07
Middle East and North Africa,Somalia,Snacks,Online,C,06/11/2016,666512477,7/29/2016,4708,152.58,97.44,718346.64,458747.52,259599.12
Middle East and North Africa,Azerbaijan,Cosmetics,Offline,L,02/02/2011,869011533,2/25/2011,8679,437.2,263.33,3794458.8,2285441.07,1509017.73
Central America and the Caribbean,Trinidad and Tobago,Fruits,Online,C,8/17/2016,126645171,09/02/2016,5975,9.33,6.92,55746.75,41347,14399.75
Australia and Oceania,Tuvalu,Vegetables,Offline,C,05/04/2011,334774720,06/10/2011,6134,154.06,90.93,945004.04,557764.62,387239.42
Sub-Saharan Africa,Liberia,Clothes,Offline,L,3/17/2016,759074008,4/17/2016,5722,109.28,35.84,625300.16,205076.48,420223.68
Central America and the Caribbean,Dominican Republic,Household,Offline,H,06/07/2015,285529363,6/16/2015,3338,668.27,502.54,2230685.26,1677478.52,553206.74
Europe,Bulgaria,Office Supplies,Offline,M,3/14/2013,570439612,04/05/2013,4613,651.21,524.96,3004031.73,2421640.48,582391.25
Sub-Saharan Africa,The Gambia,Clothes,Online,C,10/07/2014,190416085,11/07/2014,7206,109.28,35.84,787471.68,258263.04,529208.64
Asia,Vietnam,Snacks,Online,M,02/01/2015,492382609,03/09/2015,5811,152.58,97.44,886642.38,566223.84,320418.54
North America,United States of America,Personal Care,Online,M,03/12/2010,643575513,3/13/2010,7151,81.73,56.67,584451.23,405247.17,179204.06
Europe,Portugal,Clothes,Offline,H,02/07/2016,781543624,03/07/2016,4981,109.28,35.84,544323.68,178519.04,365804.64
Middle East and North Africa,United Arab Emirates,Cereal,Offline,C,1/16/2012,664148271,2/20/2012,5087,205.7,117.11,1046395.9,595738.57,450657.33
