Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,Nepal,Cosmetics,Online,C,4/17/2014,438118302,5/13/2014,7796,437.2,263.33,3408411.2,2052920.68,1355490.52
Central America and the Caribbean,Dominican Republic,Cereal,Offline,L,10/20/2011,449441516,12/05/2011,8587,205.7,117.11,1766345.9,1005623.57,760722.33
Middle East and North Africa,Algeria,Household,Offline,M,02/08/2014,339873921,2/28/2014,5101,668.27,502.54,3408845.27,2563456.54,845388.73
Europe,Denmark,Cereal,Offline,H,12/26/2014,978214347,1/25/2015,4218,205.7,117.11,867642.6,493969.98,373672.62
Central America and the Caribbean,Antigua and Barbuda ,Cosmetics,Offline,L,11/06/2016,153574120,11/25/2016,4850,437.2,263.33,2120420,1277150.5,843269.5
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Online,C,10/28/2011,225377070,11/16/2011,2938,109.28,35.84,321064.64,105297.92,215766.72
Europe,Estonia,Household,Offline,H,10/22/2015,473359525,11/15/2015,6457,668.27,502.54,4315019.39,3244900.78,1070118.61
Sub-Saharan Africa,Democratic Republic of the Congo,Household,Offline,C,09/11/2011,247570312,9/30/2011,412,668.27,502.54,275327.24,207046.48,68280.76
Sub-Saharan Africa,Mali,Fruits,Offline,C,9/24/2013,318370759,11/13/2013,1837,9.33,6.92,17139.21,12712.04,4427.17
Australia and Oceania,Samoa ,Baby Food,Offline,C,9/21/2010,626434695,9/21/2010,4802,255.28,159.42,1225854.56,765534.84,460319.72
Europe,Ukraine,Office Supplies,Offline,L,04/06/2015,732748448,4/26/2015,5404,651.21,524.96,3519138.84,2836883.84,682255
Asia,Myanmar,Beverages,Online,H,07/02/2014,268610846,8/17/2014,6773,47.45,31.79,321378.85,215313.67,106065.18
Middle East and North Africa,United Arab Emirates,Household,Offline,M,10/18/2011,285633218,11/12/2011,4071,668.27,502.54,2720527.17,2045840.34,674686.83
Australia and Oceania,Solomon Islands,Cereal,Offline,H,5/13/2015,105739390,07/01/2015,9490,205.7,117.11,1952093,1111373.9,840719.1
Asia,Nepal,Cereal,Offline,H,10/05/2011,471165692,10/20/2011,7254,205.7,117.11,1492147.8,849515.94,642631.86
Sub-Saharan Africa,Namibia,Baby Food,Online,C,2/13/2015,394460952,03/02/2015,8616,255.28,159.42,2199492.48,1373562.72,825929.76
Europe,Croatia,Household,Online,H,05/03/2010,308486497,05/07/2010,6865,668.27,502.54,4587673.55,3449937.1,1137736.45
Asia,Laos,Cereal,Online,C,6/18/2017,716416156,07/08/2017,2316,205.7,117.11,476401.2,271226.76,205174.44
Europe,Serbia,Baby Food,Offline,L,03/01/2012,841736257,3/19/2012,7318,255.28,159.42,1868139.04,1166635.56,701503.48
Europe,Germany,Fruits,Offline,H,11/02/2012,878245627,12/13/2012,1253,9.33,6.92,11690.49,8670.76,3019.73
Europe,Italy,Meat,Online,L,3/19/2016,640055596,05/03/2016,5529,421.89,364.69,2332629.81,2016371.01,316258.8
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Offline,M,4/22/2016,911589992,5/16/2016,8591,154.06,90.93,1323529.46,781179.63,542349.83
Asia,Myanmar,Fruits,Offline,C,10/08/2015,297585141,11/13/2015,911,9.33,6.92,8499.63,6304.12,2195.51
Asia,Mongolia,Snacks,Offline,C,07/11/2014,173089873,08/06/2014,9995,152.58,97.44,1525037.1,973912.8,551124.3
Sub-Saharan Africa,South Sudan,Fruits,Offline,M,7/29/2013,633465516,08/01/2013,5378,9.33,6.92,50176.74,37215.76,12960.98
Asia,Sri Lanka,Baby Food,Offline,M,03/12/2011,944385898,3/29/2011,3628,255.28,159.42,926155.84,578375.76,347780.08
Europe,Bulgaria,Cosmetics,Offline,H,4/14/2014,891837346,05/10/2014,3344,437.2,263.33,1461996.8,880575.52,581421.28
Europe,Liechtenstein,Beverages,Online,M,11/24/2011,332118690,12/23/2011,155,47.45,31.79,7354.75,4927.45,2427.3
Middle East and North Africa,Jordan,Vegetables,Offline,L,11/08/2016,541841256,12/18/2016,1723,154.06,90.93,265445.38,156672.39,108772.99
Sub-Saharan Africa,South Sudan,Vegetables,Offline,C,7/20/2016,167928874,7/27/2016,2740,154.06,90.93,422124.4,249148.2,172976.2
Central America and the Caribbean,Barbados,Snacks,Online,M,7/30/2014,177617871,9/15/2014,9930,152.58,97.44,1515119.4,967579.2,547540.2
Sub-Saharan Africa,Cote d'Ivoire,Snacks,Offline,M,10/24/2011,708457076,11/01/2011,7047,152.58,97.44,1075231.26,686659.68,388571.58
Sub-Saharan Africa,Djibouti,Clothes,Offline,M,3/13/2010,618307816,3/22/2010,9878,109.28,35.84,1079467.84,354027.52,725440.32
Europe,Germany,Personal Care,Online,H,07/11/2016,635343921,7/13/2016,1240,81.73,56.67,101345.2,70270.8,31074.4
