Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Kuwait,Office Supplies,Offline,H,3/19/2010,997444283,4/20/2010,4784,651.21,524.96,3115388.64,2511408.64,603980
Europe,Estonia,Snacks,Online,M,11/01/2012,479391276,11/25/2012,1387,152.58,97.44,211628.46,135149.28,76479.18
Europe,Finland,Vegetables,Offline,C,11/04/2012,682439649,12/05/2012,7912,154.06,90.93,1218922.72,719438.16,499484.56
Sub-Saharan Africa,Chad,Snacks,Online,L,02/12/2011,844138228,2/16/2011,8115,152.58,97.44,1238186.7,790725.6,447461.1
Sub-Saharan Africa,Lesotho,Cereal,Online,L,2/28/2017,722348344,03/11/2017,7782,205.7,117.11,1600757.4,911350.02,689407.38
Europe,Greece,Household,Online,C,1/22/2015,145243823,1/25/2015,9730,668.27,502.54,6502267.1,4889714.2,1612552.9
Asia,Maldives,Fruits,Offline,H,8/31/2012,361310994,10/19/2012,8807,9.33,6.92,82169.31,60944.44,21224.87
Australia and Oceania,Tonga,Vegetables,Offline,L,02/12/2015,889348685,2/13/2015,6894,154.06,90.93,1062089.64,626871.42,435218.22
Asia,Cambodia,Vegetables,Offline,L,6/19/2013,868468225,7/21/2013,7902,154.06,90.93,1217382.12,718528.86,498853.26
Europe,Spain,Household,Offline,C,03/12/2011,408093440,4/27/2011,2773,668.27,502.54,1853112.71,1393543.42,459569.29
Central America and the Caribbean,Saint Vincent and the Grenadines,Office Supplies,Offline,H,11/04/2012,137960660,11/16/2012,4480,651.21,524.96,2917420.8,2351820.8,565600
Asia,Mongolia,Cereal,Offline,H,09/01/2012,758118712,10/12/2012,3029,205.7,117.11,623065.3,354726.19,268339.11
Europe,Austria,Meat,Online,M,7/21/2013,788928925,7/24/2013,456,421.89,364.69,192381.84,166298.64,26083.2
Middle East and North Africa,Azerbaijan,Snacks,Online,C,09/02/2015,621065127,09/10/2015,5827,152.58,97.44,889083.66,567782.88,321300.78
Europe,Russia,Cereal,Online,M,09/01/2012,265513646,10/01/2012,243,205.7,117.11,49985.1,28457.73,21527.37
Europe,Liechtenstein,Cosmetics,Offline,L,8/21/2010,703573310,9/20/2010,1832,437.2,263.33,800950.4,482420.56,318529.84
Asia,Bhutan,Clothes,Online,L,9/21/2016,736855447,10/23/2016,756,109.28,35.84,82615.68,27095.04,55520.64
Sub-Saharan Africa,Eritrea,Household,Offline,L,8/19/2012,137283885,8/19/2012,4207,668.27,502.54,2811411.89,2114185.78,697226.11
Australia and Oceania,Marshall Islands,Meat,Online,L,06/06/2011,997094953,6/16/2011,1409,421.89,364.69,594443.01,513848.21,80594.8
Europe,Georgia,Beverages,Offline,C,11/20/2015,978837478,12/16/2015,8616,47.45,31.79,408829.2,273902.64,134926.56
Central America and the Caribbean,Dominica,Fruits,Online,L,09/08/2014,965372788,10/05/2014,4116,9.33,6.92,38402.28,28482.72,9919.56
Central America and the Caribbean,Trinidad and Tobago,Cosmetics,Online,C,07/09/2016,109874713,08/06/2016,3224,437.2,263.33,1409532.8,848975.92,560556.88
Europe,San Marino,Clothes,Online,H,12/29/2015,785829579,01/07/2016,3290,109.28,35.84,359531.2,117913.6,241617.6
Europe,Estonia,Meat,Online,C,7/22/2012,937036216,8/29/2012,8694,421.89,364.69,3667911.66,3170614.86,497296.8
Europe,Malta,Vegetables,Online,H,4/23/2014,827605950,06/08/2014,5847,154.06,90.93,900788.82,531667.71,369121.11
Europe,Bulgaria,Household,Online,H,6/23/2011,791962611,6/23/2011,8191,668.27,502.54,5473799.57,4116305.14,1357494.43
Europe,Russia,Fruits,Offline,C,07/01/2010,784842526,08/06/2010,1199,9.33,6.92,11186.67,8297.08,2889.59
Sub-Saharan Africa,The Gambia,Cosmetics,Offline,L,02/01/2015,831294524,2/24/2015,7378,437.2,263.33,3225661.6,1942848.74,1282812.86
Australia and Oceania,East Timor,Fruits,Offline,M,11/17/2014,576679933,01/02/2015,1262,9.33,6.92,11774.46,8733.04,3041.42
Asia,Sri Lanka,Vegetables,Online,M,12/09/2011,636672580,01/03/2012,4419,154.06,90.93,680791.14,401819.67,278971.47
Europe,Estonia,Baby Food,Online,C,12/15/2016,347258794,02/02/2017,449,255.28,159.42,114620.72,71579.58,43041.14
Asia,Indonesia,Cosmetics,Offline,H,03/12/2015,914737403,4/20/2015,9980,437.2,263.33,4363256,2628033.4,1735222.6
Europe,Switzerland,Cereal,Offline,L,09/09/2015,465719735,10/13/2015,5674,205.7,117.11,1167141.8,664482.14,502659.66
Europe,Portugal,Office Supplies,Offline,M,03/11/2017,797129619,3/20/2017,7223,651.21,524.96,4703689.83,3791786.08,911903.75
Europe,Serbia,Office Supplies,Online,H,12/09/2011,626203382,12/12/2011,6351,651.21,524.96,4135834.71,3334020.96,801813.75
Central America and the Caribbean,Barbados,Personal Care,Offline,L,03/01/2012,540489852,4/14/2012,1813,81.73,56.67,148176.49,102742.71,45433.78
Central America and the Caribbean,Belize,Cereal,Online,M,01/10/2016,747850358,1/30/2016,4395,205.7,117.11,904051.5,514698.45,389353.05
Sub-Saharan Africa,Guinea,Cereal,Offline,H,5/21/2011,626458728,06/01/2011,1914,205.7,117.11,393709.8,224148.54,169561.26
Europe,Croatia,Household,Offline,L,6/14/2017,974801290,6/23/2017,4219,668.27,502.54,2819431.13,2120216.26,699214.87
Sub-Saharan Africa,Gabon,Snacks,Offline,H,11/12/2012,861676871,12/27/2012,8189,152.58,97.44,1249477.62,797936.16,451541.46
Europe,Ukraine,Meat,Online,C,03/08/2015,776196801,3/18/2015,2737,421.89,364.69,1154712.93,998156.53,156556.4
Europe,Montenegro,Personal Care,Online,C,07/10/2016,377784907,8/18/2016,3804,81.73,56.67,310900.92,215572.68,95328.24
Middle East and North Africa,Saudi Arabia,Snacks,Offline,M,1/27/2010,746177518,2/20/2010,9364,152.58,97.44,1428759.12,912428.16,516330.96
Asia,Bhutan,Baby Food,Online,L,08/02/2016,331423461,08/02/2016,4422,255.28,159.42,1128848.16,704955.24,423892.92
Sub-Saharan Africa,The Gambia,Personal Care,Online,M,06/12/2012,803884065,6/26/2012,6014,81.73,56.67,491524.22,340813.38,150710.84
Sub-Saharan Africa,Sudan,Fruits,Offline,L,10/02/2016,304233157,11/21/2016,8207,9.33,6.92,76571.31,56792.44,19778.87
