Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,North Korea,Baby Food,Online,M,10/27/2016,400977647,12/05/2016,7051,255.28,159.42,1799979.28,1124070.42,675908.86
Sub-Saharan Africa,South Africa,Cereal,Online,L,10/07/2013,388350665,11/26/2013,447,205.7,117.11,91947.9,52348.17,39599.73
Europe,Liechtenstein,Snacks,Online,L,11/25/2011,641551625,11/25/2011,8237,152.58,97.44,1256801.46,802613.28,454188.18
Australia and Oceania,Marshall Islands,Personal Care,Online,L,09/04/2010,904379355,9/14/2010,4803,81.73,56.67,392549.19,272186.01,120363.18
Sub-Saharan Africa,Burundi,Office Supplies,Online,M,8/13/2010,540945184,8/23/2010,6556,651.21,524.96,4269332.76,3441637.76,827695
Middle East and North Africa,Jordan,Personal Care,Online,C,02/04/2017,785672938,2/23/2017,6937,81.73,56.67,566961.01,393119.79,173841.22
Australia and Oceania,Marshall Islands,Beverages,Offline,L,10/30/2013,693298947,11/18/2013,1420,47.45,31.79,67379,45141.8,22237.2
Sub-Saharan Africa,Liberia,Meat,Online,H,02/10/2012,288872039,03/12/2012,2511,421.89,364.69,1059365.79,915736.59,143629.2
Europe,Serbia,Cosmetics,Offline,C,9/19/2016,117753541,10/28/2016,4744,437.2,263.33,2074076.8,1249237.52,824839.28
Middle East and North Africa,Azerbaijan,Clothes,Online,M,7/26/2014,795617282,08/11/2014,9689,109.28,35.84,1058813.92,347253.76,711560.16
Sub-Saharan Africa,Sao Tome and Principe,Snacks,Online,M,05/09/2016,758449590,6/25/2016,943,152.58,97.44,143882.94,91885.92,51997.02
Australia and Oceania,Solomon Islands,Fruits,Online,H,11/28/2014,312549293,12/04/2014,9136,9.33,6.92,85238.88,63221.12,22017.76
Sub-Saharan Africa,Senegal,Vegetables,Online,L,9/13/2011,284527719,10/15/2011,6930,154.06,90.93,1067635.8,630144.9,437490.9
Middle East and North Africa,Iraq,Snacks,Offline,M,1/17/2013,671308696,03/06/2013,4016,152.58,97.44,612761.28,391319.04,221442.24
North America,Mexico,Beverages,Online,C,03/10/2011,190128552,4/23/2011,2119,47.45,31.79,100546.55,67363.01,33183.54
Australia and Oceania,East Timor,Baby Food,Offline,M,10/15/2010,328536117,12/01/2010,9993,255.28,159.42,2551013.04,1593084.06,957928.98
Middle East and North Africa,Libya,Fruits,Offline,M,7/27/2017,394392716,09/12/2017,8424,9.33,6.92,78595.92,58294.08,20301.84
Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,L,10/29/2011,665872180,11/20/2011,5230,255.28,159.42,1335114.4,833766.6,501347.8
Europe,Luxembourg,Cosmetics,Online,H,10/08/2012,141460835,10/23/2012,260,437.2,263.33,113672,68465.8,45206.2
Asia,Indonesia,Beverages,Offline,H,03/07/2014,589957511,3/14/2014,393,47.45,31.79,18647.85,12493.47,6154.38
Australia and Oceania,Nauru,Cereal,Offline,L,11/24/2010,700473535,01/04/2011,4540,205.7,117.11,933878,531679.4,402198.6
Australia and Oceania,Tuvalu,Personal Care,Offline,M,03/11/2010,132432734,4/27/2010,8644,81.73,56.67,706474.12,489855.48,216618.64
Sub-Saharan Africa,South Sudan,Cereal,Online,M,10/24/2012,865571439,11/15/2012,679,205.7,117.11,139670.3,79517.69,60152.61
Sub-Saharan Africa,Chad,Vegetables,Online,H,10/21/2016,449938476,12/08/2016,5648,154.06,90.93,870130.88,513572.64,356558.24
Europe,Serbia,Baby Food,Offline,H,09/11/2013,555895173,10/03/2013,590,255.28,159.42,150615.2,94057.8,56557.4
Central America and the Caribbean,Grenada,Household,Offline,L,01/03/2015,224115359,02/02/2015,9570,668.27,502.54,6395343.9,4809307.8,1586036.1
Europe,Denmark,Household,Offline,M,08/12/2010,815585362,8/31/2010,8688,668.27,502.54,5805929.76,4366067.52,1439862.24
Europe,Georgia,Office Supplies,Offline,L,5/20/2010,161604011,6/15/2010,1073,651.21,524.96,698748.33,563282.08,135466.25
Middle East and North Africa,Oman,Vegetables,Offline,H,02/07/2010,213782632,3/29/2010,1886,154.06,90.93,290557.16,171493.98,119063.18
Sub-Saharan Africa,Swaziland,Meat,Offline,M,06/02/2010,294045054,07/02/2010,3321,421.89,364.69,1401096.69,1211135.49,189961.2
Middle East and North Africa,Kuwait,Cosmetics,Online,H,01/10/2013,244627606,1/26/2013,9600,437.2,263.33,4197120,2527968,1669152
Europe,Ireland,Office Supplies,Offline,C,12/01/2016,878079116,1/19/2017,1978,651.21,524.96,1288093.38,1038370.88,249722.5
Central America and the Caribbean,The Bahamas,Cosmetics,Offline,M,7/24/2014,827260911,8/24/2014,3742,437.2,263.33,1636002.4,985380.86,650621.54
Middle East and North Africa,Tunisia ,Office Supplies,Offline,L,11/10/2010,595346820,11/12/2010,5209,651.21,524.96,3392152.89,2734516.64,657636.25
Sub-Saharan Africa,Sierra Leone,Beverages,Online,C,10/11/2011,305823171,10/31/2011,8727,47.45,31.79,414096.15,277431.33,136664.82
Middle East and North Africa,Israel,Meat,Offline,L,12/24/2012,152488791,1/17/2013,3677,421.89,364.69,1551289.53,1340965.13,210324.4
Sub-Saharan Africa,Zambia,Snacks,Online,H,3/18/2011,849455010,04/09/2011,1469,152.58,97.44,224140.02,143139.36,81000.66
Asia,Sri Lanka,Meat,Online,M,8/16/2015,481145656,8/24/2015,546,421.89,364.69,230351.94,199120.74,31231.2
Sub-Saharan Africa,Ethiopia,Baby Food,Online,L,9/21/2013,352297055,10/30/2013,1382,255.28,159.42,352796.96,220318.44,132478.52
Middle East and North Africa,Jordan,Beverages,Online,L,01/04/2013,937958037,1/14/2013,1482,47.45,31.79,70320.9,47112.78,23208.12
Sub-Saharan Africa,Burundi,Office Supplies,Online,M,6/27/2014,533489930,7/30/2014,381,651.21,524.96,248111.01,200009.76,48101.25
