Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Jordan,Meat,Offline,H,9/16/2011,932518517,10/01/2011,1807,421.89,364.69,762355.23,658994.83,103360.4
Middle East and North Africa,Lebanon,Vegetables,Offline,H,11/06/2014,342065608,11/06/2014,3670,154.06,90.93,565400.2,333713.1,231687.1
Middle East and North Africa,Turkey,Snacks,Offline,C,03/07/2017,729354703,3/14/2017,1119,152.58,97.44,170737.02,109035.36,61701.66
Australia and Oceania,Palau,Vegetables,Offline,L,12/13/2012,994434630,1/28/2013,4161,154.06,90.93,641043.66,378359.73,262683.93
Sub-Saharan Africa,Mozambique,Household,Offline,C,8/16/2012,557666718,9/21/2012,4829,668.27,502.54,3227075.83,2426765.66,800310.17
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Online,C,5/13/2016,709724795,6/20/2016,2193,437.2,263.33,958779.6,577482.69,381296.91
Europe,Monaco,Personal Care,Offline,M,04/05/2010,561595189,4/30/2010,7351,81.73,56.67,600797.23,416581.17,184216.06
Asia,Vietnam,Baby Food,Online,L,7/15/2015,194576728,7/23/2015,8433,255.28,159.42,2152776.24,1344388.86,808387.38
Sub-Saharan Africa,Uganda,Baby Food,Offline,L,8/15/2016,210280740,8/29/2016,5599,255.28,159.42,1429312.72,892592.58,536720.14
Middle East and North Africa,Bahrain,Meat,Online,M,5/16/2010,380631053,5/19/2010,6042,421.89,364.69,2549059.38,2203456.98,345602.4
Middle East and North Africa,Yemen,Cereal,Offline,H,06/03/2017,997863996,06/06/2017,8986,205.7,117.11,1848420.2,1052350.46,796069.74
Australia and Oceania,Nauru,Vegetables,Offline,L,04/02/2010,624528396,05/01/2010,686,154.06,90.93,105685.16,62377.98,43307.18
Sub-Saharan Africa,Nigeria,Household,Online,C,06/01/2015,143485581,06/08/2015,9427,668.27,502.54,6299781.29,4737444.58,1562336.71
Australia and Oceania,Kiribati,Household,Offline,M,4/21/2011,507909381,4/26/2011,528,668.27,502.54,352846.56,265341.12,87505.44
Middle East and North Africa,Azerbaijan,Office Supplies,Online,C,3/29/2015,491286122,3/31/2015,1336,651.21,524.96,870016.56,701346.56,168670
Sub-Saharan Africa,Madagascar,Meat,Online,M,7/16/2011,737414634,7/31/2011,6232,421.89,364.69,2629218.48,2272748.08,356470.4
Asia,Indonesia,Snacks,Offline,L,11/12/2015,610406243,12/07/2015,1627,152.58,97.44,248247.66,158534.88,89712.78
Europe,Norway,Household,Online,L,11/15/2010,444684779,11/17/2010,963,668.27,502.54,643544.01,483946.02,159597.99
Europe,Ukraine,Baby Food,Online,C,7/29/2010,194986569,8/26/2010,9714,255.28,159.42,2479789.92,1548605.88,931184.04
Asia,Mongolia,Clothes,Online,H,02/10/2011,786360442,03/06/2011,384,109.28,35.84,41963.52,13762.56,28200.96
Sub-Saharan Africa,Togo,Clothes,Online,M,04/06/2017,964167726,4/30/2017,7511,109.28,35.84,820802.08,269194.24,551607.84
Asia,Sri Lanka,Beverages,Online,M,12/13/2015,444082248,12/13/2015,2660,47.45,31.79,126217,84561.4,41655.6
Sub-Saharan Africa,Eritrea,Snacks,Online,H,4/15/2010,362090337,5/25/2010,9432,152.58,97.44,1439134.56,919054.08,520080.48
Middle East and North Africa,Morocco,Vegetables,Online,M,10/31/2015,124490821,11/14/2015,8455,154.06,90.93,1302577.3,768813.15,533764.15
Sub-Saharan Africa,Nigeria,Household,Online,L,4/30/2011,557895028,05/12/2011,2391,668.27,502.54,1597833.57,1201573.14,396260.43
Europe,Cyprus,Personal Care,Online,H,09/02/2010,759226787,09/11/2010,933,81.73,56.67,76254.09,52873.11,23380.98
Middle East and North Africa,Syria,Vegetables,Offline,L,09/02/2013,345722424,10/16/2013,5803,154.06,90.93,894010.18,527666.79,366343.39
Central America and the Caribbean,Grenada,Vegetables,Online,C,06/02/2017,804930770,7/16/2017,5757,154.06,90.93,886923.42,523484.01,363439.41
Middle East and North Africa,United Arab Emirates,Clothes,Online,C,6/29/2012,544713151,8/16/2012,1581,109.28,35.84,172771.68,56663.04,116108.64
Europe,Slovakia,Snacks,Online,C,1/19/2017,743243396,2/24/2017,1092,152.58,97.44,166617.36,106404.48,60212.88
Europe,Monaco,Personal Care,Offline,M,06/10/2012,399007833,7/30/2012,4139,81.73,56.67,338280.47,234557.13,103723.34
Central America and the Caribbean,Saint Vincent and the Grenadines,Cosmetics,Online,H,2/28/2015,380805289,3/19/2015,7602,437.2,263.33,3323594.4,2001834.66,1321759.74
Central America and the Caribbean,Belize,Fruits,Online,L,6/24/2012,277747094,08/01/2012,392,9.33,6.92,3657.36,2712.64,944.72
Asia,Cambodia,Baby Food,Online,M,8/29/2011,649257075,10/06/2011,8451,255.28,159.42,2157371.28,1347258.42,810112.86
