Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,El Salvador,Beverages,Offline,L,9/24/2015,890866601,11/03/2015,6079,47.45,31.79,288448.55,193251.41,95197.14
Middle East and North Africa,Algeria,Beverages,Offline,M,8/23/2015,101341426,9/26/2015,8035,47.45,31.79,381260.75,255432.65,125828.1
Sub-Saharan Africa,Burundi,Vegetables,Offline,C,04/05/2012,275495755,04/06/2012,4171,154.06,90.93,642584.26,379269.03,263315.23
Europe,Armenia,Baby Food,Offline,C,03/12/2011,763378417,04/08/2011,9492,255.28,159.42,2423117.76,1513214.64,909903.12
Australia and Oceania,New Zealand,Vegetables,Online,C,7/18/2011,535350739,7/25/2011,1035,154.06,90.93,159452.1,94112.55,65339.55
Asia,Nepal,Baby Food,Offline,C,04/06/2017,432086551,05/03/2017,2867,255.28,159.42,731887.76,457057.14,274830.62
Australia and Oceania,Papua New Guinea,Office Supplies,Offline,L,8/26/2010,914572179,9/29/2010,1086,651.21,524.96,707214.06,570106.56,137107.5
Middle East and North Africa,Turkey,Cereal,Online,L,9/20/2016,714106452,10/05/2016,8823,205.7,117.11,1814891.1,1033261.53,781629.57
Europe,United Kingdom,Cereal,Offline,M,2/13/2016,882300698,03/04/2016,1238,205.7,117.11,254656.6,144982.18,109674.42
Sub-Saharan Africa,Chad,Snacks,Online,L,1/19/2017,741078746,2/25/2017,524,152.58,97.44,79951.92,51058.56,28893.36
Central America and the Caribbean,Trinidad and Tobago,Office Supplies,Offline,H,8/28/2013,132676923,9/13/2013,905,651.21,524.96,589345.05,475088.8,114256.25
Central America and the Caribbean,Haiti,Baby Food,Offline,C,6/27/2012,769644057,8/14/2012,3635,255.28,159.42,927942.8,579491.7,348451.1
Sub-Saharan Africa,Cameroon,Office Supplies,Online,M,08/05/2013,384841477,09/10/2013,2000,651.21,524.96,1302420,1049920,252500
Europe,Liechtenstein,Clothes,Online,H,4/20/2014,381443011,05/10/2014,6318,109.28,35.84,690431.04,226437.12,463993.92
Middle East and North Africa,Azerbaijan,Household,Online,M,12/30/2012,882934987,01/04/2013,8938,668.27,502.54,5972997.26,4491702.52,1481294.74
Sub-Saharan Africa,Ethiopia,Cereal,Online,L,12/06/2012,283116233,01/09/2013,9240,205.7,117.11,1900668,1082096.4,818571.6
Sub-Saharan Africa,Sierra Leone,Meat,Online,L,11/01/2010,196098077,11/13/2010,8634,421.89,364.69,3642598.26,3148733.46,493864.8
