Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,Malaysia,Clothes,Offline,C,12/03/2014,789529740,12/25/2014,8250,109.28,35.84,901560,295680,605880
Middle East and North Africa,Azerbaijan,Beverages,Online,M,06/03/2017,372386157,07/11/2017,6194,47.45,31.79,293905.3,196907.26,96998.04
Asia,Maldives,Cereal,Offline,H,04/05/2017,692164266,4/20/2017,5642,205.7,117.11,1160559.4,660734.62,499824.78
Sub-Saharan Africa,South Africa,Snacks,Online,L,01/02/2012,367662894,01/12/2012,8476,152.58,97.44,1293268.08,825901.44,467366.64
Europe,San Marino,Meat,Offline,H,06/05/2015,337993371,7/18/2015,8604,421.89,364.69,3629941.56,3137792.76,492148.8
Middle East and North Africa,Pakistan,Personal Care,Online,M,11/11/2015,712579524,11/27/2015,6971,81.73,56.67,569739.83,395046.57,174693.26
Europe,Denmark,Fruits,Offline,C,04/12/2010,321157681,4/15/2010,6550,9.33,6.92,61111.5,45326,15785.5
Europe,Latvia,Snacks,Offline,L,8/26/2015,763776671,09/07/2015,7345,152.58,97.44,1120700.1,715696.8,405003.3
Australia and Oceania,Fiji,Fruits,Offline,H,2/22/2012,560797822,03/06/2012,1393,9.33,6.92,12996.69,9639.56,3357.13
Sub-Saharan Africa,Mauritania,Household,Offline,H,1/26/2015,102894961,02/12/2015,7760,668.27,502.54,5185775.2,3899710.4,1286064.8
Sub-Saharan Africa,Namibia,Baby Food,Online,C,07/08/2010,301054418,8/24/2010,7547,255.28,159.42,1926598.16,1203142.74,723455.42
Middle East and North Africa,Afghanistan,Cosmetics,Online,L,2/21/2012,336575019,03/05/2012,8882,437.2,263.33,3883210.4,2338897.06,1544313.34
Sub-Saharan Africa,Namibia,Baby Food,Online,M,12/10/2011,811068093,1/21/2012,1927,255.28,159.42,491924.56,307202.34,184722.22
Europe,Czech Republic,Fruits,Offline,C,05/05/2014,596457469,6/20/2014,3875,9.33,6.92,36153.75,26815,9338.75
Australia and Oceania,Solomon Islands,Office Supplies,Online,C,04/07/2017,884979474,04/07/2017,3947,651.21,524.96,2570325.87,2072017.12,498308.75
Europe,Vatican City,Fruits,Online,H,11/28/2015,239182937,12/19/2015,8401,9.33,6.92,78381.33,58134.92,20246.41
Central America and the Caribbean,Dominica,Cereal,Online,L,02/07/2014,441929185,3/15/2014,5521,205.7,117.11,1135669.7,646564.31,489105.39
Middle East and North Africa,Iran,Meat,Offline,H,12/18/2012,646392047,12/28/2012,626,421.89,364.69,264103.14,228295.94,35807.2
Middle East and North Africa,Jordan,Clothes,Offline,C,09/02/2014,526057851,9/27/2014,1063,109.28,35.84,116164.64,38097.92,78066.72
Australia and Oceania,Marshall Islands,Cereal,Offline,M,02/06/2011,724725425,3/24/2011,1213,205.7,117.11,249514.1,142054.43,107459.67
Central America and the Caribbean,Grenada,Clothes,Offline,M,05/09/2010,606506097,5/13/2010,7487,109.28,35.84,818179.36,268334.08,549845.28
Sub-Saharan Africa,The Gambia,Snacks,Online,M,3/24/2010,505823695,4/13/2010,3327,152.58,97.44,507633.66,324182.88,183450.78
Sub-Saharan Africa,Sierra Leone,Fruits,Online,M,2/28/2017,377414548,3/26/2017,4207,9.33,6.92,39251.31,29112.44,10138.87
Sub-Saharan Africa,Madagascar,Cereal,Offline,L,2/25/2012,246327483,04/08/2012,2631,205.7,117.11,541196.7,308116.41,233080.29
Europe,Austria,Cereal,Online,C,2/15/2015,657923829,2/18/2015,3136,205.7,117.11,645075.2,367256.96,277818.24
Europe,Serbia,Fruits,Offline,H,12/29/2012,427877414,1/30/2013,7290,9.33,6.92,68015.7,50446.8,17568.9
Europe,Macedonia,Cereal,Offline,C,6/17/2016,692174565,6/29/2016,8690,205.7,117.11,1787533,1017685.9,769847.1
