Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Madagascar,Clothes,Online,L,8/19/2015,985558450,09/02/2015,7501,109.28,35.84,819709.28,268835.84,550873.44
Australia and Oceania,Kiribati,Beverages,Online,L,3/26/2010,852686107,3/30/2010,7622,47.45,31.79,361663.9,242303.38,119360.52
Asia,Uzbekistan,Clothes,Offline,L,01/02/2016,126071393,1/31/2016,6182,109.28,35.84,675568.96,221562.88,454006.08
Asia,Uzbekistan,Beverages,Offline,C,12/29/2012,968263137,12/30/2012,9434,47.45,31.79,447643.3,299906.86,147736.44
Central America and the Caribbean,The Bahamas,Snacks,Offline,L,8/14/2012,662122666,8/15/2012,5666,152.58,97.44,864518.28,552095.04,312423.24
Europe,Luxembourg,Cereal,Online,C,12/25/2015,160823810,02/07/2016,194,205.7,117.11,39905.8,22719.34,17186.46
Central America and the Caribbean,Grenada,Snacks,Online,H,2/14/2010,937852895,2/21/2010,368,152.58,97.44,56149.44,35857.92,20291.52
Europe,Moldova ,Office Supplies,Online,M,3/18/2017,937008750,3/29/2017,566,651.21,524.96,368584.86,297127.36,71457.5
Asia,Maldives,Baby Food,Online,L,1/19/2015,422402703,2/25/2015,7201,255.28,159.42,1838271.28,1147983.42,690287.86
Asia,Thailand,Clothes,Offline,L,08/03/2016,628458583,08/04/2016,3715,109.28,35.84,405975.2,133145.6,272829.6
Asia,Indonesia,Personal Care,Offline,H,02/12/2013,609912717,3/23/2013,5581,81.73,56.67,456135.13,316275.27,139859.86
Sub-Saharan Africa,Benin,Meat,Offline,M,12/04/2015,391813933,12/24/2015,5305,421.89,364.69,2238126.45,1934680.45,303446
Sub-Saharan Africa,Guinea,Office Supplies,Online,H,8/24/2014,519523561,9/21/2014,7421,651.21,524.96,4832629.41,3895728.16,936901.25
Europe,Serbia,Cereal,Offline,L,05/05/2011,708715426,06/11/2011,3499,205.7,117.11,719744.3,409767.89,309976.41
Sub-Saharan Africa,Niger,Cosmetics,Online,C,9/15/2016,295375859,10/16/2016,7136,437.2,263.33,3119859.2,1879122.88,1240736.32
Middle East and North Africa,Syria,Office Supplies,Offline,C,01/01/2016,485803687,02/04/2016,8961,651.21,524.96,5835492.81,4704166.56,1131326.25
Asia,Indonesia,Fruits,Online,L,09/10/2010,306610238,10/14/2010,1638,9.33,6.92,15282.54,11334.96,3947.58
Sub-Saharan Africa,Swaziland,Vegetables,Online,C,09/03/2014,654719340,09/09/2014,4857,154.06,90.93,748269.42,441647.01,306622.41
Europe,Luxembourg,Snacks,Online,H,08/09/2012,247367322,9/18/2012,342,152.58,97.44,52182.36,33324.48,18857.88
Central America and the Caribbean,Dominica,Vegetables,Online,M,9/23/2016,572103011,10/04/2016,6849,154.06,90.93,1055156.94,622779.57,432377.37
Europe,Andorra,Snacks,Online,M,1/20/2010,936787736,02/01/2010,5163,152.58,97.44,787770.54,503082.72,284687.82
Sub-Saharan Africa,The Gambia,Household,Offline,L,9/23/2010,719595324,10/12/2010,3102,668.27,502.54,2072973.54,1558879.08,514094.46
Middle East and North Africa,Iran,Snacks,Online,L,04/02/2015,719012105,4/28/2015,515,152.58,97.44,78578.7,50181.6,28397.1
Asia,Mongolia,Meat,Online,L,5/27/2017,903836905,06/07/2017,4280,421.89,364.69,1805689.2,1560873.2,244816
Sub-Saharan Africa,Zambia,Vegetables,Offline,L,01/08/2012,863181054,1/28/2012,3311,154.06,90.93,510092.66,301069.23,209023.43
Europe,Slovakia,Office Supplies,Online,C,12/11/2013,256468379,1/13/2014,3547,651.21,524.96,2309841.87,1862033.12,447808.75
Europe,Vatican City,Office Supplies,Online,L,05/12/2016,163435208,6/26/2016,2965,651.21,524.96,1930837.65,1556506.4,374331.25
Middle East and North Africa,Afghanistan,Cereal,Online,H,4/22/2017,834130370,06/01/2017,6568,205.7,117.11,1351037.6,769178.48,581859.12
Europe,Estonia,Beverages,Online,H,11/18/2015,338915193,12/03/2015,1392,47.45,31.79,66050.4,44251.68,21798.72
Europe,Serbia,Household,Online,L,1/15/2016,418463504,1/19/2016,1505,668.27,502.54,1005746.35,756322.7,249423.65
Sub-Saharan Africa,South Sudan,Household,Offline,L,3/24/2015,633761632,3/29/2015,3005,668.27,502.54,2008151.35,1510132.7,498018.65
Middle East and North Africa,Iraq,Vegetables,Offline,H,9/26/2015,616108405,10/02/2015,9023,154.06,90.93,1390083.38,820461.39,569621.99
Australia and Oceania,New Zealand,Beverages,Offline,H,05/10/2013,517115151,5/15/2013,4720,47.45,31.79,223964,150048.8,73915.2
Middle East and North Africa,Azerbaijan,Clothes,Online,C,4/20/2016,558705699,06/01/2016,2287,109.28,35.84,249923.36,81966.08,167957.28
Central America and the Caribbean,Nicaragua,Snacks,Online,M,2/18/2011,583116376,03/06/2011,5949,152.58,97.44,907698.42,579670.56,328027.86
Central America and the Caribbean,El Salvador,Meat,Offline,C,12/22/2011,502896010,01/08/2012,6960,421.89,364.69,2936354.4,2538242.4,398112
Middle East and North Africa,Jordan,Office Supplies,Offline,M,4/22/2011,750905930,06/11/2011,8606,651.21,524.96,5604313.26,4517805.76,1086507.5
Australia and Oceania,Australia,Clothes,Offline,L,01/08/2014,930319964,01/11/2014,1206,109.28,35.84,131791.68,43223.04,88568.64
Middle East and North Africa,Jordan,Fruits,Offline,H,12/11/2010,264624440,1/13/2011,7107,9.33,6.92,66308.31,49180.44,17127.87
Sub-Saharan Africa,Malawi,Clothes,Online,C,11/21/2012,747618186,12/23/2012,5690,109.28,35.84,621803.2,203929.6,417873.6
Europe,Monaco,Clothes,Online,C,08/04/2016,393412530,08/08/2016,8365,109.28,35.84,914127.2,299801.6,614325.6
Middle East and North Africa,Bahrain,Baby Food,Online,C,1/24/2016,886431300,03/11/2016,3575,255.28,159.42,912626,569926.5,342699.5
