Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Bahrain,Office Supplies,Online,H,06/07/2013,403137147,7/16/2013,6095,651.21,524.96,3969124.95,3199631.2,769493.75
Europe,Denmark,Baby Food,Online,C,12/13/2016,409955966,12/15/2016,3935,255.28,159.42,1004526.8,627317.7,377209.1
Central America and the Caribbean,Trinidad and Tobago,Meat,Offline,M,3/20/2012,447055852,05/06/2012,2616,421.89,364.69,1103664.24,954029.04,149635.2
Asia,South Korea,Fruits,Online,H,12/31/2010,370735633,1/19/2011,7767,9.33,6.92,72466.11,53747.64,18718.47
Europe,Finland,Cereal,Online,H,12/22/2010,557606637,1/25/2011,7050,205.7,117.11,1450185,825625.5,624559.5
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Offline,C,09/04/2014,554592692,10/14/2014,5157,437.2,263.33,2254640.4,1357992.81,896647.59
Europe,Andorra,Vegetables,Online,L,7/23/2010,428930127,7/24/2010,8811,154.06,90.93,1357422.66,801184.23,556238.43
Europe,Spain,Office Supplies,Online,H,8/23/2014,318167769,09/12/2014,1768,651.21,524.96,1151339.28,928129.28,223210
Sub-Saharan Africa,Gabon,Cosmetics,Offline,M,9/21/2013,880166947,10/04/2013,9814,437.2,263.33,4290680.8,2584320.62,1706360.18
Sub-Saharan Africa,Mauritania,Fruits,Online,M,08/05/2014,143101489,09/06/2014,5765,9.33,6.92,53787.45,39893.8,13893.65
Europe,Denmark,Cosmetics,Online,H,7/15/2017,255457723,8/29/2017,4472,437.2,263.33,1955158.4,1177611.76,777546.64
Europe,France,Household,Online,L,7/19/2012,736034476,7/24/2012,7813,668.27,502.54,5221193.51,3926345.02,1294848.49
Sub-Saharan Africa,Malawi,Snacks,Offline,M,5/25/2013,723943078,6/28/2013,9699,152.58,97.44,1479873.42,945070.56,534802.86
Asia,China,Office Supplies,Online,C,12/28/2015,328607356,02/03/2016,1074,651.21,524.96,699399.54,563807.04,135592.5
Middle East and North Africa,Pakistan,Vegetables,Offline,L,4/20/2017,179763638,5/24/2017,4910,154.06,90.93,756434.6,446466.3,309968.3
Asia,Brunei,Baby Food,Online,C,7/31/2011,977460753,09/02/2011,1213,255.28,159.42,309654.64,193376.46,116278.18
Sub-Saharan Africa,Tanzania,Meat,Offline,C,11/09/2016,342060029,11/14/2016,2019,421.89,364.69,851795.91,736309.11,115486.8
Sub-Saharan Africa,Gabon,Snacks,Offline,C,08/02/2010,464235293,8/15/2010,6395,152.58,97.44,975749.1,623128.8,352620.3
Europe,Greece,Baby Food,Online,H,9/17/2016,454972875,10/14/2016,5439,255.28,159.42,1388467.92,867085.38,521382.54
Sub-Saharan Africa,Uganda,Snacks,Online,C,01/11/2011,395571601,1/20/2011,7282,152.58,97.44,1111087.56,709558.08,401529.48
Europe,Monaco,Cosmetics,Online,C,10/29/2015,887642800,12/03/2015,2085,437.2,263.33,911562,549043.05,362518.95
Europe,Lithuania,Snacks,Offline,L,10/25/2012,803110301,11/11/2012,7040,152.58,97.44,1074163.2,685977.6,388185.6
Middle East and North Africa,Azerbaijan,Vegetables,Online,C,1/22/2015,434210431,2/23/2015,1371,154.06,90.93,211216.26,124665.03,86551.23
Europe,Malta,Vegetables,Online,C,03/08/2010,143492019,4/21/2010,1332,154.06,90.93,205207.92,121118.76,84089.16
Sub-Saharan Africa,Namibia,Cosmetics,Offline,C,2/28/2017,813816392,3/31/2017,5210,437.2,263.33,2277812,1371949.3,905862.7
Europe,Kosovo,Personal Care,Online,H,5/25/2014,698357379,06/02/2014,8322,81.73,56.67,680157.06,471607.74,208549.32
Asia,Bhutan,Personal Care,Online,C,8/20/2011,370601308,8/26/2011,8017,81.73,56.67,655229.41,454323.39,200906.02
Australia and Oceania,Solomon Islands,Personal Care,Online,M,11/27/2015,474347007,01/10/2016,8675,81.73,56.67,709007.75,491612.25,217395.5
Europe,Slovakia,Clothes,Online,H,08/01/2012,373705804,9/20/2012,6707,109.28,35.84,732940.96,240378.88,492562.08
Asia,Taiwan,Fruits,Offline,M,8/14/2014,403101527,9/27/2014,5555,9.33,6.92,51828.15,38440.6,13387.55
Europe,Czech Republic,Baby Food,Offline,C,4/19/2013,517270505,4/28/2013,692,255.28,159.42,176653.76,110318.64,66335.12
Australia and Oceania,Samoa ,Baby Food,Offline,L,05/04/2012,741261565,5/20/2012,4624,255.28,159.42,1180414.72,737158.08,443256.64
Sub-Saharan Africa,Mauritius ,Cereal,Online,M,07/11/2016,720436036,8/30/2016,1888,205.7,117.11,388361.6,221103.68,167257.92
Australia and Oceania,Tonga,Cosmetics,Online,L,10/08/2012,170467746,11/08/2012,4049,437.2,263.33,1770222.8,1066223.17,703999.63
Europe,Ukraine,Clothes,Offline,H,10/09/2011,227343022,11/25/2011,4707,109.28,35.84,514380.96,168698.88,345682.08
Sub-Saharan Africa,Mauritius ,Household,Online,C,12/04/2013,297360694,12/24/2013,4492,668.27,502.54,3001868.84,2257409.68,744459.16
Middle East and North Africa,Oman,Vegetables,Online,M,2/19/2013,307132089,3/30/2013,6065,154.06,90.93,934373.9,551490.45,382883.45
Europe,Lithuania,Office Supplies,Online,L,9/20/2015,253581035,10/18/2015,9118,651.21,524.96,5937732.78,4786585.28,1151147.5
Australia and Oceania,Solomon Islands,Cereal,Offline,L,11/29/2013,653943860,12/26/2013,5375,205.7,117.11,1105637.5,629466.25,476171.25
Australia and Oceania,Australia,Snacks,Online,H,5/18/2012,295769393,5/30/2012,3591,152.58,97.44,547914.78,349907.04,198007.74
Asia,Philippines,Snacks,Online,C,11/05/2016,286918962,11/30/2016,4552,152.58,97.44,694544.16,443546.88,250997.28
Sub-Saharan Africa,Lesotho,Vegetables,Online,L,03/06/2015,905566394,4/18/2015,6074,154.06,90.93,935760.44,552308.82,383451.62
Asia,Thailand,Fruits,Online,M,06/10/2011,250198018,6/18/2011,8008,9.33,6.92,74714.64,55415.36,19299.28
Sub-Saharan Africa,Burkina Faso,Snacks,Online,H,7/23/2014,989612662,7/24/2014,7233,152.58,97.44,1103611.14,704783.52,398827.62
Sub-Saharan Africa,Sierra Leone,Clothes,Online,M,10/20/2011,912921655,11/05/2011,2660,109.28,35.84,290684.8,95334.4,195350.4
Europe,Vatican City,Cereal,Online,L,06/08/2010,579548823,07/11/2010,231,205.7,117.11,47516.7,27052.41,20464.29
Europe,Hungary,Office Supplies,Online,L,3/21/2011,169230496,05/09/2011,7919,651.21,524.96,5156931.99,4157158.24,999773.75
Europe,Sweden,Household,Offline,H,03/08/2012,832015502,4/23/2012,731,668.27,502.54,488505.37,367356.74,121148.63
Australia and Oceania,Fiji,Fruits,Online,C,06/09/2012,638265168,6/29/2012,5702,9.33,6.92,53199.66,39457.84,13741.82
Asia,Indonesia,Snacks,Online,M,12/07/2015,428653323,12/14/2015,6899,152.58,97.44,1052649.42,672238.56,380410.86
Asia,Singapore,Snacks,Online,H,7/15/2012,664166295,7/20/2012,421,152.58,97.44,64236.18,41022.24,23213.94
