Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Chad,Meat,Online,H,06/04/2013,730241334,07/05/2013,3493,421.89,364.69,1473661.77,1273862.17,199799.6
Europe,Lithuania,Cereal,Online,C,11/24/2012,828026950,11/28/2012,430,205.7,117.11,88451,50357.3,38093.7
Europe,Sweden,Office Supplies,Offline,C,7/31/2011,998281133,7/31/2011,2426,651.21,524.96,1579835.46,1273552.96,306282.5
Europe,Luxembourg,Cosmetics,Offline,L,06/10/2017,647302711,7/25/2017,111,437.2,263.33,48529.2,29229.63,19299.57
Europe,Montenegro,Clothes,Online,C,10/21/2016,601703011,11/12/2016,6147,109.28,35.84,671744.16,220308.48,451435.68
Europe,Austria,Clothes,Online,M,12/29/2015,858405864,01/08/2016,226,109.28,35.84,24697.28,8099.84,16597.44
Central America and the Caribbean,Antigua and Barbuda ,Meat,Online,L,10/25/2014,134647595,12/11/2014,4070,421.89,364.69,1717092.3,1484288.3,232804
Middle East and North Africa,Oman,Meat,Online,L,05/12/2010,817977035,5/20/2010,6437,421.89,364.69,2715705.93,2347509.53,368196.4
Middle East and North Africa,Algeria,Clothes,Offline,H,12/06/2015,416255509,01/11/2016,8110,109.28,35.84,886260.8,290662.4,595598.4
Central America and the Caribbean,Jamaica,Personal Care,Online,L,10/24/2011,107656848,11/01/2011,6909,81.73,56.67,564672.57,391533.03,173139.54
Sub-Saharan Africa,Lesotho,Beverages,Online,M,3/23/2017,690667378,04/10/2017,2680,47.45,31.79,127166,85197.2,41968.8
Middle East and North Africa,Iraq,Baby Food,Offline,H,10/18/2010,334085929,12/01/2010,2305,255.28,159.42,588420.4,367463.1,220957.3
Middle East and North Africa,Tunisia ,Personal Care,Online,L,02/01/2010,427023828,03/03/2010,4695,81.73,56.67,383722.35,266065.65,117656.7
Sub-Saharan Africa,Mozambique,Household,Online,H,10/17/2014,628904902,10/25/2014,5791,668.27,502.54,3869951.57,2910209.14,959742.43
Central America and the Caribbean,Guatemala,Snacks,Offline,C,07/11/2010,219465482,08/03/2010,3568,152.58,97.44,544405.44,347665.92,196739.52
Sub-Saharan Africa,Republic of the Congo,Baby Food,Online,H,6/19/2010,348754394,6/27/2010,3030,255.28,159.42,773498.4,483042.6,290455.8
Middle East and North Africa,Afghanistan,Personal Care,Online,L,9/17/2013,887132966,9/28/2013,1214,81.73,56.67,99220.22,68797.38,30422.84
Europe,Austria,Vegetables,Offline,H,8/26/2016,875275027,09/10/2016,2186,154.06,90.93,336775.16,198772.98,138002.18
Europe,Malta,Meat,Online,H,9/21/2016,774166905,10/11/2016,2046,421.89,364.69,863186.94,746155.74,117031.2
Middle East and North Africa,Oman,Household,Online,M,3/24/2016,215107429,04/03/2016,3923,668.27,502.54,2621623.21,1971464.42,650158.79
Middle East and North Africa,Somalia,Baby Food,Offline,L,12/13/2010,249707925,1/20/2011,2979,255.28,159.42,760479.12,474912.18,285566.94
Europe,Monaco,Snacks,Online,L,09/04/2016,199892222,10/13/2016,1406,152.58,97.44,214527.48,137000.64,77526.84
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,H,5/24/2012,807896649,06/09/2012,3427,437.2,263.33,1498284.4,902431.91,595852.49
Asia,Singapore,Fruits,Offline,M,3/25/2012,186270034,04/01/2012,297,9.33,6.92,2771.01,2055.24,715.77
Australia and Oceania,Kiribati,Beverages,Offline,M,3/27/2016,567873704,4/13/2016,5303,47.45,31.79,251627.35,168582.37,83044.98
Sub-Saharan Africa,Angola,Fruits,Offline,C,2/28/2014,655881488,04/06/2014,8762,9.33,6.92,81749.46,60633.04,21116.42
Sub-Saharan Africa,Botswana,Beverages,Online,M,12/21/2011,573779714,01/09/2012,3023,47.45,31.79,143441.35,96101.17,47340.18
Sub-Saharan Africa,Guinea-Bissau,Beverages,Offline,C,11/28/2012,515367209,12/05/2012,7465,47.45,31.79,354214.25,237312.35,116901.9
Central America and the Caribbean,Saint Vincent and the Grenadines,Household,Offline,M,9/17/2013,294755303,9/25/2013,3499,668.27,502.54,2338276.73,1758387.46,579889.27
Europe,Iceland,Beverages,Offline,M,12/19/2015,696367824,01/04/2016,9569,47.45,31.79,454049.05,304198.51,149850.54
Sub-Saharan Africa,Zimbabwe,Cosmetics,Online,M,9/29/2014,324941098,11/05/2014,6147,437.2,263.33,2687468.4,1618689.51,1068778.89
Central America and the Caribbean,Panama,Snacks,Offline,C,7/22/2017,555523955,08/09/2017,738,152.58,97.44,112604.04,71910.72,40693.32
Sub-Saharan Africa,Kenya,Vegetables,Online,C,3/31/2010,583477723,4/18/2010,2879,154.06,90.93,443538.74,261787.47,181751.27
Australia and Oceania,Tonga,Baby Food,Offline,L,10/22/2013,574476230,11/26/2013,9137,255.28,159.42,2332493.36,1456620.54,875872.82
Sub-Saharan Africa,Lesotho,Beverages,Online,M,06/07/2012,314505803,07/05/2012,8111,47.45,31.79,384866.95,257848.69,127018.26
Asia,Nepal,Office Supplies,Offline,M,4/24/2010,559865272,06/11/2010,5430,651.21,524.96,3536070.3,2850532.8,685537.5
Sub-Saharan Africa,Djibouti,Vegetables,Online,C,09/11/2012,787165963,9/15/2012,8756,154.06,90.93,1348949.36,796183.08,552766.28
Sub-Saharan Africa,Tanzania,Clothes,Offline,M,7/20/2014,543331706,7/20/2014,2781,109.28,35.84,303907.68,99671.04,204236.64
Sub-Saharan Africa,Burkina Faso,Personal Care,Online,H,11/24/2011,795598828,1/13/2012,4228,81.73,56.67,345554.44,239600.76,105953.68
Central America and the Caribbean,The Bahamas,Household,Online,L,03/08/2013,781516158,03/10/2013,6853,668.27,502.54,4579654.31,3443906.62,1135747.69
Sub-Saharan Africa,Zimbabwe,Household,Offline,M,10/13/2012,258945024,11/08/2012,6442,668.27,502.54,4304995.34,3237362.68,1067632.66
Europe,Ukraine,Office Supplies,Online,C,6/26/2017,856059253,7/18/2017,5811,651.21,524.96,3784181.31,3050542.56,733638.75
Asia,Bangladesh,Fruits,Online,M,06/05/2012,221345174,6/14/2012,9811,9.33,6.92,91536.63,67892.12,23644.51
Europe,Monaco,Beverages,Online,L,4/28/2010,573601615,06/09/2010,319,47.45,31.79,15136.55,10141.01,4995.54
Sub-Saharan Africa,Equatorial Guinea,Clothes,Offline,M,5/14/2017,151939904,6/22/2017,1249,109.28,35.84,136490.72,44764.16,91726.56
Middle East and North Africa,Syria,Cereal,Offline,H,4/29/2014,865783870,05/05/2014,3542,205.7,117.11,728589.4,414803.62,313785.78
Middle East and North Africa,Egypt,Fruits,Offline,M,4/25/2013,644869840,05/10/2013,171,9.33,6.92,1595.43,1183.32,412.11
Asia,Thailand,Office Supplies,Offline,M,2/27/2016,189246642,3/21/2016,1142,651.21,524.96,743681.82,599504.32,144177.5
Central America and the Caribbean,Grenada,Household,Online,H,08/05/2010,719275605,08/07/2010,8490,668.27,502.54,5673612.3,4266564.6,1407047.7
Europe,Spain,Cosmetics,Offline,C,12/09/2011,825630557,12/21/2011,1284,437.2,263.33,561364.8,338115.72,223249.08
Central America and the Caribbean,Dominica,Household,Offline,L,11/06/2013,519297826,12/02/2013,621,668.27,502.54,414995.67,312077.34,102918.33
Asia,Japan,Vegetables,Offline,L,11/02/2014,781576240,11/06/2014,4633,154.06,90.93,713759.98,421278.69,292481.29
Sub-Saharan Africa,Zimbabwe,Household,Offline,M,6/22/2014,414077126,7/16/2014,3478,668.27,502.54,2324243.06,1747834.12,576408.94
Sub-Saharan Africa,Botswana,Household,Online,L,03/09/2017,988724315,4/24/2017,4351,668.27,502.54,2907642.77,2186551.54,721091.23
Central America and the Caribbean,Saint Vincent and the Grenadines,Snacks,Online,C,4/27/2013,997754132,6/14/2013,6475,152.58,97.44,987955.5,630924,357031.5
Central America and the Caribbean,Cuba,Snacks,Online,C,3/22/2013,803715407,05/04/2013,6104,152.58,97.44,931348.32,594773.76,336574.56
Asia,Myanmar,Baby Food,Online,H,2/22/2013,389469468,03/04/2013,1525,255.28,159.42,389302,243115.5,146186.5
Middle East and North Africa,Israel,Baby Food,Offline,C,3/18/2014,708190143,04/03/2014,8056,255.28,159.42,2056535.68,1284287.52,772248.16
Sub-Saharan Africa,Guinea-Bissau,Beverages,Online,M,01/08/2011,533363759,2/16/2011,3044,47.45,31.79,144437.8,96768.76,47669.04
Middle East and North Africa,Azerbaijan,Fruits,Online,C,08/08/2010,508789145,9/24/2010,869,9.33,6.92,8107.77,6013.48,2094.29
Europe,United Kingdom,Beverages,Offline,C,6/24/2013,898577630,7/15/2013,7944,47.45,31.79,376942.8,252539.76,124403.04
Europe,Monaco,Fruits,Online,H,6/13/2017,237153041,7/14/2017,7710,9.33,6.92,71934.3,53353.2,18581.1
Europe,Greece,Cosmetics,Offline,H,10/22/2013,279251706,10/30/2013,5640,437.2,263.33,2465808,1485181.2,980626.8
Middle East and North Africa,Iraq,Household,Offline,L,11/03/2013,149922454,11/27/2013,4241,668.27,502.54,2834133.07,2131272.14,702860.93
Central America and the Caribbean,Honduras,Personal Care,Offline,H,10/05/2014,394526612,10/18/2014,8047,81.73,56.67,657681.31,456023.49,201657.82
Sub-Saharan Africa,Mozambique,Clothes,Online,M,1/18/2011,728738009,03/07/2011,8626,109.28,35.84,942649.28,309155.84,633493.44
Sub-Saharan Africa,Namibia,Clothes,Offline,C,5/27/2013,488542973,06/08/2013,9577,109.28,35.84,1046574.56,343239.68,703334.88
Asia,Kazakhstan,Office Supplies,Online,H,8/28/2014,880240333,9/29/2014,1530,651.21,524.96,996351.3,803188.8,193162.5
Sub-Saharan Africa,Liberia,Cosmetics,Offline,H,04/11/2016,930441415,5/26/2016,7146,437.2,263.33,3124231.2,1881756.18,1242475.02
Sub-Saharan Africa,Guinea,Personal Care,Offline,H,01/04/2017,636070048,1/28/2017,6117,81.73,56.67,499942.41,346650.39,153292.02
Central America and the Caribbean,Barbados,Beverages,Online,H,09/01/2016,514362561,09/10/2016,167,47.45,31.79,7924.15,5308.93,2615.22
Middle East and North Africa,Egypt,Household,Offline,L,05/04/2012,252867782,06/02/2012,8051,668.27,502.54,5380241.77,4045949.54,1334292.23
Europe,Norway,Beverages,Offline,C,4/29/2017,959447038,5/21/2017,554,47.45,31.79,26287.3,17611.66,8675.64
Sub-Saharan Africa,Botswana,Cereal,Offline,H,11/30/2011,212274158,12/18/2011,5495,205.7,117.11,1130321.5,643519.45,486802.05
Australia and Oceania,Tuvalu,Beverages,Online,L,4/28/2015,609835469,05/06/2015,2722,47.45,31.79,129158.9,86532.38,42626.52
Australia and Oceania,Nauru,Household,Offline,H,10/01/2013,320929801,10/23/2013,9115,668.27,502.54,6091281.05,4580652.1,1510628.95
Australia and Oceania,Tuvalu,Cosmetics,Offline,M,03/11/2017,734668481,3/16/2017,3584,437.2,263.33,1566924.8,943774.72,623150.08
Australia and Oceania,Kiribati,Vegetables,Online,C,03/11/2010,610475337,4/18/2010,2073,154.06,90.93,319366.38,188497.89,130868.49
Europe,Sweden,Beverages,Offline,M,3/23/2016,128086698,04/07/2016,2555,47.45,31.79,121234.75,81223.45,40011.3
Sub-Saharan Africa,Malawi,Personal Care,Offline,M,08/11/2010,437551391,8/31/2010,35,81.73,56.67,2860.55,1983.45,877.1
Sub-Saharan Africa,Mozambique,Baby Food,Online,C,03/03/2015,509230744,03/03/2015,1548,255.28,159.42,395173.44,246782.16,148391.28
Australia and Oceania,Papua New Guinea,Clothes,Online,L,2/18/2011,283798587,3/31/2011,1163,109.28,35.84,127092.64,41681.92,85410.72
Europe,Switzerland,Cosmetics,Online,M,02/04/2011,222241246,3/15/2011,4978,437.2,263.33,2176381.6,1310856.74,865524.86
Asia,Tajikistan,Clothes,Offline,C,05/07/2017,855857551,06/06/2017,6123,109.28,35.84,669121.44,219448.32,449673.12
Europe,Germany,Household,Offline,H,7/17/2010,536258828,08/02/2010,9759,668.27,502.54,6521646.93,4904287.86,1617359.07
Middle East and North Africa,Iraq,Office Supplies,Online,M,01/10/2014,385368907,2/14/2014,8078,651.21,524.96,5260474.38,4240626.88,1019847.5
Europe,Malta,Snacks,Online,C,5/14/2014,245424115,6/19/2014,5304,152.58,97.44,809284.32,516821.76,292462.56
Europe,Cyprus,Fruits,Offline,H,7/17/2010,928973281,7/27/2010,2693,9.33,6.92,25125.69,18635.56,6490.13
Asia,Bangladesh,Office Supplies,Offline,M,03/05/2010,168877732,3/15/2010,3529,651.21,524.96,2298120.09,1852583.84,445536.25
Australia and Oceania,Samoa ,Meat,Offline,H,08/05/2010,268311297,09/02/2010,8130,421.89,364.69,3429965.7,2964929.7,465036
Central America and the Caribbean,Saint Lucia,Cosmetics,Online,C,03/09/2010,450760304,3/25/2010,8846,437.2,263.33,3867471.2,2329417.18,1538054.02
Sub-Saharan Africa,Mali,Vegetables,Online,L,3/13/2012,910023581,3/31/2012,5055,154.06,90.93,778773.3,459651.15,319122.15
Middle East and North Africa,Algeria,Meat,Online,M,05/12/2013,560212457,6/22/2013,8170,421.89,364.69,3446841.3,2979517.3,467324
Sub-Saharan Africa,Gabon,Office Supplies,Offline,C,04/08/2015,185750758,05/06/2015,6632,651.21,524.96,4318824.72,3481534.72,837290
Central America and the Caribbean,Cuba,Meat,Online,H,12/27/2012,191374814,02/01/2013,915,421.89,364.69,386029.35,333691.35,52338
Australia and Oceania,Tonga,Fruits,Online,H,01/12/2014,152133452,1/24/2014,8524,9.33,6.92,79528.92,58986.08,20542.84
Middle East and North Africa,Pakistan,Baby Food,Online,L,10/26/2011,163388001,11/10/2011,8995,255.28,159.42,2296243.6,1433982.9,862260.7
Australia and Oceania,Fiji,Cosmetics,Online,C,03/11/2012,390812289,4/22/2012,8896,437.2,263.33,3889331.2,2342583.68,1546747.52
Central America and the Caribbean,Saint Kitts and Nevis ,Snacks,Online,C,6/29/2014,620392644,07/02/2014,6825,152.58,97.44,1041358.5,665028,376330.5
Middle East and North Africa,United Arab Emirates,Fruits,Online,L,05/04/2015,708427894,6/23/2015,8411,9.33,6.92,78474.63,58204.12,20270.51
