Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Iraq,Personal Care,Offline,M,05/06/2013,332958543,5/24/2013,8687,81.73,56.67,709988.51,492292.29,217696.22
Central America and the Caribbean,Haiti,Baby Food,Offline,L,02/09/2015,852509295,2/23/2015,5300,255.28,159.42,1352984,844926,508058
Sub-Saharan Africa,Burundi,Beverages,Offline,L,7/29/2015,723825490,08/03/2015,4902,47.45,31.79,232599.9,155834.58,76765.32
Middle East and North Africa,Iraq,Baby Food,Offline,M,5/31/2010,140705955,07/01/2010,6874,255.28,159.42,1754794.72,1095853.08,658941.64
Sub-Saharan Africa,Madagascar,Baby Food,Offline,C,07/03/2011,717262017,8/22/2011,2625,255.28,159.42,670110,418477.5,251632.5
Central America and the Caribbean,Guatemala,Meat,Online,L,11/10/2012,537917506,11/13/2012,599,421.89,364.69,252712.11,218449.31,34262.8
Central America and the Caribbean,Costa Rica,Baby Food,Offline,C,2/18/2017,907408750,2/18/2017,1268,255.28,159.42,323695.04,202144.56,121550.48
Asia,Laos,Cereal,Online,L,09/06/2016,500784575,10/15/2016,2139,205.7,117.11,439992.3,250498.29,189494.01
Europe,Czech Republic,Beverages,Online,L,07/02/2012,313406312,7/26/2012,2747,47.45,31.79,130345.15,87327.13,43018.02
Australia and Oceania,Tuvalu,Beverages,Online,C,06/08/2010,510947787,6/14/2010,9659,47.45,31.79,458319.55,307059.61,151259.94
Central America and the Caribbean,El Salvador,Fruits,Online,C,5/24/2017,879395329,07/08/2017,1475,9.33,6.92,13761.75,10207,3554.75
Asia,South Korea,Cosmetics,Offline,H,11/07/2014,375047767,12/16/2014,3823,437.2,263.33,1671415.6,1006710.59,664705.01
Middle East and North Africa,Israel,Personal Care,Offline,H,8/20/2015,274516427,8/21/2015,4366,81.73,56.67,356833.18,247421.22,109411.96
Middle East and North Africa,Iraq,Meat,Offline,H,09/12/2014,124725139,10/14/2014,7795,421.89,364.69,3288632.55,2842758.55,445874
Asia,Vietnam,Beverages,Offline,H,8/25/2015,892910230,10/09/2015,834,47.45,31.79,39573.3,26512.86,13060.44
North America,United States of America,Personal Care,Offline,L,10/12/2011,916620528,11/22/2011,7238,81.73,56.67,591561.74,410177.46,181384.28
Sub-Saharan Africa,Guinea,Cosmetics,Offline,C,08/12/2012,853717362,9/19/2012,2794,437.2,263.33,1221536.8,735744.02,485792.78
Central America and the Caribbean,Costa Rica,Meat,Online,L,5/14/2017,532374560,6/20/2017,318,421.89,364.69,134161.02,115971.42,18189.6
Central America and the Caribbean,Honduras,Baby Food,Online,H,03/07/2011,301078450,3/14/2011,4659,255.28,159.42,1189349.52,742737.78,446611.74
Australia and Oceania,Federated States of Micronesia,Office Supplies,Online,M,05/01/2014,578627860,05/03/2014,7697,651.21,524.96,5012363.37,4040617.12,971746.25
Europe,Slovenia,Beverages,Offline,L,4/22/2010,504134118,06/03/2010,3343,47.45,31.79,158625.35,106273.97,52351.38
Central America and the Caribbean,Dominica,Cereal,Online,M,2/26/2010,187021052,3/29/2010,2540,205.7,117.11,522478,297459.4,225018.6
Europe,Montenegro,Beverages,Offline,L,11/08/2010,257024991,12/19/2010,8261,47.45,31.79,391984.45,262617.19,129367.26
Sub-Saharan Africa,Benin,Beverages,Online,H,3/22/2014,514194762,4/21/2014,512,47.45,31.79,24294.4,16276.48,8017.92
Sub-Saharan Africa,The Gambia,Cereal,Online,M,7/28/2015,378891694,8/17/2015,1327,205.7,117.11,272963.9,155404.97,117558.93
Central America and the Caribbean,Haiti,Office Supplies,Online,M,1/28/2015,241789615,2/17/2015,9775,651.21,524.96,6365577.75,5131484,1234093.75
Asia,Bhutan,Snacks,Offline,L,12/17/2013,113874852,12/21/2013,6954,152.58,97.44,1061041.32,677597.76,383443.56
Asia,Singapore,Office Supplies,Offline,M,9/27/2010,976446235,10/30/2010,995,651.21,524.96,647953.95,522335.2,125618.75
Australia and Oceania,Samoa ,Clothes,Offline,H,7/23/2012,731115090,8/24/2012,2057,109.28,35.84,224788.96,73722.88,151066.08
Asia,Laos,Clothes,Online,M,04/08/2016,949805247,4/21/2016,7334,109.28,35.84,801459.52,262850.56,538608.96
Sub-Saharan Africa,Cote d'Ivoire,Baby Food,Online,M,3/21/2012,124753034,3/24/2012,6050,255.28,159.42,1544444,964491,579953
Sub-Saharan Africa,Burkina Faso,Baby Food,Online,C,10/02/2010,418507277,10/20/2010,4458,255.28,159.42,1138038.24,710694.36,427343.88
North America,United States of America,Vegetables,Offline,H,9/13/2015,913929307,10/17/2015,846,154.06,90.93,130334.76,76926.78,53407.98
