Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Moldova ,Baby Food,Offline,C,02/09/2014,672291886,2/18/2014,4964,255.28,159.42,1267209.92,791360.88,475849.04
Europe,Ireland,Fruits,Offline,M,9/29/2015,112326037,10/23/2015,8625,9.33,6.92,80471.25,59685,20786.25
Asia,Mongolia,Fruits,Offline,M,3/27/2012,275219380,3/29/2012,2385,9.33,6.92,22252.05,16504.2,5747.85
Asia,Mongolia,Cosmetics,Offline,C,07/04/2012,229770743,7/31/2012,3124,437.2,263.33,1365812.8,822642.92,543169.88
Sub-Saharan Africa,Mauritius ,Clothes,Offline,L,5/27/2011,465091454,07/05/2011,9752,109.28,35.84,1065698.56,349511.68,716186.88
Asia,Taiwan,Baby Food,Online,M,03/07/2016,640605342,3/29/2016,8211,255.28,159.42,2096104.08,1308997.62,787106.46
Sub-Saharan Africa,Cape Verde,Personal Care,Online,L,6/16/2012,936048734,07/05/2012,6476,81.73,56.67,529283.48,366994.92,162288.56
Central America and the Caribbean,Trinidad and Tobago,Fruits,Online,C,06/02/2013,701470458,6/17/2013,9552,9.33,6.92,89120.16,66099.84,23020.32
Asia,Bangladesh,Household,Offline,L,08/03/2010,707231843,08/09/2010,4473,668.27,502.54,2989171.71,2247861.42,741310.29
Asia,Thailand,Fruits,Offline,C,6/30/2015,894006717,7/28/2015,5309,9.33,6.92,49532.97,36738.28,12794.69
Europe,Belgium,Personal Care,Offline,L,06/08/2010,822781407,07/05/2010,8157,81.73,56.67,666671.61,462257.19,204414.42
Middle East and North Africa,Kuwait,Cereal,Offline,H,11/07/2012,124854743,12/19/2012,6148,205.7,117.11,1264643.6,719992.28,544651.32
Europe,Italy,Snacks,Offline,C,12/17/2010,751838052,01/06/2011,4442,152.58,97.44,677760.36,432828.48,244931.88
Sub-Saharan Africa,Mali,Vegetables,Online,C,12/22/2012,225655162,12/22/2012,5232,154.06,90.93,806041.92,475745.76,330296.16
Europe,Bulgaria,Personal Care,Offline,M,01/10/2013,188542401,2/14/2013,2741,81.73,56.67,224021.93,155332.47,68689.46
Asia,Tajikistan,Clothes,Offline,H,02/05/2010,553048598,2/17/2010,8225,109.28,35.84,898828,294784,604044
Europe,Iceland,Household,Online,C,10/23/2011,852035081,11/28/2011,4969,668.27,502.54,3320633.63,2497121.26,823512.37
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,M,6/28/2015,688675677,8/14/2015,3292,651.21,524.96,2143783.32,1728168.32,415615
