Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,South Sudan,Cereal,Online,L,01/04/2012,130216157,1/18/2012,2709,205.7,117.11,557241.3,317250.99,239990.31
Sub-Saharan Africa,Ghana,Meat,Offline,C,9/25/2016,831590640,10/20/2016,5005,421.89,364.69,2111559.45,1825273.45,286286
Asia,Bangladesh,Meat,Online,M,11/06/2011,248402440,12/11/2011,6657,421.89,364.69,2808521.73,2427741.33,380780.4
Sub-Saharan Africa,The Gambia,Cereal,Offline,H,01/03/2011,261950385,01/08/2011,5795,205.7,117.11,1192031.5,678652.45,513379.05
Asia,Philippines,Snacks,Offline,M,10/15/2013,573845803,10/26/2013,2580,152.58,97.44,393656.4,251395.2,142261.2
Europe,Russia,Household,Online,C,1/15/2017,956012523,1/30/2017,4205,668.27,502.54,2810075.35,2113180.7,696894.65
Middle East and North Africa,Pakistan,Cosmetics,Offline,M,02/11/2011,800686872,3/28/2011,9893,437.2,263.33,4325219.6,2605123.69,1720095.91
Asia,Myanmar,Beverages,Online,H,12/02/2013,470417678,12/14/2013,5899,47.45,31.79,279907.55,187529.21,92378.34
Sub-Saharan Africa,Burkina Faso,Office Supplies,Online,H,2/23/2014,848066270,4/13/2014,510,651.21,524.96,332117.1,267729.6,64387.5
Asia,Cambodia,Cereal,Offline,M,11/29/2012,186806476,12/16/2012,9042,205.7,117.11,1859939.4,1058908.62,801030.78
Asia,Brunei,Fruits,Online,C,5/22/2012,860124623,07/10/2012,8845,9.33,6.92,82523.85,61207.4,21316.45
Australia and Oceania,Federated States of Micronesia,Cosmetics,Offline,M,1/15/2012,811819541,1/25/2012,4297,437.2,263.33,1878648.4,1131529.01,747119.39
Asia,China,Baby Food,Offline,H,5/18/2012,306002557,6/21/2012,1811,255.28,159.42,462312.08,288709.62,173602.46
