Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Comoros,Fruits,Online,C,12/01/2010,470387208,12/17/2010,6883,9.33,6.92,64218.39,47630.36,16588.03
Australia and Oceania,Tonga,Household,Online,H,09/01/2013,300106418,10/05/2013,7013,668.27,502.54,4686577.51,3524313.02,1162264.49
Asia,Thailand,Cereal,Online,H,5/23/2015,286669194,06/03/2015,640,205.7,117.11,131648,74950.4,56697.6
North America,Mexico,Vegetables,Offline,H,6/25/2016,736374366,7/17/2016,8394,154.06,90.93,1293179.64,763266.42,529913.22
North America,United States of America,Snacks,Online,C,11/03/2010,675833261,11/05/2010,2935,152.58,97.44,447822.3,285986.4,161835.9
Sub-Saharan Africa,Rwanda,Fruits,Online,M,05/10/2012,101969707,06/07/2012,3957,9.33,6.92,36918.81,27382.44,9536.37
Asia,India,Clothes,Online,C,04/09/2013,432020032,5/18/2013,3183,109.28,35.84,347838.24,114078.72,233759.52
Asia,Maldives,Snacks,Offline,M,09/03/2010,453533065,9/14/2010,9367,152.58,97.44,1429216.86,912720.48,516496.38
Sub-Saharan Africa,Sierra Leone,Household,Offline,C,4/16/2010,374370133,5/22/2010,3297,668.27,502.54,2203286.19,1656874.38,546411.81
Sub-Saharan Africa,Angola,Office Supplies,Online,M,2/16/2015,472705066,3/28/2015,2788,651.21,524.96,1815573.48,1463588.48,351985
Central America and the Caribbean,Haiti,Fruits,Offline,C,02/10/2014,647024190,2/27/2014,7691,9.33,6.92,71757.03,53221.72,18535.31
Europe,Albania,Cereal,Online,L,03/02/2016,866126334,4/19/2016,4884,205.7,117.11,1004638.8,571965.24,432673.56
Asia,Malaysia,Snacks,Online,M,2/18/2016,719122827,03/12/2016,3280,152.58,97.44,500462.4,319603.2,180859.2
Sub-Saharan Africa,Nigeria,Meat,Offline,L,9/13/2013,765437495,10/10/2013,8819,421.89,364.69,3720647.91,3216201.11,504446.8
Europe,Austria,Household,Online,H,3/16/2017,284806668,3/20/2017,9477,668.27,502.54,6333194.79,4762571.58,1570623.21
North America,Greenland,Fruits,Online,C,02/08/2017,427279174,3/18/2017,257,9.33,6.92,2397.81,1778.44,619.37
Central America and the Caribbean,Belize,Household,Offline,C,07/05/2012,163216340,7/29/2012,8197,668.27,502.54,5477809.19,4119320.38,1358488.81
Sub-Saharan Africa,Lesotho,Personal Care,Online,L,12/09/2014,333291995,1/26/2015,7363,81.73,56.67,601777.99,417261.21,184516.78
Europe,Romania,Office Supplies,Online,C,04/06/2014,498492467,4/14/2014,3853,651.21,524.96,2509112.13,2022670.88,486441.25
Europe,Albania,Personal Care,Offline,C,10/13/2012,290116584,11/23/2012,799,81.73,56.67,65302.27,45279.33,20022.94
Sub-Saharan Africa,Guinea,Vegetables,Online,M,11/09/2013,759775674,12/24/2013,3361,154.06,90.93,517795.66,305615.73,212179.93
Sub-Saharan Africa,Zambia,Baby Food,Online,L,7/22/2010,329393565,7/31/2010,3731,255.28,159.42,952449.68,594796.02,357653.66
North America,Mexico,Personal Care,Offline,C,2/25/2012,641206586,04/01/2012,6133,81.73,56.67,501250.09,347557.11,153692.98
Sub-Saharan Africa,Swaziland,Vegetables,Offline,H,1/22/2010,707763564,02/04/2010,1822,154.06,90.93,280697.32,165674.46,115022.86
Asia,Maldives,Cereal,Offline,L,11/24/2011,961925828,01/07/2012,4083,205.7,117.11,839873.1,478160.13,361712.97
Central America and the Caribbean,Honduras,Beverages,Online,C,12/28/2014,106867206,1/17/2015,3236,47.45,31.79,153548.2,102872.44,50675.76
Australia and Oceania,East Timor,Meat,Online,M,2/28/2010,966074025,4/15/2010,1627,421.89,364.69,686415.03,593350.63,93064.4
Sub-Saharan Africa,Lesotho,Household,Offline,M,10/18/2015,133345115,10/31/2015,8638,668.27,502.54,5772516.26,4340940.52,1431575.74
Sub-Saharan Africa,Tanzania,Cosmetics,Offline,L,6/26/2013,122791802,7/25/2013,5678,437.2,263.33,2482421.6,1495187.74,987233.86
Europe,Croatia,Meat,Offline,C,5/21/2012,818837916,6/28/2012,1191,421.89,364.69,502470.99,434345.79,68125.2
Asia,China,Fruits,Online,M,2/25/2015,826219785,04/12/2015,5650,9.33,6.92,52714.5,39098,13616.5
Europe,Ireland,Beverages,Online,L,2/21/2014,619986236,04/12/2014,6559,47.45,31.79,311224.55,208510.61,102713.94
Central America and the Caribbean,Jamaica,Household,Online,C,05/06/2010,295498597,5/14/2010,3456,668.27,502.54,2309541.12,1736778.24,572762.88
Europe,Lithuania,Cereal,Online,H,03/07/2017,918430697,3/26/2017,2908,205.7,117.11,598175.6,340555.88,257619.72
Middle East and North Africa,Syria,Cereal,Online,L,04/10/2011,474768865,5/24/2011,3512,205.7,117.11,722418.4,411290.32,311128.08
Asia,Laos,Cereal,Online,H,12/15/2011,620811927,1/13/2012,900,205.7,117.11,185130,105399,79731
Sub-Saharan Africa,Burundi,Beverages,Online,H,11/27/2016,833171212,01/06/2017,2731,47.45,31.79,129585.95,86818.49,42767.46
Europe,Belgium,Clothes,Online,L,07/08/2013,658770549,08/01/2013,3700,109.28,35.84,404336,132608,271728
Australia and Oceania,Vanuatu,Vegetables,Offline,L,12/15/2012,164846265,1/31/2013,528,154.06,90.93,81343.68,48011.04,33332.64
Middle East and North Africa,United Arab Emirates,Personal Care,Online,L,02/06/2016,388947188,2/16/2016,6971,81.73,56.67,569739.83,395046.57,174693.26
Europe,San Marino,Cosmetics,Online,H,4/26/2017,188934648,5/26/2017,8816,437.2,263.33,3854355.2,2321517.28,1532837.92
Europe,Latvia,Snacks,Offline,H,10/30/2015,292982470,11/07/2015,8879,152.58,97.44,1354757.82,865169.76,489588.06
Sub-Saharan Africa,Burkina Faso,Cereal,Online,C,12/02/2011,149576985,12/15/2011,2009,205.7,117.11,413251.3,235273.99,177977.31
Europe,Hungary,Meat,Online,M,9/21/2010,177517020,9/21/2010,86,421.89,364.69,36282.54,31363.34,4919.2
Europe,Liechtenstein,Meat,Online,M,11/13/2010,415913903,12/20/2010,7021,421.89,364.69,2962089.69,2560488.49,401601.2
Asia,Singapore,Meat,Online,L,11/02/2015,974191462,12/03/2015,3757,421.89,364.69,1585040.73,1370140.33,214900.4
Sub-Saharan Africa,Central African Republic,Personal Care,Online,C,01/10/2015,682086026,01/11/2015,3267,81.73,56.67,267011.91,185140.89,81871.02
Sub-Saharan Africa,Liberia,Cosmetics,Online,M,04/04/2010,239646422,04/11/2010,5557,437.2,263.33,2429520.4,1463324.81,966195.59
Sub-Saharan Africa,South Africa,Fruits,Offline,L,12/29/2011,867233979,1/18/2012,2661,9.33,6.92,24827.13,18414.12,6413.01
Sub-Saharan Africa,Nigeria,Beverages,Offline,L,10/29/2012,255522525,12/18/2012,3648,47.45,31.79,173097.6,115969.92,57127.68
Europe,Romania,Cereal,Online,L,12/28/2013,215498387,1/15/2014,9617,205.7,117.11,1978216.9,1126246.87,851970.03
Australia and Oceania,Fiji,Clothes,Offline,M,12/29/2013,828460395,02/06/2014,8696,109.28,35.84,950298.88,311664.64,638634.24
Europe,Belarus,Personal Care,Offline,H,5/30/2012,896019876,07/05/2012,1048,81.73,56.67,85653.04,59390.16,26262.88
Australia and Oceania,Vanuatu,Office Supplies,Online,C,09/01/2013,190100657,9/22/2013,3864,651.21,524.96,2516275.44,2028445.44,487830
Europe,Kosovo,Snacks,Online,C,09/07/2015,802939069,9/29/2015,6368,152.58,97.44,971629.44,620497.92,351131.52
Middle East and North Africa,Libya,Meat,Online,C,8/26/2013,397083938,8/29/2013,4816,421.89,364.69,2031822.24,1756347.04,275475.2
Asia,Laos,Clothes,Offline,L,5/30/2011,755396592,07/11/2011,7493,109.28,35.84,818835.04,268549.12,550285.92
Australia and Oceania,Tonga,Cosmetics,Offline,H,1/26/2010,131050860,1/30/2010,9717,437.2,263.33,4248272.4,2558777.61,1689494.79
Sub-Saharan Africa,South Africa,Baby Food,Offline,L,10/24/2011,897533071,11/13/2011,8836,255.28,159.42,2255654.08,1408635.12,847018.96
Asia,Brunei,Personal Care,Offline,L,02/03/2016,998642051,02/10/2016,9230,81.73,56.67,754367.9,523064.1,231303.8
Central America and the Caribbean,Grenada,Beverages,Online,M,11/08/2015,698489129,12/25/2015,7310,47.45,31.79,346859.5,232384.9,114474.6
Middle East and North Africa,Oman,Office Supplies,Offline,C,6/22/2016,331498134,6/29/2016,6519,651.21,524.96,4245237.99,3422214.24,823023.75
Europe,Croatia,Clothes,Offline,M,10/26/2016,752405393,11/16/2016,2331,109.28,35.84,254731.68,83543.04,171188.64
Sub-Saharan Africa,Ghana,Fruits,Offline,L,01/11/2013,186259734,1/21/2013,7249,9.33,6.92,67633.17,50163.08,17470.09
