Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Palau,Beverages,Offline,H,01/01/2015,779535615,1/21/2015,766,47.45,31.79,36346.7,24351.14,11995.56
Sub-Saharan Africa,South Sudan,Meat,Online,L,12/25/2011,641554629,1/15/2012,9126,421.89,364.69,3850168.14,3328160.94,522007.2
Europe,Belarus,Baby Food,Online,M,11/24/2011,147135961,12/09/2011,9655,255.28,159.42,2464728.4,1539200.1,925528.3
Europe,Kosovo,Personal Care,Online,H,04/02/2013,277578437,4/18/2013,483,81.73,56.67,39475.59,27371.61,12103.98
Middle East and North Africa,Pakistan,Snacks,Offline,C,8/17/2015,734493386,10/05/2015,1770,152.58,97.44,270066.6,172468.8,97597.8
Middle East and North Africa,Tunisia ,Personal Care,Offline,C,11/14/2015,389804637,12/08/2015,709,81.73,56.67,57946.57,40179.03,17767.54
Sub-Saharan Africa,Mali,Meat,Offline,L,11/25/2011,435748517,12/14/2011,6524,421.89,364.69,2752410.36,2379237.56,373172.8
Central America and the Caribbean,Nicaragua,Cosmetics,Offline,M,1/23/2014,334873855,3/14/2014,5470,437.2,263.33,2391484,1440415.1,951068.9
Europe,Finland,Baby Food,Offline,M,1/17/2011,970041978,2/28/2011,5833,255.28,159.42,1489048.24,929896.86,559151.38
Australia and Oceania,Nauru,Meat,Offline,H,7/14/2011,594426715,7/27/2011,2929,421.89,364.69,1235715.81,1068177.01,167538.8
Europe,Iceland,Beverages,Offline,H,2/17/2010,681514394,04/01/2010,4109,47.45,31.79,194972.05,130625.11,64346.94
Sub-Saharan Africa,Uganda,Household,Online,L,11/13/2013,975103843,12/31/2013,3751,668.27,502.54,2506680.77,1885027.54,621653.23
Sub-Saharan Africa,Republic of the Congo,Household,Offline,M,09/12/2015,839306390,9/21/2015,8267,668.27,502.54,5524588.09,4154498.18,1370089.91
Europe,Latvia,Vegetables,Offline,H,5/30/2013,608545863,7/16/2013,1099,154.06,90.93,169311.94,99932.07,69379.87
Europe,Luxembourg,Meat,Online,L,6/14/2013,237558591,7/27/2013,7721,421.89,364.69,3257412.69,2815771.49,441641.2
Central America and the Caribbean,Honduras,Cosmetics,Offline,L,12/18/2011,651393401,01/06/2012,638,437.2,263.33,278933.6,168004.54,110929.06
Sub-Saharan Africa,Ghana,Cosmetics,Online,H,9/21/2013,595411622,9/28/2013,4385,437.2,263.33,1917122,1154702.05,762419.95
